form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00002972,500015467,,,CCM,Amodei For Nevada,,,,,,107 S West St,Ste 176,Alexandria,VA,223142824,P2024,,2023-04-25,1000.00,0.00,,011,C00496760,,,AMODEI,MARK,,,,H,NV,02,,,,,,,,
SB23,C00002972,500015452,,,CCM,Andy Barr For Congress,,,,,,3410 Alabama Ave,,Alexandria,VA,223051736,P2024,,2023-04-25,1000.00,0.00,,011,C00467571,,,BARR,Andy,,,,H,KY,06,,,,,,,,
SB23,C00002972,500015507,,,PAC,Arkansas For Leadership Pac,,,,,,901 N Washington St,Ste 700,Alexandria,VA,223141535,O2023,,2023-04-27,5000.00,0.00,,011,C00413948,Arkansas For Leadership Pac,,,,,,,,,,,,,,,,,
SB23,C00002972,500015493,,,PAC,Belief In Life And Liberty Political Action Committee (Bill's PAC),,,,,,5827 Colfax Ave,,Alexandria,VA,223111013,O2023,,2023-04-27,5000.00,0.00,,011,C00545079,Belief In Life And Liberty Political Action Committee (Bill's PAC),,,,,,,,,,,,,,,,,
SB23,C00002972,500015506,,,PAC,Big Sky Opportunity PAC,,,,,,228 S Washington St,Ste 115,Alexandria,VA,223145404,O2023,,2023-04-27,5000.00,0.00,,011,C00542027,Big Sky Opportunity PAC,,,,,,,,,,,,,,,,,
SB23,C00002972,500015466,,,CCM,Blaine For Congress,,,,,,3410 Alabama Ave,,Alexandria,VA,223051736,P2024,,2023-04-25,1000.00,0.00,,011,C00458679,,,LUETKEMEYER,BLAINE,,,,H,MO,03,,,,,,,,
SB23,C00002972,500015508,,,PAC,Bluegrass Committee,,,,,,228 S Washington St,Ste 115,Alexandria,VA,223145404,O2023,,2023-04-27,5000.00,0.00,,011,C00235655,Bluegrass Committee,,,,,,,,,,,,,,,,,
SB23,C00002972,500015473,,,PAC,BRAVE PAC,,,,,,412 1St St SE,Ste 100,Washington,DC,200031804,O2023,,2023-04-27,5000.00,0.00,,011,C00430579,BRAVE PAC,,,,,,,,,,,,,,,,,
SB23,C00002972,500015472,,,PAC,Bridge Pac,,,,,,499 S Capitol St SW,Ste 420,Washington,DC,200034027,O2023,,2023-04-27,5000.00,0.00,,011,C00399196,Bridge Pac,,,,,,,,,,,,,,,,,
SB23,C00002972,500015459,,,CCM,Buddy Carter For Congress,,,,,,824 S Milledge Ave,Ste 101,Athens,GA,306051332,P2024,,2023-04-25,1000.00,0.00,,011,C00543967,,,CARTER,BUDDY,,,,H,GA,01,,,,,,,,
