form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00438754,BCC3F3F47BFB244CC8C7,,,COM,Citizens for Pat Grassley,,,,,,30601 Deer Trail Dr.,,New Hartford,IA,506608663,P2024,,2023-07-10,2000.00,,Contribution-IA HD 57,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,B7CD52AA5821F46879AD,,,COM,Friends of Whitver,,,,,,4019 NE Bellagio Cir.,,Ankeny,IA,500216865,P2026,,2023-07-10,2000.00,,Contribution-IA SD 23,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,B0B520D4B73BE4F2AA28,,,COM,Jennifer Konfrst for Iowa,,,,,,6518 Northwest Dr.,,Windsor Heights,IA,503245930,P2024,,2023-07-10,1000.00,,Contribution-IA HD 32,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,B1DE243FAE114424AB49,,,COM,Kim Reynolds for IA,,,,,,P. O. Box 1775,,Des Moines,IA,503051775,P2026,,2023-07-10,5000.00,,Contribution-IA Governor,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,B5DBF116488434A44810,,,COM,Lundgren for House,,,,,,916 Heather Dr.,,Peosta,IA,520689452,P2024,,2023-07-10,1000.00,,Contribution-IA HD 65,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,B06F7A5B6DD684AE7A24,,,COM,People for Pam Jochum,,,,,,2368 Jackson St.,,Dubuque,IA,520013525,P2024,,2023-07-10,1000.00,,Contribution-IA SD 36,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,BA937CCCDF680458C834,,,COM,Sinclair for Iowa,,,,,,1255 King Road,,Allerton,IA,500088618,P2024,,2023-07-10,1000.00,,Contribution-IA SD 12,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,BBC79C442E04F4ACF84C,,,COM,Waylon Brown for State Senate,,,,,,2415 Highway 218,,Osage,IA,504618335,P2024,,2023-07-10,1000.00,,Contribution-IA SD 30,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,BA81C3942F33D43EC844,,,COM,Win with Windschitl,,,,,,29102 Light Breeze Ln.,,Council Bluffs,IA,51555,P2024,,2023-07-10,1000.00,,Contribution-IA HD 15,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,B6934874921524C768FD,,,COM,Anderson for Illinois,,,,,,"4343 16th St., #300",,Moline,IL,612657009,P2026,,2023-07-11,350.00,,Contribution-IL SD 47,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,B4F5BBF60AE3D4258B1F,,,COM,Citizens for Brad Halbrook,,,,,,P. O. Box 644,,Shelbyville,IL,625650644,P2024,,2023-07-11,300.00,,Contribution-IL HD 107,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,BAF673FE9231F4A2E89A,,,COM,Citizens for C. D. Davidsmeyer,,,,,,P. O. Box 401,,Jacksonville,IL,626510401,P2024,,2023-07-11,350.00,,Contribution-IL HD 100,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,B1E6052B85BDA416ABDC,,,COM,Citizens for Charlie Meier,,,,,,"c/o Jeff Rabenort, Treasurer",203 S. Abby Rd.,Okawville,IL,622712152,P2024,,2023-07-11,350.00,,Contribution-IL HD 109,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,BF9BBE5EAF179423B8B4,,,COM,Citizens for Friess,,,,,,408 Willow Run Dr.,,Red Bud,IL,622782412,P2024,,2023-07-11,300.00,,Contribution-IL HD 115,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,B2CC2FC0FDCF44C97A9B,,,COM,Citizens for Hammond,,,,,,P. O. Box 694,,Macomb,IL,614550694,P2024,,2023-07-11,350.00,,Contribution-IL HD 94,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,B6DFED937EBC44152B8C,,,COM,Citizens for Hauter,,,,,,105 Forestview Rd.,,Morton,IL,615501105,P2024,,2023-07-11,350.00,,Contribution-IL HD 87,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,BC1F629D202284AB3988,,,COM,Citizens for Mike Coffey,,,,,,P. O. Box 9530,,Springfield,IL,627919530,P2024,,2023-07-11,300.00,,Contribution-IL HD 95,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,BCE31B05870C24E2598F,,,COM,Citizens for Patrick Windhorst,,,,,,P. O. Box 763,,Metropolis,IL,629600763,P2024,,2023-07-11,350.00,,Contribution-IL HD 117,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,B3A585D9838914D1F956,,,COM,Citizens to Elect Mike Marron,,,,,,22239 N. 100 E. Road,,Fithian,IL,618445011,P2024,,2023-07-11,300.00,,Contribution-IL HD 104,011,,,,,,,,,,,,,,,,,,,,
SB29,C00438754,B3196450B6E15495CA86,,,COM,Committee to Elect Jay C. Hoffman,,,,,,P. O. Box 134,,Collinsville,IL,622340134,P2024,,2023-07-11,350.00,,Contribution-IL HD 113,011,,,,,,,,,,,,,,,,,,,,
