form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00563924,7F670456C60AFD0935E,,,PAC,2024 Republican Senate Victory,,,,,,228 S Washington St,Ste 115,Alexandria,VA,22314,O2024,Contribution,2024-03-12,45000.00,,2024 Contribution,011,C00837435,2024 Republican Senate Victory,,,,,,,,,,,,,,,,,
SB23,C00563924,5631199618CBD0AA546,,,CCM,Cramer For Senate,,,,,,PO Box 396,,Bismarck,ND,585020396,P2024,,2024-03-12,5000.00,,Funds allocated from contribution to 2024 Republican Senate Victory C00837435,011,C00504704,,S8ND00120,Cramer,Kevin,John,,,S,ND,,,,,,,,X,
SB23,C00563924,156FDC75615BE9C8B06,,,CCM,Friends Of John Barrasso,,,,,,PO Box 52008,,Casper,WY,82605,P2024,,2024-03-12,5000.00,,Funds allocated from contribution to 2024 Republican Senate Victory C00837435,011,C00436386,,S6WY00068,Barrasso,John,Anthony,,,S,WY,,,,,,,,X,
SB23,C00563924,B679471CB32CE3A234A,,,CCM,Friends Of John Barrasso,,,,,,PO Box 52008,,Casper,WY,82605,G2024,,2024-03-12,5000.00,,Funds allocated from contribution to 2024 Republican Senate Victory C00837435,011,C00436386,,S6WY00068,Barrasso,John,Anthony,,,S,WY,,,,,,,,X,
SB23,C00563924,987271B901B2826DD68,,,CCM,Friends Of John Thune,,,,,,PO Box 841,,Sioux Falls,SD,57101,G2028,,2024-03-12,5000.00,,Funds allocated from contribution to 2024 Republican Senate Victory C00837435,011,C00409581,,S2SD00068,Thune,John,Randolph,,,S,SD,,,,,,,,X,
SB23,C00563924,EBC2B96DE3012C88EF3,,,CCM,Friends Of John Thune,,,,,,PO Box 841,,Sioux Falls,SD,57101,P2028,,2024-03-12,5000.00,,Funds allocated from contribution to 2024 Republican Senate Victory C00837435,011,C00409581,,S2SD00068,Thune,John,Randolph,,,S,SD,,,,,,,,X,
SB23,C00563924,06AF3EEF180A74F21DE,,,CCM,Marsha For Senate,,,,,,PO Box 3750,,Brentwood,TN,37024,P2024,,2024-03-12,5000.00,,Funds allocated from contribution to 2024 Republican Senate Victory C00837435,011,C00376939,,S8TN00337,Blackburn,Marsha,Wedgeworth,,,S,TN,,,,,,,,X,
SB23,C00563924,6E9A8A58644BD1D131E,,,CCM,Pete Ricketts For Senate,,,,,,11235 Davenport St,Ste 107,Omaha,NE,68154,P2024,,2024-03-12,5000.00,,Funds allocated from contribution to 2024 Republican Senate Victory C00837435,011,C00832436,,S6NE00129,Ricketts,Pete,,,,S,NE,,,,,,,,X,
SB23,C00563924,96577C1F275968343BC,,,CCM,Pete Ricketts For Senate,,,,,,11235 Davenport St,Ste 107,Omaha,NE,68154,G2024,,2024-03-12,2500.00,,Funds allocated from contribution to 2024 Republican Senate Victory C00837435,011,C00832436,,S6NE00129,Ricketts,Pete,,,,S,NE,,,,,,,,X,
SB23,C00563924,913C8D95D79B4CDD972,,,CCM,Wicker For Senate,,,,,,PO Box 64,,Jackson,MS,392050064,P2024,,2024-03-12,5000.00,,Funds allocated from contribution to 2024 Republican Senate Victory C00837435,011,C00443218,,S8MS00196,Wicker,Roger,Frederick,,,S,MS,,,,,,,,X,
SB23,C00563924,E0AB76CACD89C5F9919,,,CCM,Wicker For Senate,,,,,,PO Box 64,,Jackson,MS,392050064,G2024,,2024-03-12,2500.00,,Funds allocated from contribution to 2024 Republican Senate Victory C00837435,011,C00443218,,S8MS00196,Wicker,Roger,Frederick,,,S,MS,,,,,,,,X,
SB23,C00563924,1DB44D2DB76C3C3599C,,,CCM,Friends Of Dusty Johnson,,,,,,PO Box 278,,Mitchell,SD,57301,P2024,,2024-03-12,2500.00,,2024 Primary,011,C00628917,,H8SD01055,Johnson,Dusty,,,,H,SD,01,,,,,,,,
SB23,C00563924,EBECC1D46208743ADA1,,,CCM,LaHood for Congress,,,,,,PO Box 10735,,Peoria,IL,61612,P2024,,2024-03-12,2500.00,,2024 Primary,011,C00575050,,H6IL18088,LaHood,Darin,M.,,,H,IL,16,,,,,,,,
SB23,C00563924,176F9BF1E9FC9FD5E70,,,CCM,Stanton For Congress,,,,,,4340 E Indian School Rd,Ste 21-518,Phoenix,AZ,85018,P2024,,2024-03-12,2500.00,,2024 Primary,011,C00657304,,H8AZ09040,Stanton,Greg,,,,H,AZ,04,,,,,,,,
