form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00785816,500469510,,,CCM,Tammy Baldwin For Senate,,,,,,PO Box 696,,Madison,WI,537010696,P2024,,2023-06-27,5000.00,0.00,Contribution,,C00326801,,,Baldwin,Tammy,,,,S,WI,00,,,,,,,,
SB23,C00785816,500469520,,,CCM,Bob Casey For Senate,,,,,,PO Box 58746,,Philadelphia,PA,191028746,G2024,,2023-04-10,5000.00,0.00,Contribution,,C00431056,,,P.,Robert,Casey,,Jr.,S,PA,00,,,,,,,,
SB23,C00785816,500469770,,,CCM,Colin Allred For Senate,,,,,,PO Box 601631,,Dallas,TX,753601631,P2024,,2023-05-03,5000.00,0.00,Contribution,,C00839597,,,Allred,Colin,,,,S,TX,00,,,,,,,,
SB23,C00785816,500469511,,,CCM,Klobuchar For Minnesota,,,,,,PO Box 4146,,Saint Paul,MN,551040146,G2024,,2023-06-27,2500.00,0.00,Contribution,,C00431353,,,Klobuchar,Amy,,,,S,MN,00,,,,,,,,
SB23,C00785816,500469512,,,CCM,Tammy Baldwin For Senate,,,,,,PO Box 696,,Madison,WI,537010696,G2024,,2023-06-27,5000.00,0.00,Contribution,,C00326801,,,Baldwin,Tammy,,,,S,WI,00,,,,,,,,
SB23,C00785816,500469522,,,CCM,Raquel Teran For Congress,,,,,,PO Box 1041,,Glendale,AZ,853111041,P2024,,2023-06-27,5000.00,0.00,Contribution,,C00836890,,,Teran,Raquel,,,,H,AZ,03,,,,,,,,
SB23,C00785816,500469513,,,CCM,A Whole Lot Of People For Grijalva,,,,,,PO Box 1242,,Tucson,AZ,857021242,P2024,,2023-06-27,1000.00,0.00,Contribution,,C00374058,,,GRIJALVA,RAUL,M,,,H,AZ,03,,,,,,,,
SB23,C00785816,500469514,,,CCM,Kaine For Virginia,,,,,,1751 Potomac Greens Dr,,Alexandria,VA,223146233,P2024,,2023-06-27,2500.00,0.00,Contribution,,C00495358,,,Kaine,Timothy,Michael,,,S,VA,00,,,,,,,,
SB23,C00785816,500469515,,,CCM,Engel For Arizona,,,,,,PO Box 40721,,Tucson,AZ,857170721,P2024,,2023-06-27,5000.00,0.00,Contribution,,C00773820,,,Engel,Kirsten,,,,H,AZ,06,,,,,,,,
SB23,C00785816,500469545,,,PTY,Montana Democratic Party,,,,,,PO Box 802,,Helena,MT,596240802,,,2023-06-28,5000.00,0.00,Contribution,,C00010033,Montana Democratic Party,,,,,,,,,,,,,,,,,
SB23,C00785816,500469865,,,PAC,Cantwell Victory 2024,,,,,,401 2Nd Ave S,Ste 303,Seattle,WA,981042862,,,2023-06-30,2500.00,0.00,Contribution,,C00723189,Cantwell Victory 2024,,,,,,,,,,,,,,,,,
SB23,C00785816,500469516,,,CCM,Friends Of Mazie Hirono,,,,,,PO Box 677,,Honolulu,HI,968090677,P2024,,2023-06-27,2500.00,0.00,Contribution,,C00420760,,,Hirono,Mazie,,,,S,HI,00,,,,,,,,
SB23,C00785816,500469517,,,CCM,Stanton For Arizona,,,,,,4340 E Indian School Rd,Ste 21-518,Phoenix,AZ,850185398,P2024,,2023-06-27,1000.00,0.00,Contribution,,C00657304,,,STANTON,GREG,,,,H,AZ,09,,,,,,,,
SB23,C00785816,500469508,,,PTY,DSCC,,,,,,120 Maryland Ave NE,,Washington,DC,200025610,O2024,Legal,2023-06-27,15000.00,0.00,Contribution,,C00042366,DSCC,,,,,,,,,,,,,,,,,
SB23,C00785816,500469509,,,CCM,Martin Heinrich For Senate,,,,,,PO Box 25763,,Albuquerque,NM,871250763,G2024,,2023-06-27,2500.00,0.00,Contribution,,C00434563,,,Heinrich,Martin,,,,S,NM,00,,,,,,,,
SB23,C00785816,500469519,,,CCM,Bob Casey For Senate,,,,,,PO Box 58746,,Philadelphia,PA,191028746,P2024,,2023-04-10,5000.00,0.00,Contribution,,C00431056,,,P.,Robert,Casey,,Jr.,S,PA,00,,,,,,,,
SB23,C00785816,500469529,,,CCM,Whitehouse For Senate,,,,,,PO Box 40280,,Providence,RI,029400280,P2024,,2023-06-28,2500.00,0.00,Contribution,,C00410803,,,Whitehouse,Sheldon,,,,S,RI,00,,,,,,,,
