form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00386029,EB76968,,,PAC,"Friends of Proven Leadership PAC II, Inc.",,,,,,"5991 Chester Avenue, #204",,Jacksonville,FL,32217,,,2023-03-03,1000.00,,,011,,"Friends of Proven Leadership PAC II, Inc.",,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB76969,,,PAC,FTBA Transportation PAC,,,,,,1007 DeSoto Park Drive,,Tallahassee,FL,32301,,,2023-03-10,6500.00,,,011,,FTBA Transportation PAC,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB76971,,,PAC,HNTB Missouri PAC - Federal Committee,,,,,,"28 Liberty Ship Way, Suite 2815",,Sausalito,CA,94965,,,2023-03-10,5000.00,,,011,,HNTB Missouri PAC - Federal Committee,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB76970,,,PAC,Nick Primrose Campaign,,,,,,2640-A Mitcham Drive,,Tallahassee,FL,32308,,,2023-03-10,1000.00,,,011,,Nick Primrose Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB76972,,,PAC,Bill Moen for Assembly,,,,,,PO Box 1003,,Camden,NJ,08101,,,2023-03-13,300.00,,,011,,Bill Moen for Assembly,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB76974,,,PAC,Brian Champagne Campaign Fund,,,,,,200 Poinsettia Drive,,Belle Chasse,LA,70037,,,2023-03-14,1000.00,,,011,,Brian Champagne Campaign Fund,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB76975,,,PAC,Common Voices,,,,,,"6618 South Dixie Highway, #148",,Miami,FL,33143,,,2023-03-14,1000.00,,,011,,Common Voices,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB76978,,,PAC,Friends of Claudia Balducci,,,,,,P.O. Box 50333,,Bellevue,WA,98015,,,2023-03-15,1000.00,,,011,,Friends of Claudia Balducci,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB76980,,,PAC,Friends of Nate Shannon,,,,,,P.O. Box 7091,,Sterling Heights,MI,48311,,,2023-03-15,250.00,,,011,,Friends of Nate Shannon,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB76979,,,PAC,Martha Castex-Tatum Campaign,,,,,,6106 Dryad Drive,,Houston,TX,77035,,,2023-03-15,1000.00,,,011,,Martha Castex-Tatum Campaign,,Committee,Non-Federal,,,,,TX,,,,,,,,,
