form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00001636,SB29.71475,,,COM,Anthony Bucco for Senate,,,,,,38 Lakewood Dr.,,Denville,NJ,078342818,G2023,,2023-08-31,500.00,,"NJ Senate, NJ, 25 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71451,,,COM,Beck For Missouri,,,,,,9426 Brenda Ave.,,St. Louis,MO,63123,P2024,,2023-08-21,1000.00,,"Senate, MO, 1 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71417,,,COM,Buckley for Beech Grove Team,,,,,,112 N. 6th Avenue,,Beech Grove,IN,46107,G2023,,2023-08-10,500.00,,"Beech Grove Mayor, IN",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71468,,,COM,Burger For Missouri,,,,,,P.O. Box 453,,Benton,MO,63736,P2024,,2023-08-21,300.00,,"House, MO, 148 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71442,,,COM,California Problem Solvers Foundation,,,,,,"1100 O Street, Suite 200",,Sacramento,CA,95814,G2024,,2023-08-14,1000.00,,California Problem Solvers Foundation,,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71421,,,COM,Cecilia Aguiar-Curry for Assembly 2024,,,,,,"1414 K Street, Suite 250",,Sacramento,CA,95814,P2024,,2023-08-10,1500.00,,"State Assembly, CA, 04 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71395,,,COM,Citizens for Castro,,,,,,P.O. Box 1506,,Elgin,IL,60121,P2024,,2023-08-03,500.00,,"Senate, IL, 22 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71418,,,COM,Citizens for Giannoulias,,,,,,"22 West Washington Street, Suite 1",C/o P2 Consulting,Chicago,IL,60602,P2026,,2023-08-10,500.00,,"Secetary of State, IL",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71394,,,COM,Citizens for Laura Murphy,,,,,,P.O. Box 13,,Des Plaines,IL,60016,P2024,,2023-08-03,150.00,,"Senate, IL, 28 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71464,,,COM,Citizens To Elect Stephanie Hein,,,,,,940 E Portland Street,,Springfield,MO,65807,P2024,,2023-08-21,300.00,,"House, MO, 136 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71456,,,COM,Committee To Elect Barbara Anne Washington,,,,,,P.O. Box 270235,,Kansas City,MO,64128,P2024,,2023-08-21,500.00,,"Senate, MO, 8 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71419,,,COM,Committee to Elect Houston Gaines,,,,,,P.O. Box 1203,,Athens,GA,30603,P2024,,2023-08-10,125.00,,"House, GA, 117 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71457,,,COM,Committee To Elect Keri Ingle,,,,,,3104 Sw Muir Dr.,,Lee's Summit,MO,64063,P2024,,2023-08-21,300.00,,"House, MO, 35 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71454,,,COM,Committee To Elect Robert Sauls,,,,,,P.O. Box 1215,,Independence,MO,64051,P2024,,2023-08-21,500.00,,"Senate, MO, 11 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71440,,,COM,CTE Jenn Hill State Representative,,,,,,P.O. Box 151,,Marquette,MI,49855,P2024,,2023-08-14,250.00,,"House, MI, 109 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71478,,,COM,CTE Patrick Diegnan,,,,,,P.O. Box 736,,South Plainfield,NJ,07080,G2023,,2023-08-31,750.00,,"NJ Senate, NJ, 18 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71483,,,PAC,DEFEND KANSAS POLITICAL ACTION COMMITTEE,,,,,,4925 South Broadway Avenue,Suite 1125,Wichita,KS,67216,,,2023-08-31,10000.00,,"AG PAC, KS",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71481,,,COM,Donlon for Assembly,,,,,,P.O. box 579,,Oakhurst,NJ,07755,G2023,,2023-08-31,250.00,,"NJ Assembly, NJ, 11 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71479,,,COM,Drulis for Assembly,,,,,,P.O. Box 97,,Ringoes,NJ,08551,G2023,,2023-08-31,1000.00,,"NJ Assembly, NJ, 16 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71487,,,COM,EFO Coughlin,,,,,,"C/o H&P Consulting, LLC","12 North Rt. 17, Suite 320",Paramus,NJ,07652,G2023,,2023-08-31,1000.00,,"NJ Assembly, NJ, 19 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71485,,,COM,EFO Karabinchak for Assembly,,,,,,32 Oak Hills Rd.,,Edison,NJ,08820,G2023,,2023-08-31,500.00,,"NJ Assembly, NJ, 18 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71489,,,COM,EFO of Joseph F. Vitale,,,,,,P.O. Box 1467,,Woodbridge,NJ,07095,G2023,,2023-08-31,500.00,,"NJ Senate, NJ, 19 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71428,,,COM,Faraci for Senate,,,,,,1004 Barclay Court,,Champaign,IL,61821,P2024,,2023-08-10,250.00,,"Senate, IL, 52 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71494,,,COM,Felix 4 Freedom,,,,,,4806 Holloway Ave.,,Bellevue,NE,68133,P2024,,2023-08-31,2000.00,,"State Legislature, NE, 03 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71462,,,COM,Fogle for Missouri,,,,,,1325 E University,,Springfield,MO,65804,P2024,,2023-08-21,300.00,,"House, MO, 135 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.71490,,,COM,Freiman for Assembly,,,,,,P.O. Box 16,,Kingston,NJ,08528,G2024,,2023-08-31,1000.00,,"NJ Assembly, NJ, 16 dst",,,,,,,,,,,,,,,,,,,,
