form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00707232,500506469,,,ORG,ActBlue Technical Services,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-05-31,0.10,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506470,,,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552605,,,2024-05-29,511.48,0.00,Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506471,,,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552605,,,2024-05-29,188.48,0.00,Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506472,,,ORG,Amtrak,,,,,,50 Massachusetts Ave NE,,Washington,DC,200024214,,,2024-05-02,129.00,0.00,Rail Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506473,,,ORG,Amtrak,,,,,,50 Massachusetts Ave NE,,Washington,DC,200024214,,,2024-05-06,174.00,0.00,Rail Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506477,,,ORG,Delta Airlines,,,,,,PO Box 20706,,Atlanta,GA,303206001,,,2024-05-06,443.10,0.00,Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506478,,,ORG,Delta Airlines,,,,,,PO Box 20706,,Atlanta,GA,303206001,,,2024-05-06,463.10,0.00,Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506479,,,ORG,Delta Airlines,,,,,,PO Box 20706,,Atlanta,GA,303206001,,,2024-05-06,748.20,0.00,Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506484,,,ORG,Limani,,,,,,670 Wharf St SW,,Washington,DC,200243590,,,2024-05-09,223.08,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506485,,,ORG,Marriott - Detroit,,,,,,400 Renaissance Ctr,,Detroit,MI,482431502,,,2024-05-08,251.85,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506486,,,ORG,Marriott - Detroit,,,,,,400 Renaissance Ctr,,Detroit,MI,482431502,,,2024-05-08,353.71,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506487,,,ORG,Perkins Coie,,,,,,1201 3Rd Ave,Fl 40,Seattle,WA,981013029,,,2024-05-07,13026.25,0.00,Legal Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500506488,,,ORG,Resorts World Las Vegas,,,,,,3000 Las Vegas Blvd S,,Las Vegas,NV,891091932,,,2024-05-07,1788.80,0.00,Lodging,,,,,,,,,,,,,,,,,,,,
