form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00471540,500189152,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,2736.21,0.00,In-kind: staff time/grassroots organizing,011,C00836767,,,ANSARI,YASSAMIN,,,,H,AZ,03,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189153,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,2468.48,0.00,In-kind: staff time/grassroots organizing,011,C00558627,,,GALLEGO,RUBEN,,,,S,AZ,,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189155,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,2464.56,0.00,In-kind: staff time/grassroots organizing,011,C00844480,,,HERTEL,CURTIS,JR.,,,H,MI,07,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189156,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,1612.50,0.00,In-kind: staff time/grassroots organizing,011,C00807727,,,MARLINGA,CARL,J.,,,H,MI,10,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189281,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,3102.75,0.00,In-kind: staff time/grassroots organizing,011,C00834218,,,SLOTKIN,ELISSA,,,,S,MI,00,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189285,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,1700.00,0.00,In-kind: staff time/grassroots organizing,011,C00412304,,,TESTER,JON,,,,S,MT,,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189287,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,1700.00,0.00,In-kind: staff time/grassroots organizing,011,C00841874,,,HUBBARD,CHUCK,,,,H,NC,05,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189289,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,2072.22,0.00,In-kind: staff time/grassroots organizing,011,C00660464,,,PAPPAS,CHRIS,,,,H,NH,01,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189290,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,1733.00,0.00,In-kind: staff time/grassroots organizing,011,C00878454,,,GOODLANDER,MAGGIE,,,,H,NH,02,,,,,,,,"(See Schedule B, Line 21b)"
SB23,C00471540,500189292,,,ORG,Environmental Defense Action Fund,,,,,,257 Park Ave S,Fl 17,New York,NY,100107323,G2024,,2024-10-01,2181.19,0.00,In-kind: staff time/grassroots organizing,011,C00499467,,,TITUS,DINA,,,,H,NV,01,,,,,,,,"(See Schedule B, Line 21b)"
