form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00007922,VPEH8ABZ7D3,,,CCM,Friends Of Mazie Hirono,,,,,,PO Box 677,,Honolulu,HI,968090677,P2024,,2023-02-27,2500.00,0.00,Contribution,011,C00420760,,,Hirono,Mazie,,,,S,HI,,,,,,,,,
SB23,C00007922,VPEH8ABZ718,,,PAC,IMPACT,,,,,,192 Lexington Ave,Rm 1001,New York,NY,100166823,,,2023-02-27,5000.00,0.00,Contribution,011,C00348607,IMPACT,,,,,,,,,,,,,,,,,
SB23,C00007922,VPEH8ABZ7G7,,,CCM,Klobuchar For Minnesota,,,,,,PO Box 4146,,Saint Paul,MN,551040146,P2024,,2023-02-27,5000.00,0.00,Contribution,011,C00431353,,,Klobuchar,Amy,,,,S,MN,,,,,,,,,
SB23,C00007922,VPEH8ABZ7C5,,,PAC,Lobo PAC,,,,,,PO Box 25852,,Albuquerque,NM,871250852,,,2023-02-27,5000.00,0.00,Contribution,011,C00497073,Lobo PAC,,,,,,,,,,,,,,,,,
SB23,C00007922,VPEH8ABZ784,,,PAC,Maintaining All Republicans in Office PAC,,,,,,8724 SW 72nd St,# 421,Miami,FL,331733512,,,2023-02-27,5000.00,0.00,Contribution,011,C00565630,Maintaining All Republicans in Office PAC,,,,,,,,,,,,,,,,,
SB23,C00007922,VPEH8ABZ768,,,PAC,Make It Work PAC,,,,,,1032 15th St NW,Ste 247,Washington,DC,200051502,,,2023-02-27,5000.00,0.00,Contribution,011,C00552539,Make It Work PAC,,,,,,,,,,,,,,,,,
SB23,C00007922,VPEH8ABYSZ4,,,CCM,Norma Torres For Congress,,,,,,728 W Edna Pl,,Covina,CA,917223222,P2024,,2023-02-10,5000.00,0.00,Contribution,011,C00557652,,,Torres,Norma,,,,H,CA,35,,,,,,,,
SB23,C00007922,VPEH8ABYQQ7,,,PAC,North America's Building Trades Unions Political Educational Fund,,,,,,815 16th St NW,Ste 600,Washington,DC,200064101,,,2023-02-08,2500.00,0.00,Contribution,011,C00003160,North America's Building Trades Unions Political Educational Fund,,,,,,,,,,,,,,,,,
SB23,C00007922,VPEH8ABYR56,,,PTY,NRCC,,,,,,320 1st St SE,,Washington,DC,200031838,,,2023-02-08,15000.00,0.00,Contribution,011,C00075820,NRCC,,,,,,,,,,,,,,,,,
SB23,C00007922,VPEH8ABZ7B7,,,PAC,PAC to the Future,,,,,,1032 15th St NW,Ste 247,Washington,DC,200051502,,,2023-02-27,5000.00,0.00,Contribution,011,C00344234,PAC to the Future,,,,,,,,,,,,,,,,,
SB23,C00007922,VPEH8ABZ7H5,,,PAC,People's Voice PAC,,,,,,PO Box 685,,Madison,WI,537010685,,,2023-02-27,5000.00,0.00,Contribution,011,C00410092,People's Voice PAC,,,,,,,,,,,,,,,,,
SB23,C00007922,VPEH8ABZ7A9,,,PAC,Progressive Majority PAC,,,,,,499 S Capitol St SW,Ste 420,Washington,DC,200034027,,,2023-02-27,5000.00,0.00,Contribution,011,C00663609,Progressive Majority PAC,,,,,,,,,,,,,,,,,
SB23,C00007922,VPEH8ABYQR5,,,PAC,Republican Governance Group/Tuesday Group PAC,,,,,,610 S Boulevard,,Tampa,FL,336062647,,,2023-02-08,5000.00,0.00,Contribution,011,C00433060,Republican Governance Group/Tuesday Group PAC,,,,,,,,,,,,,,,,,
SB23,C00007922,VPEH8ABYQP9,,,CCM,Tammy Baldwin For Senate,,,,,,PO Box 696,,Madison,WI,537010696,G2024,,2023-02-08,2500.00,0.00,Contribution,011,C00326801,,,Baldwin,Tammy,,,,S,WI,,,,,,,,,
SB23,C00007922,VPEH8ABZ734,,,PAC,The Madison PAC,,,,,,235 State St,Apt 206,Springfield,MA,011031741,,,2023-02-27,5000.00,0.00,Contribution,011,C00426809,The Madison PAC,,,,,,,,,,,,,,,,,
SB23,C00007922,VPEH8ABYQT1,,,PAC,Transportation Trades Department AFL-CIO Political Action Committee (TTD/PAC),,,,,,815 16th St NW,Fl 4,Washington,DC,200064101,,,2023-02-08,2500.00,0.00,Contribution,011,C00280909,Transportation Trades Department AFL-CIO Political Action Committee (TTD/PAC),,,,,,,,,,,,,,,,,
