form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00687848,EB2416,,,PAC,"Ayala- Quintero for Redlands School Board 2024, Melissa",,,,,,1508 Barton Road #162,,Redlands,CA,92373,,,2024-08-26,1000.00,,Contribution to non-federal committee,011,,"Ayala- Quintero for Redlands School Board 2024, Melissa",,,,,,,,,,,,,,,,,
SB29,C00687848,EB2391,,,PAC,"Bolton for HB City Council 2024, Rhonda",,,,,,249 East Ocean Blvd. #670,,Long Beach,CA,90802,,,2024-07-26,1000.00,,Contribution to non-federal committee,011,,"Bolton for HB City Council 2024, Rhonda",,,,,,,,,,,,,,,,,
SB29,C00687848,EB2440,,,PAC,"Cho for Fullerton School Board 2024, James",,,,,,"1400 North Harbor Blvd, Suite 550",,Fullerton,CA,92835,,,2024-09-13,1000.00,,Contribution to Non-Federal Committee,011,,"Cho for Fullerton School Board 2024, James",,,,,,,,,,,,,,,,,
SB29,C00687848,EB2419,,,PAC,"Clayton-Tarvin for Ocean View School District 2024, Committee to Re-Elect Gina",,,,,,6562 Montoya Circle,,Huntington Beach,CA,92647,,,2024-08-27,1000.00,,Contribution to non-federal committee,011,,"Clayton-Tarvin for Ocean View School District 2024, Committee to Re-Elect Gina",,,,,,,,,,,,,,,,,
SB29,C00687848,EB2420,,,PAC,"Craciun for City Council 2024, Ayn",,,,,,"1 West Manchester, Suite 700",,Inglewood,CA,90301,,,2024-08-27,500.00,,Contribution to non-federal committee,011,,"Craciun for City Council 2024, Ayn",,,,,,,,,,,,,,,,,
SB29,C00687848,EB2421,,,PAC,"Damikolas for School Board 2024, Allyson M.",,,,,,249 East Ocean Blvd. #670,,Long Beach,CA,90802,,,2024-08-27,1000.00,,Contribution to non-federal committee,011,,"Damikolas for School Board 2024, Allyson M.",,,,,,,,,,,,,,,,,
SB29,C00687848,EB2385,,,PAC,"Duncan for Assembly 2024, Chris",,,,,,"1700 Tribute Road, Suite 201",,Sacramento,CA,95815,,,2024-07-26,2750.00,,Contribution to non-federal committee,011,,"Duncan for Assembly 2024, Chris",,,,,,,,,,,,,,,,,
SB29,C00687848,EB2446,,,PAC,"Engle for Aliso Viejo City Council 2024, Jennifer",,,,,,62 Cinnamon Teal,,Aliso Viejo,CA,92656,,,2024-09-16,500.00,,Contribution to Non-Federal Committee,011,,"Engle for Aliso Viejo City Council 2024, Jennifer",,,,,,,,,,,,,,,,,
SB29,C00687848,EB2441,,,PAC,Ereth for Costa Mesa City Council 2024,,,,,,3034 Club House Road,,Costa Mesa,CA,92626,,,2024-09-13,1000.00,,Contribution to Non-Federal Committee,011,,Ereth for Costa Mesa City Council 2024,,,,,,,,,,,,,,,,,
SB29,C00687848,EB2442,,,PAC,"Estrella for Fullerton School Board 2024, Vanessa",,,,,,"1400 North Harbor Blvd, Suite 550",,Fullerton,CA,92832,,,2024-09-13,1000.00,,Contribution to Non-Federal Committee,011,,"Estrella for Fullerton School Board 2024, Vanessa",,,,,,,,,,,,,,,,,
