form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00076299,87659217,,,COM,Friends of Kelly M. Burke,,,,,,9543 S. Central Park,,Evergreen Park,IL,60805,,,2023-08-08,4000.00,0.00,"Kelly Burke, State Representative  IL",011,,,,Burke,Kelly,,,,,,,,,,,,,,"Kelly Burke, State Representative  IL"
SB29,C00076299,87769251,,,COM,Friends of Don Harmon,,,,,,6941-A W. North Ave.,,Oak Park,IL,60302,,,2023-09-13,4500.00,0.00,"Don Harmon, STATE SENATE  IL",011,,,,Harmon,Don,,,,,,,,,,,,,,"Don Harmon, STATE SENATE  IL"
SB29,C00076299,87791558,,,COM,McCombie for Illinois,,,,,,"1548 Bond St., Ste. 102",,Naperville,IL,60563,,,2023-09-20,2500.00,0.00,"Tony McCombie, State Representative 89th IL",011,,,,McCombie,Tony,,,,,,,,,,,,,,"Tony McCombie, State Representative 89th IL"
SB29,C00076299,87802893,,,COM,Friends of John Curran,,,,,,5926 Grand Ave.,,Downers Grove,IL,60516,,,2023-09-22,2000.00,0.00,"John Curran, STATE SENATE 41st IL",011,,,,Curran,John,,,,,,,,,,,,,,"John Curran, STATE SENATE 41st IL"
SB29,C00076299,87916755,,,COM,Citizens for Joe Sosnowski,,,,,,"7431 E. State St., #114",,Rockford,IL,61108,,,2023-10-25,1000.00,0.00,"Joe Sosnowski, State Representative  IL",011,,,,Sosnowski,Joe,,,,,,,,,,,,,,"Joe Sosnowski, State Representative  IL"
SB29,C00076299,87916757,,,COM,Citizens for Michael E. Hastings,,,,,,PO Box 162,,Tinley Park,IL,60477,,,2023-10-25,1000.00,0.00,"Michael Hastings, STATE SENATE  IL",011,,,,Hastings,Michael,,,,,,,,,,,,,,"Michael Hastings, STATE SENATE  IL"
SB29,C00076299,87916759,,,COM,Friends of Christopher Belt,,,,,,PO Box 784,,Belleville,IL,62222,,,2023-10-25,1000.00,0.00,"Christopher Belt, STATE SENATE 57th IL",011,,,,Belt,Christopher,,,,,,,,,,,,,,"Christopher Belt, STATE SENATE 57th IL"
SB29,C00076299,87916764,,,COM,Friends of Robyn Gabel,,,,,,PO Box 6453,,Evanston,IL,60204,,,2023-10-25,1000.00,0.00,"Robyn Gabel, State Representative 18th IL",011,,,,Gabel,Robyn,,,,,,,,,,,,,,"Robyn Gabel, State Representative 18th IL"
SB29,C00076299,87916766,,,COM,"Friends of Edgar Gonzalez, Jr.",,,,,,4140 S. Archer,,Chicago,IL,60632,,,2023-10-25,250.00,0.00,"Edgar Gonzalez, State Representative 21st IL",011,,,,Gonzalez,Edgar,,,Jr.,,,,,,,,,,,"Edgar Gonzalez, State Representative 21st IL"
SB29,C00076299,87916817,,,COM,Faraci for Senate,,,,,,1004 Barcley Ct.,,Champaign,IL,61821,,,2023-10-25,1000.00,0.00,"Paul Faraci, STATE SENATE 52nd IL",011,,,,Faraci,Paul,,,,,,,,,,,,,,"Paul Faraci, STATE SENATE 52nd IL"
SB29,C00076299,87957751,,,COM,Friends of Mattie Hunter,,,,,,PO Box 439430,,Chicago,IL,60643,,,2023-11-02,1000.00,0.00,"Mattie Hunter, STATE SENATE 3rd IL",011,,,,Hunter,Mattie,,,,,,,,,,,,,,"Mattie Hunter, STATE SENATE 3rd IL"
SB29,C00076299,87986620,,,COM,DeWitte for Illinois Senate,,,,,,PO Box 4193,,St. Charles,IL,60174,,,2023-11-08,500.00,0.00,"Don DeWitte, STATE SENATE 33rd IL",011,,,,DeWitte,Don,,,,,,,,,,,,,,"Don DeWitte, STATE SENATE 33rd IL"
SB29,C00076299,87986621,,,COM,Joyce for Senate,,,,,,PO Box 131,,Essex,IL,60935,,,2023-11-08,1000.00,0.00,"Patrick Joyce, STATE SENATE 40th IL",011,,,,Joyce,Patrick,,,,,,,,,,,,,,"Patrick Joyce, STATE SENATE 40th IL"
SB29,C00076299,87986622,,,COM,Friends of Curtis Tarver II,,,,,,320 E. Washington,,Oswego,IL,60543,,,2023-11-08,500.00,0.00,"Curtis Tarver II, State Representative  IL",011,,,,Tarver II,Curtis,,,,,,,,,,,,,,"Curtis Tarver II, State Representative  IL"
SB29,C00076299,87986623,,,COM,Croke for Illinois,,,,,,1701 N. North Park Ave. #2,,Chicago,IL,60614,,,2023-11-08,750.00,0.00,"Margaret Croke, State Representative 12th IL",011,,,,Croke,Margaret,,,,,,,,,,,,,,"Margaret Croke, State Representative 12th IL"
SB29,C00076299,87986624,,,COM,Friends of Jehan Gordon,,,,,,PO Box 6591,,Peoria,IL,61601,,,2023-11-08,1000.00,0.00,"Jehan Gordon, State Representative 92nd IL",011,,,,Gordon,Jehan,,,,,,,,,,,,,,"Jehan Gordon, State Representative 92nd IL"
