form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00764209,B--483619,,,ORG,M2 Placement LLC,,,,,,"10065 E Harvard Ave, Ste 400",,Denver,CO,80231,G2024,,2024-10-01,-224905.00,,"TV Ad 10/7/24-10/20/24 Support Cory Swanson, Support Dan Wilson",001,,,,,,,,,,,,,,,,,,,
SB29,C00764209,B-483620,,,ORG,M2 Placement LLC,,,,,,"10065 E Harvard Ave, Ste 400",,Denver,CO,80231,G2024,,2024-10-01,224905.00,224905.00,"TV Ad 10/7/24-10/20/24  Support Cory Swanson, Support Dan Wilson",001,,Cory Swanson for Supreme Court Chief Justice,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00764209,B-483621,,,ORG,M2 Placement LLC,,,,,,"10065 E Harvard Ave, Ste 400",,Denver,CO,80231,G2024,,2024-10-01,224905.00,224905.00,"TV Ad 10/7/24-10/20/24  Support Cory Swanson, Support Dan Wilson",001,,Dan Wilson for Supreme Court Justice No. 03,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00764209,B-488702,,,PAC,Club for Growth Action,,,,,,2001 L Street Northwest,Ste 600,Washington,DC,20036,G2024,,2024-10-07,850000.00,,Contribution,003,,,,,,,,,,,,,,,,,,,
SB29,C00764209,B-488703,,,ORG,Valley Bank of Helena,,,,,,1900 9th Avenue,,Helena,MT,59601,G2024,,2024-10-07,20.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB29,C00764209,B--488707,,,ORG,Invictus Advertising,,,,,,16192 Coastal Highway,,Lewes,DE,19958,G2024,,2024-10-09,-65000.00,,"Facebook Ads, Support Cory Swanson and Dan Wilson, 10/1/24 - 11/5/24",003,,,,,,,,,,,,,,,,,,,
SB29,C00764209,B-488708,,,ORG,Invictus Advertising,,,,,,16192 Coastal Highway,,Lewes,DE,19958,G2024,,2024-10-09,65000.00,110500.00,"Facebook Ads, Support Cory Swanson, 10/1/24 - 11/5/24",003,,Cory Swanson for Supreme Court Chief Justice,,Swanson,Cory,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00764209,B-488709,,,ORG,Invictus Advertising,,,,,,16192 Coastal Highway,,Lewes,DE,19958,G2024,,2024-10-09,65000.00,222135.00,"Facebook Ads, Support Dan Wilson, 10/1/24 -11/5/24",003,,Dan Wilson for Supreme Court Justice No. 03,,Wilson,Dan,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00764209,B--488706,,,ORG,M2 Placement LLC,,,,,,"10065 E Harvard Ave, Ste 400",,Denver,CO,80231,G2024,,2024-10-09,-112135.00,,"TV Ad 10/21/24-10/27/24 Support Cory Swanson, Support Dan Wilson",001,,,,,,,,,,,,,,,,,,,
SB29,C00764209,B-488803,,,ORG,M2 Placement LLC,,,,,,"10065 E Harvard Ave, Ste 400",,Denver,CO,80231,G2024,,2024-10-09,112135.00,337040.00,TV Ad 10/21/24-10/27/24 Support Cory Swanson,001,,Cory Swanson for Supreme Court Chief Justice,,,,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00764209,B-488804,,,ORG,M2 Placement LLC,,,,,,"10065 E Harvard Ave, Ste 400",,Denver,CO,80231,G2024,,2024-10-09,112135.00,222135.00,TV Ad 10/21/24-10/27/24 Support Dan Wilson,001,,Dan Wilson for Supreme Court Justice No. 03,,Wilson,Dan,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00764209,B-488710,,,ORG,Public Opinion Strategies,,,,,,214 North Fayette Street,,Alexandria,VA,22314,G2024,,2024-10-09,2125.00,,Polling and Research,001,,,,,,,,,,,,,,,,,,,
SB29,C00764209,B-488712,,,ORG,The Political Company,,,,,,PO Box 81274,,Billings,MT,59108,G2024,,2024-10-09,10000.00,110500.00,IE Digital Media Placement 10/4/24-11/5/24 Support Cory Swanson for MCJSC,001,,Cory Swanson for Supreme Court Chief Justice,,Swanson,Cory,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00764209,B-488713,,,ORG,The Political Company,,,,,,PO Box 81274,,Billings,MT,59108,G2024,,2024-10-09,10000.00,222135.00,IE Digital Media Placement 10/4/24-11/5/24 Support Dan Wilson for MSC,001,,Dan Wilson for Supreme Court Justice No. 03,,Wilson,Dan,,,,,,,,,,,,,,Non-Contribution Account
SB29,C00764209,B-488714,,,ORG,The Political Company,,,,,,PO Box 81274,,Billings,MT,59108,G2024,,2024-10-09,82764.16,,Canvassing,001,,,,,,,,,,,,,,,,,,,
SB29,C00764209,B-488716,,,ORG,Valley Bank of Helena,,,,,,1900 9th Avenue,,Helena,MT,59601,G2024,,2024-10-09,20.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
