form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00883215,SE.4185,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-07-31,462.59,2024-07-31,462.59,advertise internet videos: Support Harris; oppose Trump,004,C00883215,S,P00009423,HARRIS,KAMALA,,,,P,,,Peters,Barry,,,,2024-10-07,
SE,C00883215,SE.4189,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-07-31,28.73,2024-07-31,28.73,advertise internet videos: Support Calvarese; oppose Boebert,004,C00883215,S,H4CO04280,CALVARESE,TRISHA,,,,H,04,CO,Peters,Barry,,,,2024-10-07,
SE,C00883215,SE.4191,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-08-31,1673.54,2024-08-31,2136.13,advertise internet videos: Support Harris; oppose Trump,004,C00883215,S,P00009423,HARRIS,KAMALA,,,,P,,,Peters,Barry,,,,2024-10-07,
SE,C00883215,SE.4194,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-08-31,725.57,2024-08-31,754.30,advertise internet videos: Support Calvarese; oppose Boebert,004,C00883215,S,H4CO04280,CALVARESE,TRISHA,,,,H,04,CO,Peters,Barry,,,,2024-10-07,
SE,C00883215,SE.4195,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-09-30,2446.79,2024-09-30,4582.92,advertise internet videos: Support Harris; oppose Trump,004,C00883215,S,P00009423,HARRIS,KAMALA,,,,P,,,Peters,Barry,,,,2024-10-07,
SE,C00883215,SE.4196,,,ORG,Google Ads,,,,,,1600 Amphitheater Parkway,,Mountain View,CA,94043,G2024,,2024-09-30,781.50,2024-09-30,1535.80,advertise internet videos: Support Calvarese; oppose Boebert,004,C00883215,S,H4CO04280,CALVARESE,TRISHA,,,,H,04,CO,Peters,Barry,,,,2024-10-07,
