form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00599084,SB23.8986,,,CCM,ALAMO PAC,,,,,,919 CONGRESS AVENUE,SUITE 1400,AUSTIN,TX,78701,G2024,,2024-09-15,2500.00,,PCGPAC contribution to Alamo PAC,011,C00387464,ALAMO PAC,,,,,,,,,,,,,,,,,
SB23,C00599084,SB23.8978,,,PAC,Committee for the Advancement of Cotton,,,,,,PO Box 2995,,Cordova,TN,380882995,G2024,,2024-07-22,5000.00,,PCGPAC contribution to Committee to the Adv of Cotton,011,C00023028,Committee for the Advancement of Cotton,,,,,,,,,,,,,,,,,
SB23,C00599084,SB23.8992,,,CAN,,CRUZ,RAFAEL EDWARD  TED,,,,PO BOX 25376,,HOUSTON,TX,77265,G2024,,2024-09-24,5000.00,,PCGPAC contribution to Ted Cruz for Senate,011,C00492785,TED CRUZ FOR SENATE,,,,,,,S,TX,00,,,,,,,,
SB23,C00599084,SB23.8980,,,CAN,,Davis,Don,,,,PO Box 511,,Snow Hill,NC,28580,G2024,,2024-08-02,5000.00,,PCGPAC contribution to Don Davis for NC,011,C00795211,DON DAVIS FOR NC,,,,,,,H,NC,,,,,,,,,
SB23,C00599084,SB23.8985,,,CAN,,FALLON,PATRICK,,,,PO BOX 614,,CELINA,TX,75009,G2024,,2024-09-11,5000.00,,PCGPAC contribution to Pat Fallon for Congress,011,C00750307,FALLON FOR CONGRESS,,,,,,,H,TX,04,,,,,,,,
SB23,C00599084,SB23.8981,,,CAN,,HIGGINS,CLAY CAPTAIN,,,,PO BOX 61747,,LAFAYETTE,LA,70596,G2024,,2024-09-10,2500.00,,PCGPAC contribution to Captain Higgins for Congress,011,C00617662,CAPTAIN HIGGINS FOR CONGRESS,,,,,,,H,LA,03,,,,,,,,
SB23,C00599084,SB23.8984,,,CAN,,JOHNSON,DUSTY,,Mr.,,PO BOX 278,,MITCHELL,SD,57301,G2024,,2024-09-11,5000.00,,PCGPAC contribution to Friends of Dusty Johnson for Congress,011,C00628917,FRIENDS OF DUSTY JOHNSON,,,,,,,H,SD,01,,,,,,,,
SB23,C00599084,SB23.8982,,,CAN,,MANN,TRACEY ROBERT,,,,PO BOX 1084,,SALINA,KS,67402,G2024,,2024-09-10,5000.00,,PCGPAC contribution to Mann for Congress,011,C00460659,MANN FOR CONGRESS,,,,,,,H,KS,01,,,,,,,,
SB23,C00599084,SB23.8979,,,CAN,,NEWHOUSE,DAN,,,,2521 S EMERALD RD,,SUNNYSIDE,WA,98944,P2024,,2024-07-24,2500.00,,PCGPAC contribution to Dan Newhouse for Congress,011,C00559393,DAN NEWHOUSE FOR CONGRESS,,,,,,,H,WA,04,,,,,,,,
SB23,C00599084,SB23.8983,,,PAC,RURAL AMERICA COUNTS PAC (RAC PAC),,,,,,3538 SOUTH WAKEFIELD STREET,,ARLINGTON,VA,22206,G2024,,2024-09-11,5000.00,,PCGPAC contribution to Rural America Counts PAC,011,C00570770,RURAL AMERICA COUNTS PAC (RAC PAC),,,,,,,,,,,,,,,,,
