form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00846683,SB29.4354,,,ORG,Am Fed for Children Action Fund-GA Leg IE,,,,,,10440 Little Patuxent Pky Ste 300-,,Columbia,MD,31044,,,2024-04-23,125000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4356,,,ORG,Baptist Ministers Assoc of Houston & Vicinity PAC,,,,,,7817 Calhoun Rd,,Houston,TX,77033,,,2024-05-16,10000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4357,,,ORG,Baptist Ministers Assoc of Houston & Vicinity PAC,,,,,,7817 Calhoun Rd,,Houston,TX,77033,,,2024-05-23,5000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4405,,,ORG,Camelback Strategy Group,,,,,,2801 E Camelback Rd Ste 200,,Phoenix,AZ,85016,,,2024-04-12,42975.22,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4406,,,ORG,Camelback Strategy Group,,,,,,2801 E Camelback Rd Ste 200,,Phoenix,AZ,85016,,,2024-04-15,42519.71,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4407,,,ORG,Camelback Strategy Group,,,,,,2801 E Camelback Rd Ste 200,,Phoenix,AZ,85016,,,2024-04-19,33143.24,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4408,,,ORG,Camelback Strategy Group,,,,,,2801 E Camelback Rd Ste 200,,Phoenix,AZ,85016,,,2024-04-25,42485.80,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4409,,,ORG,Camelback Strategy Group,,,,,,2801 E Camelback Rd Ste 200,,Phoenix,AZ,85016,,,2024-05-02,40702.47,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4410,,,ORG,Camelback Strategy Group,,,,,,2801 E Camelback Rd Ste 200,,Phoenix,AZ,85016,,,2024-05-06,49757.52,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4411,,,ORG,Camelback Strategy Group,,,,,,2801 E Camelback Rd Ste 200,,Phoenix,AZ,85016,,,2024-05-10,41552.51,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4412,,,ORG,Camelback Strategy Group,,,,,,2801 E Camelback Rd Ste 200,,Phoenix,AZ,85016,,,2024-05-14,41152.47,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4413,,,ORG,Camelback Strategy Group,,,,,,2801 E Camelback Rd Ste 200,,Phoenix,AZ,85016,,,2024-05-15,53643.07,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4414,,,ORG,Camelback Strategy Group,,,,,,2801 E Camelback Rd Ste 200,,Phoenix,AZ,85016,,,2024-05-16,76718.47,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4415,,,ORG,Camelback Strategy Group,,,,,,2801 E Camelback Rd Ste 200,,Phoenix,AZ,85016,,,2024-05-17,123501.17,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4435,,,ORG,CampaignHQ,,,,,,PO Box 257,,Brooklyn,IA,52211,,,2024-05-15,23804.37,,Nonfederal IE-Voter Calls,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4436,,,ORG,CampaignHQ,,,,,,PO Box 257,,Brooklyn,IA,52211,,,2024-05-17,6567.59,,Nonfederal IE-Voter Calls,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4437,,,ORG,CampaignHQ,,,,,,PO Box 257,,Brooklyn,IA,52211,,,2024-05-17,60000.00,,Nonfederal IE-Voter Calls,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4417,,,ORG,Direct Edge Campaigns LLC,,,,,,2000 Glen Echo Rd Ste 207a,,Nashville,TN,37215,,,2024-04-17,7095.39,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4418,,,ORG,Direct Edge Campaigns LLC,,,,,,2000 Glen Echo Rd Ste 207a,,Nashville,TN,37215,,,2024-04-19,6029.37,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4419,,,ORG,Direct Edge Campaigns LLC,,,,,,2000 Glen Echo Rd Ste 207a,,Nashville,TN,37215,,,2024-04-22,6029.37,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4420,,,ORG,Direct Edge Campaigns LLC,,,,,,2000 Glen Echo Rd Ste 207a,,Nashville,TN,37215,,,2024-04-26,8330.23,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4421,,,ORG,Direct Edge Campaigns LLC,,,,,,2000 Glen Echo Rd Ste 207a,,Nashville,TN,37215,,,2024-05-01,7610.51,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
