form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00846683,SB29.4422,,,ORG,Direct Edge Campaigns LLC,,,,,,2000 Glen Echo Rd Ste 207a,,Nashville,TN,37215,,,2024-05-08,989.28,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4372,,,ORG,Drogin Group,,,,,,6705 W Hwy 290,Ste. 50281,Austin,TX,78735,,,2024-05-01,90000.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4359,,,ORG,Family Empowerment Coalition PAC,,,,,,PO Box 341027,,Austin,TX,78734,,,2024-05-16,5000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4373,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-04-17,33300.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4374,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-04-18,258000.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4375,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-04-19,3591.12,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4376,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-04-19,11898.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4377,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-04-22,3894.08,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4378,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-04-23,53750.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4379,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-04-24,3966.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4380,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-04-25,544.86,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4381,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-05-02,1983.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4382,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-05-02,6843.18,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4383,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-05-07,393548.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4384,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-05-08,250.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4385,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-05-10,5985.20,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4386,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-05-10,50000.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4387,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-05-14,5386.68,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4388,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-05-16,2100.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4389,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-05-17,45061.21,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4390,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-05-21,120000.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4391,,,ORG,Flexpoint Media Inc.,,,,,,PO Box 1051,,New Albany,OH,43054,,,2024-05-24,9249.86,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4361,,,ORG,Florida Federation for Children PAC,,,,,,10440 Little Patuxent Pkwy Ste. 30,,Columbia,MD,21044,,,2024-06-12,300000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4392,,,ORG,Go Big Media,,,,,,PO Box 25026,,Washington,DC,20027,,,2024-04-12,77000.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4393,,,ORG,Go Big Media,,,,,,PO Box 25026,,Washington,DC,20027,,,2024-05-01,2000.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4363,,,ORG,Idaho Federation for Children PAC,,,,,,10440 Little Patuxent Pkwy Ste. 30,,Columbia,MD,21044,,,2024-04-12,400000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4395,,,ORG,Objective Media,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-06-07,1220.80,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4396,,,ORG,Objective Media,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-06-25,1133.60,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4397,,,ORG,Objective Media,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-06-25,19337.49,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4398,,,ORG,Objective Media,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-06-25,597.60,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4365,,,ORG,Oklahoma Federation for Children Action Fund,,,,,,201 Robert S Kerr Ave,,Oklahoma City,OK,73102,,,2024-06-13,20000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4366,,,ORG,Oklahoma Federation for Children Action Fund,,,,,,201 Robert S Kerr Ave,,Oklahoma City,OK,73102,,,2024-06-25,5000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4433,,,ORG,Rural AM FM LLC,,,,,,190 Monroe Ave Ste 300,,Grand Rapids,MI,49503,,,2024-05-10,106185.90,,Nonfederal IE-Media Buy,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4434,,,ORG,Rural AM FM LLC,,,,,,190 Monroe Ave Ste 300,,Grand Rapids,MI,49503,,,2024-05-15,29000.00,,Nonfederal IE-Media Buy,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4368,,,ORG,Tennessee Federation for Children PAC,,,,,,10440 Little Patuxent Pkwy Ste. 30,,Columbia,MD,21044,,,2024-06-11,500000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4370,,,ORG,Texas Federation for Children PAC,,,,,,10440 Little Patuxent Pkwy Ste. 30,,Columbia,MD,21044,,,2024-04-17,40000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4371,,,ORG,Texas Federation for Children PAC,,,,,,10440 Little Patuxent Pkwy Ste. 30,,Columbia,MD,21044,,,2024-04-19,15000.00,,Nonfederal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4423,,,ORG,The Lukens Company,,,,,,2800 Shirlington Rd Ste 900,,Arlington,VA,22206,,,2024-04-12,27519.30,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4424,,,ORG,The Lukens Company,,,,,,2800 Shirlington Rd Ste 900,,Arlington,VA,22206,,,2024-04-24,36418.87,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4425,,,ORG,The Lukens Company,,,,,,2800 Shirlington Rd Ste 900,,Arlington,VA,22206,,,2024-04-26,20486.59,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4426,,,ORG,The Lukens Company,,,,,,2800 Shirlington Rd Ste 900,,Arlington,VA,22206,,,2024-04-30,23196.56,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4427,,,ORG,The Lukens Company,,,,,,2800 Shirlington Rd Ste 900,,Arlington,VA,22206,,,2024-05-07,20284.20,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4428,,,ORG,Thomas Graphics Inc.,,,,,,PO Box 14226,,Austin,TX,78714,,,2024-04-24,16223.47,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4429,,,ORG,Thomas Graphics Inc.,,,,,,PO Box 14226,,Austin,TX,78714,,,2024-04-29,16223.47,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4430,,,ORG,Thomas Graphics Inc.,,,,,,PO Box 14226,,Austin,TX,78714,,,2024-05-03,16223.47,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4431,,,ORG,Thomas Graphics Inc.,,,,,,PO Box 14226,,Austin,TX,78714,,,2024-05-06,32446.94,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4432,,,ORG,Thomas Graphics Inc.,,,,,,PO Box 14226,,Austin,TX,78714,,,2024-05-17,37424.55,,Nonfederal IE-Direct Mail,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4400,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-06-20,4967.87,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4401,,,ORG,Victory Enterprises,,,,,,5200 30th St SW,,Davenport,IA,52802,,,2024-06-20,500.44,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4402,,,ORG,Victory Text LLC,,,,,,190 Monroe Ave NW,Ste. 300,Grand Rapids,MI,49503,,,2024-05-14,2681.49,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4403,,,ORG,Victory Text LLC,,,,,,190 Monroe Ave NW,Ste. 300,Grand Rapids,MI,49503,,,2024-05-16,3415.65,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
SB29,C00846683,SB29.4404,,,ORG,Victory Text LLC,,,,,,190 Monroe Ave NW,Ste. 300,Grand Rapids,MI,49503,,,2024-05-17,1267.00,,Nonfederal IE-Digital Ads,,,,,,,,,,,,,,,,,,,,
