form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00536573,D9ADBBEDD7ADCA50DA1,,,PAC,Alabama First PAC,,,,,,PO Box 3723,,Montgomery,AL,36109,O2024,Contribution,2024-08-22,2500.00,,2024 Contribution,011,C00821058,Alabama First PAC,,,,,,,,,,,,,,,,,
SB23,C00536573,EDB2630185119396E3E,,,PAC,American Revival PAC,,,,,,C/O 228 S. WASHINGTON ST.,STE. 115,ALEXANDRIA,VA,22314,O2024,Contribution,2024-08-22,5000.00,,2024 Contribution,011,C00639229,American Revival PAC,,,,,,,,,,,,,,,,,
SB23,C00536573,35256B06F45F9BA11F7,,,PAC,Big Sky Opportunity PAC,,,,,,228 S Washington St,Ste 115,Alexandria,VA,22314,O2024,Contribution,2024-08-22,5000.00,,2024 Contribution,011,C00542027,Big Sky Opportunity PAC,,,,,,,,,,,,,,,,,
SB23,C00536573,F1D68A95B20029AF70A,,,PAC,Building Relationships In Diverse Geographic Environments PAC,,,,,,499 S Capitol St SW,Ste 420,Washington,DC,20003,O2024,Contribution,2024-08-22,5000.00,,2024 Contribution,011,C00399196,Building Relationships In Diverse Geographic Environments PAC,,,,,,,,,,,,,,,,,
SB23,C00536573,A6B257AA382F9D560DB,,,PAC,Building Up Democracy's Dream,,,,,,PO Box 97275,,Raleigh,NC,27624,O2024,Contribution,2024-08-22,2500.00,,2024 Contribution,011,C00834507,Building Up Democracy's Dream,,,,,,,,,,,,,,,,,
SB23,C00536573,E9DEBB22136CD88FE96,,,CCM,Carol For Congress,,,,,,228 S Washington St,Ste 115,Alexandria,VA,22314,G2024,,2024-08-22,2500.00,,2024 General,011,C00653220,Miller,H8WV03097,Miller,Carol,Devine,,,H,WV,01,,,,,,,,
SB23,C00536573,7B870D57D2FA5C2F212,,,CCM,Gabe Amo For Congress,,,,,,PO Box 40457,,Providence,RI,02940,P2024,,2024-08-22,2500.00,,2024 Primary,011,C00838060,Amo,H4RI01265,Amo,Gabriel,F.,,,H,RI,01,,,,,,,,
SB23,C00536573,F0DA928DDD40C3A1DB5,,,PAC,Grange PAC,,,,,,3107 W Pl SE,,Washington,DC,20020,O2024,Contribution,2024-08-22,1500.00,,2024 Contribution,011,C00700203,Grange PAC,,,,,,,,,,,,,,,,,
SB23,C00536573,5F7B89B122948FC53E2,,,CCM,Kennedy For Congress,,,,,,PO Box 536,,Buffalo,NY,14201,G2024,,2024-08-22,5000.00,,2024 General,011,C00856526,Kennedy,H4NY26078,Kennedy,Timothy,M.,,,H,NY,26,,,,,,,,
SB23,C00536573,93202AAB8981B465703,,,PAC,Lets Get To Work PAC,,,,,,PO Box 130708,,Tampa,FL,33681,O2024,Contribution,2024-08-22,2500.00,,2024 Contribution,011,C00692327,Lets Get To Work PAC,,,,,,,,,,,,,,,,,
SB23,C00536573,AA757E8DABCF353DDD2,,,PAC,Making A Responsible Stand For Households In America PAC,,,,,,PO Box 3241,,Brentwood,TN,37024,O2024,Contribution,2024-08-22,2500.00,,2024 Contribution,011,C00409276,Making A Responsible Stand For Households In America PAC,,,,,,,,,,,,,,,,,
SB23,C00536573,EF589269EF34ECD2408,,,CCM,Mike Johnson For Louisiana,,,,,,C/O 228 S. WASHINGTON ST.,STE. 115,ALEXANDRIA,VA,22314,G2024,,2024-08-22,5000.00,,2024 General,011,C00608695,Johnson,H6LA04138,Johnson,Mike,,,,H,LA,04,,,,,,,,
SB23,C00536573,F267DFA224E7D9200A6,,,CCM,Moore For Congress,,,,,,PO Box 16646,,Milwaukee,WI,53216,G2024,,2024-08-22,2500.00,,2024 General,011,C00397505,Moore,H4WI04183,Moore,Gwendolynne,Sophia,,,H,WI,04,,,,,,,,
SB23,C00536573,7B78FCAFBA4D9BE76A3,,,PAC,Pineapple PAC,,,,,,600 Pennsylvania Ave SE,Unit 15180,Washington,DC,20003,O2024,Contribution,2024-08-22,2500.00,,2024 Contribution,011,C00539601,Pineapple PAC,,,,,,,,,,,,,,,,,
SB23,C00536573,5F872EED7EC41A654A0,,,CCM,"Sheila Cherfilus McCormick For Congress, Inc",,,,,,499 S Capitol St SW,Ste 420,Washington,DC,20003,G2024,,2024-08-22,2500.00,,2024 General,011,C00677492,Cherfilus-McCormick,H8FL20032,Cherfilus-McCormick,Sheila,,,,H,FL,20,,,,,,,,
SB23,C00536573,DADD2F45E3AE7B56324,,,CCM,Virgin Islands For Plaskett,,,,,,PO Box 1006,,Frederiksted,VI,00841,G2024,,2024-08-22,3500.00,,2024 General,011,C00528182,Plaskett,H2VI00082,Plaskett,Stacey,Elizabeth,,,H,VI,01,,,,,,,,
SB23,C00536573,088AAFE3EFAF2139CF3,,,CCM,Wicker For Senate,,,,,,PO Box 64,,Jackson,MS,392050064,G2024,,2024-08-22,4000.00,,2024 General,011,C00443218,Wicker,S8MS00196,Wicker,Roger,Frederick,,,S,MS,,,,,,,,,
