form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00320432,D4-008i24,,,ORG,AT&T,,,,,,5301 Wisconsin Ave NW,,Washington,DC,20016,,,2024-04-22,81.68,0.00,Phone,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D5-008i24,,,ORG,AT&T,,,,,,5301 Wisconsin Ave NW,,Washington,DC,20016,,,2024-05-15,96.75,0.00,Phone,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D6-008i24,,,ORG,AT&T,,,,,,5301 Wisconsin Ave NW,,Washington,DC,20016,,,2024-06-15,109.51,0.00,Phone,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D9-004f04,,,ORG,American Airlines,,,,,,P.O. Box 619616,,Dallas,TX,75261,,,2024-04-04,325.19,0.00,Travel,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D11-003L1R,,,ORG,Amtrak,,,,,,Union Station,,Washington,DC,20001,,,2024-05-30,186.00,0.00,Travrel,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D12-003L1R,,,ORG,Amtrak,,,,,,Union Station,,Washington,DC,20001,,,2024-06-09,82.20,0.00,Travel,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D23-00Hy01,,,ORG,Dearborn Tavern,,,,,,145 North Dearborn St.,,Chicago,IL,60602,,,2024-06-02,500.00,0.00,Convention Event Deposit,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D24-00He01,,,ORG,Expedia,,,,,,1111 Expedia Group Way,,Seattle,WA,98119,,,2024-04-04,230.20,0.00,Hotel,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D25-00He01,,,ORG,Expedia,,,,,,1111 Expedia Group Way,,Seattle,WA,98119,,,2024-04-05,119.87,0.00,Hotel,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D26-00He01,,,ORG,Expedia,,,,,,1111 Expedia Group Way,,Seattle,WA,98119,,,2024-05-11,130.26,0.00,Hotel,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D27-00I101,,,ORG,Friends Committee on National Legislation,,,,,,"245 2nd St., NE",,Washington,DC,20004,,,2024-04-05,1000.00,0.00,Contribution,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D29-007H02,,,ORG,Hyatt Hotels,,,,,,420 Superior Ave,,Cleveland,OH,44114,,,2024-04-27,237.51,0.00,Accommodation,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D40-003i0S,,,ORG,National Democratic Club,,,,,,30 Ivy Street SE,,Washington,DC,20002,,,2024-04-04,465.96,0.00,Supporter event,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D41-003i0S,,,ORG,National Democratic Club,,,,,,30 Ivy Street SE,,Washington,DC,20002,,,2024-06-13,130.00,0.00,Annual Dues,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D59-00FR0A,,,ORG,United Airlines,,,,,,233 S Wacker Drive,,Chicago,IL,60606,,,2024-05-07,379.00,0.00,Travel,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D60-00FR0A,,,ORG,United Airlines,,,,,,233 S Wacker Drive,,Chicago,IL,60606,,,2024-05-20,425.00,0.00,Travel,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D61-00FR0A,,,ORG,United Airlines,,,,,,233 S Wacker Drive,,Chicago,IL,60606,,,2024-06-06,263.96,0.00,Travel,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D65-003527,,,ORG,Verizon,,,,,,P. O. Box 646,,C. & P. Telephone Co,MD,21265,,,2024-04-09,200.17,0.00,Internet,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D66-003527,,,ORG,Verizon,,,,,,P. O. Box 646,,C. & P. Telephone Co,MD,21265,,,2024-06-29,190.00,0.00,Internet,,,,,,,,,,,,,,,,,,,,,         
SB21B,C00320432,D67-003527,,,ORG,Verizon,,,,,,P. O. Box 646,,C. & P. Telephone Co,MD,21265,,,2024-05-27,190.42,0.00,Internet,,,,,,,,,,,,,,,,,,,,,         
