form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00557561,SB21B.4580,,,ORG,Brick River Technologies,,,,,,117 Water Street,,Exeter,NH,03833,,,2023-11-01,588.00,,PAC website/email hosting fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00557561,SB21B.4585,,,ORG,Citizens Bank,,,,,,One Capitol Plaza,Suite 1,Concord,NH,03301,,,2023-12-19,18.00,,service charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00557561,SB21B.4570,,,ORG,LG Strategies,,,,,,69 Biron Street,,Manchester,NH,03102,,,2023-08-03,10000.00,,PAC political strategy consulting fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00557561,SB21B.4571,,,ORG,LG Strategies,,,,,,69 Biron Street,,Manchester,NH,03102,,,2023-08-14,10000.00,,PAC political strategy consulting fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00557561,SB21B.4576,,,ORG,LG Strategies,,,,,,69 Biron Street,,Manchester,NH,03102,,,2023-09-25,10000.00,,PAC political strategy consulting fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00557561,SB21B.4579,,,ORG,LG Strategies,,,,,,69 Biron Street,,Manchester,NH,03102,,,2023-10-27,9500.00,,PAC political strategy consulting fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00557561,SB21B.4583,,,ORG,LG Strategies,,,,,,69 Biron Street,,Manchester,NH,03102,,,2023-11-09,10000.00,,PAC political strategy consulting fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00557561,SB21B.4586,,,ORG,LG Strategies,,,,,,69 Biron Street,,Manchester,NH,03102,,,2023-12-20,10000.00,,PAC political strategy consulting fee,,,,,,,,,,,,,,,,,,,,
