form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB22,C00744946,500190050,,,PTY,Nevada State Democratic Party,,,,,,2310 Paseo Del Prado,Ste A120,Las Vegas,NV,891020045,,,2024-01-18,281000.00,0.00,Transfer,008,C00208991,,,,,,,,,,,,,,,,,,
SB22,C00744946,500190051,,,PTY,Democratic Party Of Hawai'i,,,,,,627 South St,Ste 105,Honolulu,HI,968135050,,,2024-01-25,740000.00,0.00,Transfer,008,C00212787,,,,,,,,,,,,,,,,,,
SB22,C00744946,500190056,,,PTY,Democratic Party Of New Mexico - Federal,,,,,,PO Box 27615,,Albuquerque,NM,871257615,,,2024-01-25,270000.00,0.00,Transfer,008,C00161810,,,,,,,,,,,,,,,,,,
SB22,C00744946,500190058,,,PTY,Democratic Party Of Oregon,,,,,,1120 SW Morrison Street,Suite 910,Portland,OR,97205,,,2024-01-25,500000.00,0.00,Transfer,008,C00188367,,,,,,,,,,,,,,,,,,
SB22,C00744946,500190061,,,PTY,Democratic Party Of Virginia,,,,,,919 E Main St,Ste 2050,Richmond,VA,232190025,,,2024-01-25,475000.00,0.00,Transfer,008,C00155952,,,,,,,,,,,,,,,,,,
SB22,C00744946,500190052,,,PTY,Idaho State Democratic Party,,,,,,PO Box 445,,Boise,ID,837010445,,,2024-01-25,475000.00,0.00,Transfer,008,C00010439,,,,,,,,,,,,,,,,,,
SB22,C00744946,500190053,,,PTY,Kentucky State Democratic Central Executive Committee,,,,,,PO Box 694,,Frankfort,KY,406020694,,,2024-01-25,475000.00,0.00,Transfer,008,C00011197,,,,,,,,,,,,,,,,,,
SB22,C00744946,500190054,,,PTY,Massachusetts Democratic State Committee - Fed Fund,,,,,,11 Beacon St,Ste 410,Boston,MA,021083055,,,2024-01-25,425000.00,0.00,Transfer,008,C00089243,,,,,,,,,,,,,,,,,,
SB22,C00744946,500190055,,,PTY,Montana Democratic Party,,,,,,PO Box 802,,Helena,MT,596240802,,,2024-01-25,300000.00,0.00,Transfer,008,C00010033,,,,,,,,,,,,,,,,,,
SB22,C00744946,500190057,,,PTY,North Dakota Democratic-Nonpartisan League Party,,,,,,PO Box 9946,,Fargo,ND,581069946,,,2024-01-25,275000.00,0.00,Transfer,008,C00013748,,,,,,,,,,,,,,,,,,
