form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00625566,SB21B.14920,,,ORG,Henry Meds,,,,,,580 California St,,San Francisco,CA,94104,,,2024-01-09,247.00,,Insurance,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14921,,,ORG,Henry Meds,,,,,,580 California St,,San Francisco,CA,94104,,,2024-02-09,297.00,,Insurance,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14922,,,ORG,Henry Meds,,,,,,580 California St,,San Francisco,CA,94104,,,2024-03-11,297.00,,Insurance,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14823,,,ORG,Kindful,,,,,,12 Cadillac Dr Ste 480,,Brentwood,TN,37027,,,2024-01-03,663.40,,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14824,,,ORG,Kindful,,,,,,12 Cadillac Dr Ste 480,,Brentwood,TN,37027,,,2024-02-03,331.70,,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14825,,,ORG,Kindful,,,,,,12 Cadillac Dr Ste 480,,Brentwood,TN,37027,,,2024-03-03,331.70,,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14859,,,ORG,Lyft,,,,,,185 BERRY STREET,,San Francisco,CA,94107,,,2024-02-13,200.00,,PAC Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14831,,,ORG,Lyft,,,,,,185 BERRY STREET,,San Francisco,CA,94107,,,2024-03-04,15.91,,PAC Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14832,,,ORG,Lyft,,,,,,185 BERRY STREET,,San Francisco,CA,94107,,,2024-03-04,118.67,,PAC Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14860,,,ORG,Lyft,,,,,,185 BERRY STREET,,San Francisco,CA,94107,,,2024-03-13,200.00,,PAC Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14834,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2024-01-22,479.70,,Email Management Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14835,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2024-02-09,77.29,,Email Management Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14836,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2024-02-21,479.70,,Email Management Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14837,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2024-03-11,77.29,,Email Management Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14838,,,ORG,Mailchimp,,,,,,675 Ponce De Leon Ave NE E178,,Atlanta,GA,30308,,,2024-03-22,479.70,,Email Management Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14932,,,ORG,Meijer Grocery,,,,,,2929 Walker Ave NW,,Walker,MI,49544,,,2024-02-15,65.46,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14933,,,ORG,Meijer Grocery,,,,,,2929 Walker Ave NW,,Walker,MI,49544,,,2024-03-12,87.30,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14843,,,ORG,Office Max/Office Depot,,,,,,6600 North Military Tr,,Boca Raton,FL,33449,,,2024-02-09,212.13,,Office Equipment,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14844,,,ORG,Office Max/Office Depot,,,,,,6600 North Military Tr,,Boca Raton,FL,33449,,,2024-02-09,287.70,,Office Equipment,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14845,,,ORG,Office Max/Office Depot,,,,,,6600 North Military Tr,,Boca Raton,FL,33449,,,2024-02-12,19.91,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14846,,,ORG,Office Max/Office Depot,,,,,,6600 North Military Tr,,Boca Raton,FL,33449,,,2024-02-23,48.70,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14847,,,ORG,Office Max/Office Depot,,,,,,6600 North Military Tr,,Boca Raton,FL,33449,,,2024-03-01,71.42,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14848,,,ORG,Office Max/Office Depot,,,,,,6600 North Military Tr,,Boca Raton,FL,33449,,,2024-03-07,87.99,,General Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14935,,,ORG,Premier Funeral Services,,,,,,67 E 8000 South,,Salt Lake City,UT,84047,,,2024-03-15,1154.25,,Pending,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14850,,,ORG,Priceline,,,,,,800 Connecticut Ave,,Norwalk,CT,06854,,,2024-01-16,152.79,,PAC Staff Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14851,,,ORG,Priceline,,,,,,800 Connecticut Ave,,Norwalk,CT,06854,,,2024-01-24,133.34,,PAC Staff Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14852,,,ORG,Priceline,,,,,,800 Connecticut Ave,,Norwalk,CT,06854,,,2024-03-01,84.57,,PAC Staff Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14856,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2024-01-03,2500.00,,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14857,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2024-01-31,2500.00,,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14858,,,ORG,RightSide Compliance,,,,,,PO Box 341027,,Austin,TX,78734,,,2024-03-01,2500.00,,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14862,,,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,75235,,,2024-01-29,533.96,,PAC Staff Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14863,,,ORG,Spectrum,,,,,,400 Atlantic St,,Stamford,CT,06901,,,2024-01-31,25000.00,,PAC Utilities,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14864,,,ORG,Spectrum,,,,,,400 Atlantic St,,Stamford,CT,06901,,,2024-03-04,20421.50,,PAC Utilities,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14866,,,ORG,The Landline Company,,,,,,113 S College Ave,,Fort Collins,CO,80524,,,2024-02-10,131.00,,PAC Utilities,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14868,,,ORG,Turo,,,,,,116 New Montgomery St Ste 700,,San Francisco,CA,94105,,,2024-02-01,213.88,,PAC Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14869,,,ORG,Turo,,,,,,116 New Montgomery St Ste 700,,San Francisco,CA,94105,,,2024-02-05,71.31,,PAC Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14877,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-01-23,490.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14878,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-01-29,350.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14879,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-01-29,400.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14880,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-01-29,450.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14881,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-02-02,475.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14882,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-02-08,350.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14883,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-02-08,100.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14884,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-02-15,400.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14885,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-02-15,400.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14886,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-02-20,450.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14887,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-02-20,499.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14889,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-02-23,450.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14890,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-03-04,450.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14891,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-03-12,400.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14892,,,ORG,US Postal Services,,,,,,475 LEnfant Plaza SW,,Washington,DC,20024,,,2024-03-14,400.00,,Shipping and Postage Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14895,,,ORG,Valet Connections,,,,,,27299 Wick Rd,,Taylor,MI,48180,,,2024-01-30,71.50,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14896,,,ORG,Valet Connections,,,,,,27299 Wick Rd,,Taylor,MI,48180,,,2024-02-12,19.00,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14897,,,ORG,Valet Connections,,,,,,27299 Wick Rd,,Taylor,MI,48180,,,2024-02-15,204.50,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14898,,,ORG,Valet Connections,,,,,,27299 Wick Rd,,Taylor,MI,48180,,,2024-03-14,14.50,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14899,,,ORG,Valet Connections,,,,,,27299 Wick Rd,,Taylor,MI,48180,,,2024-03-21,28.50,,Staff Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00625566,SB21B.14905,,,ORG,Wells Fargo Bank,,,,,,PO Box 6995,,Portland,OR,97228,,,2024-03-28,472.50,,Bank Fee,,,,,,,,,,,,,,,,,,,,
