form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB22,C00434076,SB22.4902,,,PAC,COURTNEY FOR CONGRESS,,,,,,PO BOX 1372,,VERNON,CT,06066,G2024,,2024-07-25,5000.00,,Political Contribution,011,C00410233,COURTNEY FOR CONGRESS,,,,,,,,,,,,,,,,,
SB22,C00434076,SB22.4900,,,PAC,ENGINEERS POLITICAL EDUCATION COMMITTEE (EPEC)/INTERNATIONAL UNION OF OPERATING ENGINEERS,,,,,,"1125 17TH ST, NW",,WASHINGTON,DC,20036,G2024,,2024-07-25,20000.00,,Political Contribution to IUOE EPEC,011,C00029504,ENGINEERS POLITICAL EDUCATION COMMITTEE (EPEC)/INTERNATIONAL UNION OF OPERATING ENGINEERS,,,,,,,,,,,,,,,,,
SB22,C00434076,SB22.4901,,,PAC,ENGINEERS POLITICAL EDUCATION COMMITTEE (EPEC)/INTERNATIONAL UNION OF OPERATING ENGINEERS,,,,,,"1125 17TH ST, NW",,WASHINGTON,DC,20036,G2024,,2024-09-19,15000.00,,Political Contribution to IUOE EPEC,011,C00029504,ENGINEERS POLITICAL EDUCATION COMMITTEE (EPEC)/INTERNATIONAL UNION OF OPERATING ENGINEERS,,,,,,,,,,,,,,,,,
