form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00093054,D693E36E7282E7FDA9A,,,PAC,Ahora PAC,,,,,,300 Tijeras Ave NE,Apt 100,Albuquerque,NM,87102,O2023,Contribution,2023-06-22,1000.00,,2023 Contribution,011,C00764753,Ahora PAC,,,,,,,,,,,,,,,,,
SB23,C00093054,F552773CDD0A6650D9A,,,CCM,August Pfluger For Congress,,,,,,PO Box 3530,,San Angelo,TX,76902,P2024,,2023-06-22,1000.00,,2024 Primary,011,C00719294,,H0TX11230,Pfluger,August,Lee,,II,H,TX,11,,,,,,,,
SB23,C00093054,3804A6C27FCF969F9A3,,,CCM,Bilirakis For Congress,,,,,,PO Box 606,,Tarpon Springs,FL,346880606,P2024,,2023-06-22,2500.00,,2024 Primary,011,C00408534,,H6FL09070,Bilirakis,Gus,Michael,,,H,FL,12,,,,,,,,
SB23,C00093054,8E39BF4A8DD3AAA26F2,,,CCM,Blake Moore For Congress,,,,,,358 South 700 E,B505,Salt Lake City,UT,84102,C2024,Convention,2023-06-20,1000.00,,2024 Convention,011,C00738872,,H0UT01205,Moore,Blake,D.,,,H,UT,01,,,,,,,,
SB23,C00093054,DB15B7327EE3D0D4336,,,CCM,Bob Casey For Senate Inc,,,,,,PO Box 58746,,Philadelphia,PA,19102,P2024,,2023-06-20,1000.00,,2024 Primary,011,C00431056,,S6PA00217,Casey,Robert,P.,,Jr.,S,PA,,,,,,,,,
SB23,C00093054,EBDC00C4FF2F3F0C176,,,CCM,Bonnie Watson Coleman For Congress,,,,,,600 Pennsylvania Ave SE,Unit 15180,Washington,DC,20003,P2024,,2023-06-22,1000.00,,2024 Primary,011,C00558437,,H4NJ12149,Watson Coleman,Bonnie,,,,H,NJ,12,,,,,,,,
SB23,C00093054,E9EBAC012B962C59E5B,,,CCM,Brandon For Congress Ny22,,,,,,PO Box 3580,,Syracuse,NY,13220,P2024,,2023-06-22,1000.00,,2024 Primary,011,C00806307,,H2NY22212,Williams,Brandon,McDonald,,,H,NY,22,,,,,,,,
SB23,C00093054,3159EA6DF13B6D3BCBA,,,CCM,Brittany Pettersen For Colorado,,,,,,PO Box 150887,,Lakewood,CO,80215,P2024,,2023-06-13,2500.00,,2024 Primary,011,C00637215,,H8CO07045,Pettersen,Brittany,L.,,,H,CO,07,,,,,,,,
SB23,C00093054,8E14A6BEFE80FBA53BE,,,CCM,Buddy Carter For Congress,,,,,,PO Box 10570,,Savannah,GA,31412,P2024,,2023-06-22,2500.00,,2024 Primary,011,C00543967,,H4GA01039,Carter,Earl,L. B.,,,H,GA,01,,,,,,,,
SB23,C00093054,7B3F308AD68D4842DDC,,,CCM,Burgess 4 Utah,,,,,,824 S Milledge Ave,Ste 101,Athens,GA,30605,C2024,Convention,2023-06-20,1000.00,,2024 Convention,011,C00725853,,H0UT04076,Owens,Burgess,,,,H,UT,04,,,,,,,,
