form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00494997,SB29.8845,,,ORG,13 Market Management,,,,,,6 DOYER STREET #130216,,New York,NY,10013,,,2023-02-02,3000.00,,Accounting - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8851,,,ORG,Art Record,,,,,,3426 1/2 4th Ave,,Los Angeles,CA,90018,,,2023-03-22,300.00,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8853,,,IND,,Bullock,Michael,,,,456 Greene Avenue,,Brooklyn,NY,11216,,,2023-05-01,6300.00,,Strategic Consulting - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8875,,,ORG,DXDY,,,,,,32 Park Road,,Colombo,ZZ,,,,2023-02-13,2000.00,,Technology Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8877,,,ORG,DXDY,,,,,,32 Park Road,,Colombo,ZZ,,,,2023-04-13,500.00,,Technology Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8878,,,ORG,DXDY,,,,,,32 Park Road,,Colombo,ZZ,,,,2023-05-08,250.00,,Technology Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8839,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,94043,,,2023-04-10,59.88,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8840,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,94043,,,2023-05-10,59.88,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8841,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,94043,,,2023-06-10,59.88,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8818,,,ORG,Manhattan Mini Storage,,,,,,520 8th Avenue,,New York,NY,10018,,,2023-01-03,613.00,,Storage - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00494997,SB29.8819,,,ORG,Manhattan Mini Storage,,,,,,520 8th Avenue,,New York,NY,10018,,,2023-02-02,613.00,,Storage - IE Only Account,,,,,,,,,,,,,,,,,,,,
