form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00763797,SB21B.38816,,,ORG,D PLOY IT LLC,,,,,,125 LOCUST ST,,HARRISBURG,PA,17101,,,2023-05-24,30.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38817,,,ORG,D PLOY IT LLC,,,,,,125 LOCUST ST,,HARRISBURG,PA,17101,,,2023-05-31,15.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38818,,,ORG,D PLOY IT LLC,,,,,,125 LOCUST ST,,HARRISBURG,PA,17101,,,2023-06-07,30.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38819,,,ORG,D PLOY IT LLC,,,,,,125 LOCUST ST,,HARRISBURG,PA,17101,,,2023-06-15,3.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38820,,,ORG,D PLOY IT LLC,,,,,,125 LOCUST ST,,HARRISBURG,PA,17101,,,2023-06-21,8.40,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38821,,,ORG,D PLOY IT LLC,,,,,,125 LOCUST ST,,HARRISBURG,PA,17101,,,2023-06-27,30.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38822,,,ORG,D PLOY IT LLC,,,,,,125 LOCUST ST,,HARRISBURG,PA,17101,,,2023-06-28,15.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38826,,,ORG,EXPEDIA,,,,,,1111 EXPEDIA GROUP WAY WEST,,SEATTLE,WA,98119,,,2023-04-19,242.06,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41019,,,ORG,FAIRFIELD INN & SUITES,,,,,,150 N PINETTA DR,,RICHMOND,VA,23235,,,2023-02-21,520.32,,TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38828,,,ORG,GODADDY.COM,,,,,,14455 NORTH HAYDEN RD,STE 219,SCOTTSDALE,AZ,85260,,,2023-04-24,31.79,,WEB HOSTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38829,,,ORG,GODADDY.COM,,,,,,14455 NORTH HAYDEN RD,STE 219,SCOTTSDALE,AZ,85260,,,2023-05-08,76.20,,WEB HOSTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38830,,,ORG,GODADDY.COM,,,,,,14455 NORTH HAYDEN RD,STE 219,SCOTTSDALE,AZ,85260,,,2023-05-22,31.79,,WEB HOSTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38831,,,ORG,GODADDY.COM,,,,,,14455 NORTH HAYDEN RD,STE 219,SCOTTSDALE,AZ,85260,,,2023-05-23,7.41,,WEB HOSTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38832,,,ORG,GODADDY.COM,,,,,,14455 NORTH HAYDEN RD,STE 219,SCOTTSDALE,AZ,85260,,,2023-06-22,31.79,,WEB HOSTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.38833,,,ORG,GODADDY.COM,,,,,,14455 NORTH HAYDEN RD,STE 219,SCOTTSDALE,AZ,85260,,,2023-06-23,9.53,,WEB HOSTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41030,,,IND,,KLACIK,KIMBERLY,,,,9618 MAXWELL RD,,MIDDLE RIVER,MD,21220,,,2023-02-10,1500.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41031,,,IND,,KLACIK,KIMBERLY,,,,9618 MAXWELL RD,,MIDDLE RIVER,MD,21220,,,2023-03-20,1500.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41039,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-05,226.80,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41098,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-05,23.82,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41099,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-05,228.18,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.41205,,,ORG,OLYMPIC MEDIA,,,,,,1881 N NASH STREET 2301,,ARLINGTON,VA,22209,,,2023-01-05,3672.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
