form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00707232,500516868,,,ORG,ActBlue Technical Services,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-08-31,0.10,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516870,,,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552605,,,2024-08-01,479.98,0.00,Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516871,,,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552605,,,2024-08-08,425.96,0.00,Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516872,,,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552605,,,2024-08-12,1079.85,0.00,Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516873,,,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552605,,,2024-08-19,616.95,0.00,Air Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516874,,,ORG,Bank Of America,,,,,,701 2Nd Ave,,Seattle,WA,981041701,,,2024-08-01,29.95,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516875,,,ORG,Bank Of America,,,,,,701 2Nd Ave,,Seattle,WA,981041701,,,2024-08-01,16.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516876,,,ORG,Bank Of America,,,,,,701 2Nd Ave,,Seattle,WA,981041701,,,2024-08-12,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516881,,,ORG,La Vie,,,,,,88 District Sq SW,Fl 46,Washington,DC,200242491,,,2024-08-27,290.72,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516883,,,ORG,"NGP Van, Inc.",,,,,,PO Box 392264,,Pittsburgh,PA,152519264,,,2024-08-01,331.05,0.00,Software Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516892,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-01,29.98,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516893,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-01,9.76,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516894,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-01,21.34,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516895,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-02,31.05,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516896,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-19,25.12,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516897,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-19,27.07,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516898,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-19,26.77,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516899,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-19,50.26,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516900,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-19,14.48,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516901,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-19,15.23,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516902,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-19,44.69,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516903,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-19,14.59,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516904,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-19,15.14,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516905,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-19,33.54,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516906,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-19,15.11,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516907,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-20,18.58,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516908,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-20,27.13,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516909,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-20,18.87,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516910,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-20,34.44,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516911,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-20,17.10,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516912,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-20,15.33,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516913,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-21,30.91,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516914,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-21,38.24,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516915,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-22,16.58,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516916,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-22,19.39,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500516917,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-08-22,23.13,0.00,Auto Travel,,,,,,,,,,,,,,,,,,,,
