form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00746040,SB29.4737,,,ORG,Dialing Services,,,,,,500 N Main St,Suite 516,Roswell,NM,88201,P2024,,2024-04-06,1158.71,,Phone Calling - Non-Federal Candidate,004,C00746040,Our Values PAC,,,,,,,,,,,,,,,,,
SB29,C00746040,SB29.4753,,,ORG,Dialing Services,,,,,,500 N Main St,Suite 516,Roswell,NM,88201,P2024,,2024-04-15,938.52,,Advertising - Non-Federal Candidate,004,C00746040,Our Values PAC,,,,,,,,,,,,,,,,,
SB29,C00746040,SB29.4754,,,ORG,Dialing Services,,,,,,500 N Main St,Suite 516,Roswell,NM,88201,P2024,,2024-04-20,383.40,,Advertising - Non-Federal Candidate,004,C00746040,Our Values PAC,,,,,,,,,,,,,,,,,
SB29,C00746040,SB29.4761,,,ORG,Dialing Services,,,,,,500 N Main St,Suite 516,Roswell,NM,88201,P2024,,2024-04-29,534.96,,Texting - Non-Federal Candidates,004,C00746040,Our Values PAC,,,,,,,,,,,,,,,,,
SB29,C00746040,SB29.4762,,,ORG,Dialing Services,,,,,,500 N Main St,Suite 516,Roswell,NM,88201,P2024,,2024-04-30,914.64,,Texting - Non-Federal Candidates,004,C00746040,Our Values PAC,,,,,,,,,,,,,,,,,
SB29,C00746040,SB29.4769,,,ORG,Dialing Services,,,,,,500 N Main St,Suite 516,Roswell,NM,88201,P2024,,2024-05-13,890.52,,Phone Calls - Non-Federal Candidate,004,C00746040,Our Values PAC,,,,,,,,,,,,,,,,,
SB29,C00746040,SB29.4755,,,ORG,Ground Game Tactics,,,,,,6724 Rio Grande NW,,Albuquerque,NM,87107,P2024,,2024-04-29,33560.00,,GOTV Walkers - Non-Federal Candidates,004,C00746040,Our Values PAC,,,,,,,,,,,,,,,,,
SB29,C00746040,SB29.4763,,,ORG,MTD Radio,,,,,,1086 Mechem Dr,,Ruidoso,NM,88345,P2024,,2024-05-03,1326.80,,Media Advertising - Non-Federal Candidates,004,C00746040,Our Values PAC,,,,,,,,,,,,,,,,,
SB29,C00746040,SB29.4771,,,ORG,"Production Outfitters, Inc",,,,,,1833 San Mateo Blvd NE,,Albuquerque,NM,87110,P2024,,2024-05-09,1614.38,,Advertising - Non-Federal Candidate,004,C00746040,Our Values PAC,,,,,,,,,,,,,,,,,
SB29,C00746040,SB29.4764,,,ORG,Triumph Campaigns,,,,,,735 N Congress St,,Jackson,MS,39202,P2024,,2024-05-04,45615.32,,Media Advertising - Non-Federal Candidates,004,C00746040,Our Values PAC,,,,,,,,,,,,,,,,,
SB29,C00746040,SB29.4747,,,ORG,Wix.com,,,,,,7095 Hollywood Blvd,,Las Angeles,CA,90028,P2024,,2024-04-05,375.45,,Website,001,C00746040,Our Values PAC,,,,,,,,,,,,,,,,,
