form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00386029,EB114705,,,PAC,Downtown San Diego Partnership PAC,,,,,,"374 N. Coat Highway 101, Suite 2",,Encinitas,CA,92024,,,2024-10-17,25000.00,,,011,,Downtown San Diego Partnership PAC,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB114704,,,PAC,Friends of David Smith,,,,,,1103 Hays Street,,Tallahassee,FL,32301,,,2024-10-17,1000.00,,,011,,Friends of David Smith,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB115503,,,PAC,Friends of Davina Duerr,,,,,,401 2nd Ave S Ste 303,,Seattle,WA,98104,,,2024-10-18,600.00,,,011,,Friends of Davina Duerr,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB115504,,,PAC,Friends of Javier Valdez,,,,,,PO Box 25873,,Seattle,WA,98165,,,2024-10-18,600.00,,,011,,Friends of Javier Valdez,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116306,,,PAC,Hawkins for Kansas,,,,,,9406 Harvest Lane,,Wichita,KS,67212,,,2024-10-18,-500.00,,Void Check - Not Negotiated,011,,Hawkins for Kansas,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB115506,,,PAC,Jay Costa for State Senate,,,,,,314 Newport Road,,Pittsburgh,PA,15221,,,2024-10-18,500.00,,,011,,Jay Costa for State Senate,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116308,,,PAC,John Bacon for Olathe Mayor,,,,,,14183 W 157th St.,,Olathe,KS,66062,,,2024-10-18,-250.00,,Void Check - Not Negotiated,011,,John Bacon for Olathe Mayor,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116307,,,PAC,Julie for Lenexa,,,,,,10121 Halset St.,,Lenexa,KS,66215,,,2024-10-18,-250.00,,Void Check - Not Negotiated,011,,Julie for Lenexa,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116309,,,PAC,Kellie Warren for Senate,,,,,,1405 Falmouth Street,,Leawood,KS,66224,,,2024-10-18,-500.00,,Void Check - Not Negotiated,011,,Kellie Warren for Senate,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB115507,,,PAC,Surovell for State Senate,,,,,,PO Box 289,,Mount Vernon,VA,22321,,,2024-10-18,1500.00,,,011,,Surovell for State Senate,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116312,,,PAC,Friends of Brandy Donaghy,,,,,,PO Box 12572,,Mill Creek,WA,98082,,,2024-10-21,600.00,,,011,,Friends of Brandy Donaghy,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116311,,,PAC,Michael Crain for Fort Worth,,,,,,4450 Oak Park Lane #100427,,Fort Worth,TX,76109,,,2024-10-21,1000.00,,,011,,Michael Crain for Fort Worth,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116314,,,PAC,Friends of Kim Ward,,,,,,P.O. Box 83,,Harrisburg,PA,17108,,,2024-10-23,-3000.00,,Void Check - Not Negotiated,011,,Friends of Kim Ward,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116313,,,PAC,Wayne Harper for Utah Senate,,,,,,2094 Surrey Cir,,Taylorsville,UT,84129,,,2024-10-23,1500.00,,,011,,Wayne Harper for Utah Senate,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116317,,,PAC,Elect Jon Hawkins,,,,,,1536 E 300 S,,Pleasant Grove,UT,84062,,,2024-10-24,-500.00,,Void Check - Not Negotiated,011,,Elect Jon Hawkins,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116315,,,PAC,Friends of Kim Ward,,,,,,P.O. Box 83,,Harrisburg,PA,17108,,,2024-10-24,3000.00,,,011,,Friends of Kim Ward,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116316,,,PAC,Protect Louisiana Values,,,,,,555 Hilton Ave,Ste. 203,Baton Rouge,LA,70808,,,2024-10-24,-2500.00,,Void Check - Not Negotiated,012,,Protect Louisiana Values,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116319,,,PAC,Committee to Elect a Republican Senate,,,,,,P.O. Box 2741,,Madison,WI,53701,,,2024-10-25,2500.00,,,011,,Committee to Elect a Republican Senate,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116318,,,PAC,Republican Assembly Campaign Committee,,,,,,148 East Johnson Street,,Madison,WI,53703,,,2024-10-25,2500.00,,,011,,Republican Assembly Campaign Committee,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116320,,,PAC,Together we Stand,,,,,,PO Box 30295,,Fort Lauderdale,FL,33303,,,2024-10-25,2500.00,,,011,,Together we Stand,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116321,,,PAC,John Whitmire Campaign,,,,,,P.O. Box 7271,,Houston,TX,77248,,,2024-10-29,5000.00,,,011,,John Whitmire Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB116322,,,PAC,Republican Party of Florida,,,,,,420 East Jefferson Street,,Tallahassee,FL,32301,,,2024-10-29,10000.00,,,011,,Republican Party of Florida,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB117123,,,PAC,Minto - Republican Central Committee 2028,,,,,,"8130 La Mesa Blvd., Suite 202",,La Mesa,CA,91941,,,2024-11-04,5000.00,,,011,,Minto - Republican Central Committee 2028,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB117124,,,PAC,Citizens Helping Improve Policy,,,,,,2484 Primrose Place,,Oakland Park,FL,33309,,,2024-11-05,1000.00,,,011,,Citizens Helping Improve Policy,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB117125,,,PAC,Utah Republican Senate Campaign Committee,,,,,,"1123 N Fairfield Road, PO Box 1949",,Layton,UT,84041,,,2024-11-05,2250.00,,,011,,Utah Republican Senate Campaign Committee,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB117128,,,PAC,Oscar Longoria Campaign,,,,,,P.O. Box 4224,,Mission,TX,78573,,,2024-11-08,500.00,,,011,,Oscar Longoria Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB117129,,,PAC,Senator Juan 'Chuy' Hinojosa Campaign,,,,,,P.O. Box 1421,,Austin,TX,78767,,,2024-11-08,500.00,,,011,,Senator Juan 'Chuy' Hinojosa Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB117127,,,PAC,Senfronia Thompson Campaign,,,,,,"4828 Loop Central Dr., #600",,Houston,TX,77081,,,2024-11-08,500.00,,,011,,Senfronia Thompson Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB117126,,,PAC,The Brooks Landgraf Campaign,,,,,,2331 Ladue Lane,,Odessa,TX,79762,,,2024-11-08,500.00,,,011,,The Brooks Landgraf Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB117130,,,PAC,Lombardo for Governor,,,,,,"3275 N Fort Apache Rd., #150",,Las Vegas,NV,89129,,,2024-11-12,5000.00,,,011,,Lombardo for Governor,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB117131,,,PAC,Brandon Noel Campaign,,,,,,1488 E Plains Port Hudson Rd,,Zachary,LA,70791,,,2024-11-13,500.00,,,011,,Brandon Noel Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB117133,,,PAC,Matt Gray Campaign,,,,,,22936 Brazos Dr.,,Porter,TX,77365,,,2024-11-13,2500.00,,,011,,Matt Gray Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
