form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00564260,EB3109,,,CCM,Amish for Arizona,,,,,,PO Box 7070,,Phoenix,AZ,85011,G2024,,2024-09-09,2000.00,,Contribution,011,C00836502,Amish for Arizona,,Shah,Amish,,,,H,AZ,01,,,,,,,,
SB23,C00564260,EB3093,,,CCM,Andrea Salinas for Oregon,,,,,,PO Box 230985,,Tigard,OR,97281,G2024,,2024-09-09,1000.00,,Contribution,011,C00793703,Andrea Salinas for Oregon,,Salinas,Andrea,,,,H,OR,06,,,,,,,,
SB23,C00564260,EB3084,,,CCM,Angie Craig for Congress,,,,,,PO Box 22116,,Eagan,MN,55122,G2024,,2024-09-09,1000.00,,Contribution,011,C00575209,Angie Craig for Congress,,Craig,Angie,,,,H,MN,02,,,,,,,,
SB23,C00564260,EB3090,,,COM,Caraveo for Congress,,,,,,PO Box 953,,Eastlake,CO,80614,G2024,,2024-09-09,1000.00,,Contribution,011,C00787788,Caraveo for Congress,,Caraveo,Yadira,,,,H,CO,08,,,,,,,,
SB23,C00564260,EB3104,,,CCM,Cartwright for Congress,,,,,,PO Box 414,,Scranton,PA,18501,G2024,,2024-09-09,1000.00,,Contribution,011,C00509968,Cartwright for Congress,,Cartwright,Matt,,,,H,PA,08,,,,,,,,
SB23,C00564260,EB3103,,,CCM,Chris Deluzio for Congress,,,,,,PO Box 16210,,Pittsburgh,PA,15242,G2024,,2024-09-09,1000.00,,Contribution,011,C00787648,Chris Deluzio for Congress,,Deluzio,Chris,,,,H,PA,17,,,,,,,,
SB23,C00564260,EB3106,,,CCM,Chris Pappas for Congress,,,,,,PO Box 313,,Manchester,NH,03105,G2024,,2024-09-09,1000.00,,Contribution,011,C00660464,Chris Pappas for Congress,,Pappas,Chris,,,,H,NH,01,,,,,,,,
SB23,C00564260,EB3076,,,CCM,Committee to Elect Shomari Figures for Congress,,,,,,907 Spring Hill Avenue,PO Box 40910,Mobile,AL,36604,G2024,,2024-09-09,1000.00,,Contribution,011,C00856237,Committee to Elect Shomari Figures for Congress,,Figures,Shomari,,,,H,AL,02,,,,,,,,
SB23,C00564260,EB2967,,,CCM,Dave Min for Congress,,,,,,PO Box 5959,,Irvine,CA,92616,G2024,,2024-07-01,2500.00,,Contribution,011,C00831537,Dave Min for Congress,,Min,Dave,,,,H,CA,47,,,,,,,,
SB23,C00564260,EB3187,,,CCM,Dave Min for Congress,,,,,,PO Box 5959,,Irvine,CA,92616,G2024,,2024-09-13,1000.00,,Contribution,011,C00831537,Dave Min for Congress,,Min,Dave,,,,H,CA,47,,,,,,,,
