form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00035204,15465056,,,CCM,Russ Fulcher For Idaho,,,,,,P.O. Box 1375,,Meridian,ID,836801375,P2024,,2023-04-03,2500.00,0.00,2023 Event,011,C00648295,Russ Fulcher For Idaho,H8ID01124,Fulcher,Russ,,Rep.,,H,ID,01,,,,,,,,2023 Event
SB23,C00035204,15483422,,,CCM,Diana For Congress,,,,,,P.O. Box 7208,,Kingsport,TN,37664,P2024,,2023-04-12,1000.00,0.00,"Event - April 25, 2023",011,C00741090,Diana For Congress,H0TN01118,Harshbarger,Diana,,Rep.,,H,TN,01,,,,,,,,"Event - April 25, 2023"
SB23,C00035204,15483428,,,CCM,Mark Pocan For Congress,,,,,,P.O. Box 327,,Madison,WI,53701,P2024,,2023-04-12,1000.00,0.00,"Event - April 20, 2023",011,C00502179,Mark Pocan For Congress,H2WI02124,Pocan,Mark,,Rep.,,H,WI,02,,,,,,,,"Event - April 20, 2023"
SB23,C00035204,15483429,,,CCM,Gary Palmer For Congress,,,,,,1919 Oxmoor Rd #235,,Homewood,AL,35209,P2024,,2023-04-12,1000.00,0.00,"Event - April 27, 2023",011,C00551374,Gary Palmer For Congress,H4AL06098,Palmer,Gary,,,,H,AL,06,,,,,,,,"Event - April 27, 2023"
SB23,C00035204,15483430,,,CCM,Garret Graves For Congress,,,,,,P.O. Box 64845,,Baton Rouge,LA,70896,P2024,,2023-04-12,1000.00,0.00,"Event - April 26, 2023",011,C00558486,Garret Graves For Congress,H4LA06153,Graves,Garret,,Rep.,,H,LA,06,,,,,,,,"Event - April 26, 2023"
SB23,C00035204,15483441,,,CCM,Curtis For Congress,,,,,,P.O. Box 296,,Provo,UT,84603,P2024,,2023-04-12,1500.00,0.00,"Event - April 25, 2023",011,C00647339,Curtis For Congress,H8UT03238,Curtis,John,,Rep.,,H,UT,03,,,,,,,,"Event - April 25, 2023"
SB23,C00035204,15483442,,,CCM,Dan Crenshaw For Congress,,,,,,P.O. Box 430965,,Houston,TX,77243,P2024,,2023-04-12,1500.00,0.00,"Event - May 24, 2023",011,C00660795,Dan Crenshaw For Congress,H8TX02166,Crenshaw,Daniel,,Rep.,,H,TX,02,,,,,,,,"Event - May 24, 2023"
SB23,C00035204,15483443,,,CCM,Jason Smith For Congress,,,,,,P.O. Box 1324,,Cape Girardeau,MO,63702,P2024,,2023-04-12,1500.00,0.00,"Event - May 25, 2023",011,C00541862,Jason Smith For Congress,H4MO08162,Smith,Jason,,Mr.,,H,MO,08,,,,,,,,"Event - May 25, 2023"
SB23,C00035204,15486971,,,CCM,Emmer For Congress,,,,,,PO Box 998,,Anoka,MN,55303,P2024,,2023-04-13,2500.00,0.00,"Event - July 17, 2023",011,C00545749,Emmer For Congress,H4MN06087,Emmer,Tom,,Rep.,Jr.,H,MN,06,,,,,,,,"Event - July 17, 2023"
SB23,C00035204,15543166,,,COM,Team Joyce for Pennsylvania,,,,,,"1152 Mae Street, #129",,Hummelstown,PA,17036,,,2023-04-19,2500.00,0.00,"Event - April 24, 2023",011,,,,,,,,,,,,,,,,,,,"Event - April 24, 2023"
