form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00731414,11547258,,,CCM,Ciscomani For Congress,,,,,,PO Box 35103,,Tucson,AZ,857405103,P2024,,2023-06-21,500.00,0.00,Contribution to federal candidate,011,C00786194,Ciscomani For Congress,H2AZ02360,Ciscomani,Juan,,Rep.,,H,AZ,06,,,,,,,,Contribution to federal candidate
SB23,C00731414,11547259,,,CCM,Mario Diaz-Balart For Congress,,,,,,8724 Sw 72nd St,# 420,Miami,FL,331733512,P2024,,2023-06-20,2500.00,0.00,Contribution to federal candidate,011,C00376087,Mario Diaz-Balart For Congress,H2FL25018,Diaz-Balart,Mario,,Rep.,,H,FL,26,,,,,,,,Contribution to federal candidate
SB23,C00731414,11547260,,,CCM,Garamendi For Congress,,,,,,PO Box 2978,,Fairfield,CA,94533,P2024,,2023-06-20,500.00,0.00,Contribution to federal candidate,011,C00462697,Garamendi For Congress,H0CA10149,Garamendi,John,,Rep.,,H,CA,08,,,,,,,,Contribution to federal candidate
SB23,C00731414,11547261,,,CCM,Mike Garcia For Congress,,,,,,9070 Irvine Center Drive #150,,Irvine,CA,92618,P2024,,2023-06-21,2500.00,0.00,Contribution to federal candidate,011,C00701102,Mike Garcia For Congress,H0CA25105,Garcia,Mike,,Rep.,,H,CA,27,,,,,,,,Contribution to federal candidate
SB23,C00731414,11547262,,,CCM,Friends Of Michael Guest,,,,,,Post Office Box 470,,Brandon,MS,39043,P2024,,2023-06-21,250.00,0.00,Contribution to federal candidate,011,C00665752,Friends Of Michael Guest,H8MS03125,Guest,Michael,,Rep.,,H,MS,03,,,,,,,,Contribution to federal candidate
SB23,C00731414,11547263,,,CCM,Team Hagerty,,,,,,PO Box 50430,,Nashville,TN,37205,P2026,,2023-06-21,2500.00,0.00,Contribution to federal candidate,011,C00718627,Team Hagerty,S0TN00169,Hagerty,Bill,,Sen.,,S,TN,,,,,,,,,Contribution to federal candidate
SB23,C00731414,11547264,,,CCM,Nevadans For Steven Horsford,,,,,,PO Box 336664,,North Las Vegas,NV,89033,P2024,,2023-06-21,1000.00,0.00,Contribution to federal candidate,011,C00668228,Nevadans For Steven Horsford,H2NV04011,Horsford,Steven,,Rep.,,H,NV,04,,,,,,,,Contribution to federal candidate
SB23,C00731414,11547266,,,CCM,Hudson For Congress,,,,,,PO Box 1875,,Southern Pines,NC,28388,P2024,,2023-06-21,250.00,0.00,Contribution to federal candidate,011,C00504522,Hudson For Congress,H2NC08185,Hudson,Richard,,Rep.,Jr.,H,NC,09,,,,,,,,Contribution to federal candidate
SB23,C00731414,11547267,,,CCM,Kelly For Congress,,,,,,Post Office Box 7092,,Tupelo,MS,38802,P2024,,2023-06-21,500.00,0.00,Contribution to federal candidate,011,C00573980,Kelly For Congress,H6MS01131,Kelly,Trent,,Rep.,,H,MS,01,,,,,,,,Contribution to federal candidate
SB23,C00731414,11547271,,,CCM,Kiggans For Congress,,,,,,P.O. Box 5042,,Virginia Beach,VA,23471,P2024,,2023-06-21,2500.00,0.00,Contribution to federal candidate,011,C00776120,Kiggans For Congress,H2VA02064,Kiggans,Jen,A.,Rep.,,H,VA,02,,,,,,,,Contribution to federal candidate
