form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00264689,SB29.25051,,,PAC,Chicago Federation of Labor,,,,,,130 East Randolph St.,Suite 2600,Chicago,IL,60601,,,2023-08-23,6000.00,,CFL Union Labor Day Sponsorship,,,,,,,,,,,,,,,,,,,,
SB29,C00264689,SB29.25049,,,CCM,Friends of Frerichs,,,,,,45 Greencroft Drive,,Champaign,IL,61821,,,2023-08-13,500.00,,State Fair Fundraiser for Frerichs,,,,,,,,,,,,,,,,,,,,
SB29,C00264689,SB29.25041,,,CCM,Friends of Juliana Stratton,,,,,,4850 N. Broadway St.,POB 409373,Chicago,IL,60640,,,2023-08-12,250.00,,Pre-Governor's day Event supporting Juliana Stratton,,,,,,,,,,,,,,,,,,,,
SB29,C00264689,SB29.25023,,,CCM,Friends of Justice Linda Davenport,,,,,,POB 5115,,Wheaton,IL,60189,,,2023-08-01,1000.00,,Campaign Kickoff Fundraiser,,,,,,,,,,,,,,,,,,,,
SB29,C00264689,SB29.25037,,,CCM,Friends of Larry Walsh Jr.,,,,,,P.O. Box 69,,Elwood,IL,60421,,,2023-08-12,1000.00,,Reception for Ill. State Rep. Larry Walsh,,,,,,,,,,,IL,,,,,,,,,
SB29,C00264689,SB29.25050,,,CCM,Friends of Natalie Manley,,,,,,1927 Timber Edge Circle,,Joliet,IL,60431,,,2023-08-13,250.00,,State Fair Reception Fundraiser,,,,,,,,,,,,,,,,,,,,
SB29,C00264689,SB29.25044,,,CCM,Friends Of Sue Scherer,,,,,,POB 3464,,Decatur,IL,62524,,,2023-08-12,500.00,,A Birthday Fundraiser,,,,,,,,,,,IL,,,,,,,,,
SB29,C00264689,SB29.25048,,,PAC,Illinois Nevada 2023 Fund,,,,,,POB 1949,,Springfield,IL,62705,,,2023-08-12,1000.00,,Joint Fudraising reception at Ill. State Fair,,C00846691,,,,,,,,,,,,,,,,,,
SB29,C00264689,SB29.25036,,,PTY,ISDF,,,,,,6939 W. North Ave,,Oak Park,IL,60302,,,2023-08-12,1000.00,,Reception For Ill. senate President Don Harmon and Senate Dem. Caucus,,,,,,,,,,,,,,,,,,,,
SB29,C00264689,SB29.25024,,,CCM,Rock Island County Democratic Central Committee,,,,,,P.O. Box 3128,,Rock Island,IL,61204,,,2023-08-07,300.00,,Salute to Labor Picnic,,,,,,,,,,,,,,,,,,,,
