form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00065870,SB29.36867,,,CCM,Abrams for Ohio,,,,,,92 Fawn Drive,,Harrison,OH,45030,G2023,,2023-07-21,6500.00,,Contributions,011,,,,,,,,,H,OH,29,,,,,,,,
SB29,C00065870,SB29.36868,,,CCM,Adam Holmes For Ohio,,,,,,4679 Winterset Drive,,Columbus,OH,43220,G2023,,2023-07-21,6500.00,,Contributions,011,,,,,,,,,H,OH,97,,,,,,,,
SB29,C00065870,SB29.36869,,,CCM,Al Cutrona for Ohio,,,,,,4679 Winterset Drive,,Columbus,OH,43220,G2023,,2023-07-21,6500.00,,Contributions,011,,,,,,,,,H,OH,58,,,,,,,,
SB29,C00065870,SB29.36870,,,CCM,Callender for Ohio,,,,,,4679 Winterset Drive,,Columbus,OH,43220,G2023,,2023-07-21,6500.00,,Contributions,011,,,,,,,,,H,OH,57,,,,,,,,
SB29,C00065870,SB29.36871,,,CCM,Campaign to Elect Adam Bird,,,,,,3562 Behymer Rd,,Cincinnati,OH,45245,G2023,,2023-07-21,6500.00,,Contributions,011,,,,,,,,,H,OH,63,,,,,,,,
SB29,C00065870,SB29.36872,,,CCM,Citizens For Blessing,,,,,,3378 Dolomar Drive,,Cincinnati,OH,45239,G2023,,2023-07-21,1900.00,,Contributions,011,,,,,,,,,S,OH,08,,,,,,,,
SB29,C00065870,SB29.36873,,,CCM,Citizens for Cecil Thomas,,,,,,35 E. 7th Street Suite 750,,Cincinnati,OH,45202,G2023,,2023-07-21,3250.00,,Contributions,011,,,,,,,,,H,OH,25,,,,,,,,
SB29,C00065870,SB29.36964,,,CCM,Citizens for Denson,,,,,,8298 Kingsmere Court,,Cincinnati,OH,45231,G2023,,2023-10-03,3250.00,,Contributions,011,,,,,,,,,H,OH,26,,,,,,,,
SB29,C00065870,SB29.36874,,,CCM,Citizens for Gavarone,,,,,,PO Box 1036,,Perrysburg,OH,43551,G2023,,2023-07-21,1900.00,,Contributions,011,,,,,,,,,S,OH,02,,,,,,,,
SB29,C00065870,SB29.36875,,,CCM,Citizens for Kunze,,,,,,865 Macon Alley,,Columbus,OH,43206,G2023,,2023-07-21,6500.00,,Contributions,011,,,,,,,,,S,OH,16,,,,,,,,
