form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00252940,VVAG5ARXM74,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00420760,,,HIRONO,MAZIE MRS,,,,S,HI,,,,,,,,,
SB23,C00252940,VVAG5ARXM82,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00500843,,,Warren,Elizabeth,,,,S,MA,00,,,,,,,,
SB23,C00252940,VVAG5ARXM90,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00516047,,,KING,ANGUS STANLEY JR,,,,S,ME,,,,,,,,,
SB23,C00252940,VVAG5ARXMA8,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00410191,,,Klobuchar,Amy,,,,S,MN,,,,,,,,,
SB23,C00252940,VVAG5ARXMB6,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00412304,,,TESTER,JON,,,,S,MT,,,,,,,,,
SB23,C00252940,VVAG5ARXMC4,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00799767,,,MENENDEZ,ROBERT J.,,,,H,NJ,08,,,,,,,,
SB23,C00252940,VVAG5ARXMD2,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00434563,,,HEINRICH,MARTIN TREVOR,,,,S,NM,,,,,,,,,
SB23,C00252940,VVAG5ARXME0,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00606939,,,ROSEN,JACKY,,,,S,NV,,,,,,,,,
SB23,C00252940,VVAG5ARXMF8,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00413914,,,GILLIBRAND,KIRSTEN ELIZABETH,,,,S,NY,,,,,,,,,
SB23,C00252940,VVAG5ARXMG6,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00264697,,,BROWN,SHERROD,,,,S,OH,,,,,,,,,
SB23,C00252940,VVAG5ARXMH3,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00431056,,,CASEY,ROBERT P JR,,,,S,PA,,,,,,,,,
SB23,C00252940,VVAG5ARXMJ1,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00410803,,,WHITEHOUSE,SHELDON II,,,,S,RI,,,,,,,,,
SB23,C00252940,VVAG5ARXMK9,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00495358,,,KAINE,TIMOTHY MICHAEL,,,,S,VA,,,,,,,,,
SB23,C00252940,VVAG5ARXMM7,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00213512,,,PELOSI,NANCY,,,,H,CA,12,,,,,,,,
SB23,C00252940,VVAG5ARXMN5,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00503052,,,JEFFRIES,HAKEEM,,,,H,NY,08,,,,,,,,
SB23,C00252940,VVAG5ARXMP3,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00541888,,,CLARK,KATHERINE,,,,H,MA,05,,,,,,,,
SB23,C00252940,VVAG5ARXMQ1,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00510461,,,AGUILAR,PETE,,,,H,CA,31,,,,,,,,
SB23,C00252940,VVAG5ARXMR9,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00536680,,,HUFFMAN,JARED,,,,H,CA,02,,,,,,,,
SB23,C00252940,VVAG5ARXMS7,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00795005,,,MULLIN,KEVIN,,,,H,CA,15,,,,,,,,
SB23,C00252940,VVAG5ARXMT5,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00576041,,,CARBAJAL,SALUD,,,,H,CA,24,,,,,,,,
SB23,C00252940,VVAG5ARXMV2,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00557652,,,TORRES,NORMA,,,,H,CA,35,,,,,,,,
SB23,C00252940,VVAG5ARXMW0,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00795823,,,KAMLAGER,SYDNEY,,,,H,CA,37,,,,,,,,
SB23,C00252940,VVAG5ARXMX8,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00167585,,,WATERS,MAXINE MS,,,,H,CA,43,,,,,,,,
SB23,C00252940,VVAG5ARXMY6,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00577353,,,BARRAGAN,NANETTE,,,,H,CA,44,,,,,,,,
SB23,C00252940,VVAG5ARXMZ4,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00634253,,,LEVIN,MIKE,,,,H,CA,49,,,,,,,,
SB23,C00252940,VVAG5ARXN02,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00648253,,,NEGUSE,JOSEPH,,,,H,CO,02,,,,,,,,
SB23,C00252940,VVAG5ARXN10,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00637215,,,PETTERSEN,BRITTANY LOUISE MS.,,,,H,CO,07,,,,,,,,
SB23,C00252940,VVAG5ARXN28,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00787788,,,CARAVEO,YADIRA,,,,H,CO,08,,,,,,,,
SB23,C00252940,VVAG5ARXN36,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00677898,,,HAYES,JAHANA,,,,H,CT,05,,,,,,,,
SB23,C00252940,VVAG5ARXN44,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00581074,,,SOTO,DARREN,,,,H,FL,09,,,,,,,,
SB23,C00252940,VVAG5ARXN51,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00410761,,,CASTOR,KATHY,,,,H,FL,14,,,,,,,,
SB23,C00252940,VVAG5ARXN69,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00752584,,,WILLIAMS,NIKEMA NATASSHA,,,,H,GA,05,,,,,,,,
SB23,C00252940,VVAG5ARXN77,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00813758,,,TOKUDA,JILL NAOMI,,,,H,HI,02,,,,,,,,
SB23,C00252940,VVAG5ARXN85,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00802603,,,JACKSON,JONATHAN,,,,H,IL,01,,,,,,,,
SB23,C00252940,VVAG5ARXN93,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00796672,,,RAMIREZ,DELIA,,,,H,IL,03,,,,,,,,
SB23,C00252940,VVAG5ARXNA1,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00661777,,,GARCIA,JESUS,,,,H,IL,04,,,,,,,,
