form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00252940,VVAG5ARXNB9,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00648493,,,CASTEN,SEAN,,,,H,IL,06,,,,,,,,
SB23,C00252940,VVAG5ARXNC7,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00787812,,,BUDZINSKI,NIKKI,,,,H,IL,13,,,,,,,,
SB23,C00252940,VVAG5ARXND5,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00652719,,,UNDERWOOD,LAUREN,A,,,H,IL,14,,,,,,,,
SB23,C00252940,VVAG5ARXNE3,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00793935,,,SORENSEN,ERIC,,,,H,IL,17,,,,,,,,
SB23,C00252940,VVAG5ARXNF0,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00727529,,,MRVAN,FRANK J,,,,H,IN,01,,,,,,,,
SB23,C00252940,VVAG5ARXNG8,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00442921,,,CARSON,ANDRE,,,,H,IN,07,,,,,,,,
SB23,C00252940,VVAG5ARXNH6,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00670034,,,DAVIDS,SHARICE,,,,H,KS,03,,,,,,,,
SB23,C00252940,VVAG5ARXNJ4,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00791392,,,MCGARVEY,MORGAN,,,,H,KY,03,,,,,,,,
SB23,C00252940,VVAG5ARXNK2,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00711317,,,SCHOLTEN,HILLARY,,,,H,MI,03,,,,,,,,
SB23,C00252940,VVAG5ARXNM0,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00499947,,,KILDEE,DANIEL T.,,,,H,MI,08,,,,,,,,
SB23,C00252940,VVAG5ARXNN8,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00575209,,,CRAIG,ANGELA DAWN,,,,H,MN,02,,,,,,,,
SB23,C00252940,VVAG5ARXNP6,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00638767,,,BUSH,CORI,,,,H,MO,01,,,,,,,,
SB23,C00252940,VVAG5ARXNQ4,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00767400,,,JACKSON,JEFF,,,,H,NC,14,,,,,,,,
SB23,C00252940,VVAG5ARXNR2,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00660464,,,PAPPAS,CHRIS,,,,H,NH,01,,,,,,,,
SB23,C00252940,VVAG5ARXNS9,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00648220,,,KIM,ANDY,,,,H,NJ,03,,,,,,,,
SB23,C00252940,VVAG5ARXNT7,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00799767,,,MENENDEZ,ROBERT J.,,,,H,NJ,08,,,,,,,,
SB23,C00252940,VVAG5ARXNV5,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00519355,,,PAYNE,"DONALD M., JR.",,,,H,NJ,10,,,,,,,,
SB23,C00252940,VVAG5ARXNW3,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00558437,,,COLEMAN,BONNIE WATSON,,,,H,NJ,12,,,,,,,,
SB23,C00252940,VVAG5ARXNX1,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00789404,,,VASQUEZ,GABRIEL,,,,H,NM,02,,,,,,,,
SB23,C00252940,VVAG5ARXNY9,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00704049,,,LEGER,TERESA,,,,H,NM,03,,,,,,,,
SB23,C00252940,VVAG5ARXNZ7,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00655613,,,LEE,SUSIE,,,,H,NV,03,,,,,,,,
SB23,C00252940,VVAG5ARXP05,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00430991,,,MEEKS,GREGORY W.,,,,H,NY,05,,,,,,,,
SB23,C00252940,VVAG5ARXP13,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00271312,,,VELAZQUEZ,NYDIA M,,,,H,NY,07,,,,,,,,
SB23,C00252940,VVAG5ARXP21,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00415331,,,CLARKE,YVETTE D,,,,H,NY,09,,,,,,,,
SB23,C00252940,VVAG5ARXP38,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00816660,,,Goldman,Daniel,,,,H,NY,10,,,,,,,,
SB23,C00252940,VVAG5ARXP46,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00701953,,,ESPAILLAT,ADRIANO,,,,H,NY,13,,,,,,,,
SB23,C00252940,VVAG5ARXP54,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00699744,,,TORRES,RITCHIE JOHN,,,,H,NY,15,,,,,,,,
SB23,C00252940,VVAG5ARXP62,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00815290,,,RYAN,PATRICK,,,,H,NY,18,,,,,,,,
SB23,C00252940,VVAG5ARXP70,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00800276,,,LANDSMAN,GREG,,,,H,OH,01,,,,,,,,
SB23,C00252940,VVAG5ARXP86,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00801274,,,SYKES,EMILIA,,,,H,OH,13,,,,,,,,
SB23,C00252940,VVAG5ARXP94,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00500421,,,BONAMICI,SUZANNE MS.,,,,H,OR,01,,,,,,,,
SB23,C00252940,VVAG5ARXPA2,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00793703,,,SALINAS,ANDREA,,,,H,OR,06,,,,,,,,
SB23,C00252940,VVAG5ARXPB0,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00591065,,,EVANS,DWIGHT,,,,H,PA,03,,,,,,,,
SB23,C00252940,VVAG5ARXPC8,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00658567,,,WILD,SUSAN,,,,H,PA,07,,,,,,,,
SB23,C00252940,VVAG5ARXPD5,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00509968,,,CARTWRIGHT,MATT,,,,H,PA,08,,,,,,,,
SB23,C00252940,VVAG5ARXPE3,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00787648,,,DELUZIO,CHRISTOPHER,,,,H,PA,17,,,,,,,,
SB23,C00252940,VVAG5ARXPF1,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00802504,,,MAGAZINER,SETH,,,,H,RI,02,,,,,,,,
SB23,C00252940,VVAG5ARXPG9,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00653923,,,ESCOBAR,VERONICA,,,,H,TX,16,,,,,,,,
SB23,C00252940,VVAG5ARXPH7,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00506832,,,VEASEY,MARC ALLISON MR.,,,,H,TX,33,,,,,,,,
SB23,C00252940,VVAG5ARXPJ5,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00791897,,,CASAR,GREG,,,,H,TX,35,,,,,,,,
SB23,C00252940,VVAG5ARXPK3,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00649913,,,SPANBERGER,ABIGAIL,,,,H,VA,07,,,,,,,,
SB23,C00252940,VVAG5ARXPM1,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00555888,,,BEYER,DONALD STERNOFF JR.,,,,H,VA,08,,,,,,,,
SB23,C00252940,VVAG5ARXPN9,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00797175,,,BALINT,REBECCA BECCA,,,,H,VT,01,,,,,,,,
SB23,C00252940,VVAG5ARXPP7,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00652628,,,SCHRIER,KIM,,,,H,WA,08,,,,,,,,
SB23,C00252940,VVAG5ARXPQ4,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00732826,,,STRICKLAND,MARILYN,,,,H,WA,10,,,,,,,,
SB23,C00252940,VVAG5ARXPR2,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00397505,,,MOORE,GWEN S,,,,H,WI,04,,,,,,,,
SB23,C00252940,VVAG5ARXPS0,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00843391,,,Blunt Rochester,Lisa,,,,S,DE,00,,,,,,,,
SB23,C00252940,VVAG5ARXPT8,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00836890,,,Teran,Raquel,,,,H,AZ,03,,,,,,,,
SB23,C00252940,VVAG5ARXPV6,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00773820,,,ENGEL,KIRSTEN,,,,H,AZ,06,,,,,,,,
SB23,C00252940,VVAG5ARXPW4,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-07-27,18.53,0.00,Endorsement Related Expenses (via drawdown),,C00834028,,,Whitesides,George,,,,H,CA,27,,,,,,,,
