form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00409730,15139878C,15139878,SA11C,CCM,Adam Smith For Congress Committee,,,,,,PO Box 23626,,Federal Way,WA,980930626,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00304709,,,Smith,D. Adam,,,,H,WA,09,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500366493,,,PAC,American Defense And Military PAC,,,,,,PO Box 15320,,Washington,DC,200030320,,,2023-03-08,1000.00,0.00,Contribution,,C00492025,American Defense And Military PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,15139770C,15139770,SA11C,CCM,Ami Bera For Congress,,,,,,PO Box 582496,,Elk Grove,CA,957580042,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00461061,,,Bera,Amerish,,,,H,CA,07,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15139778C,15139778,SA11C,CCM,Andre Carson For Congress,,,,,,PO Box 1863,,Indianapolis,IN,462061863,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00442921,,,Carson,Andre,,,,H,IN,07,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15136535C,15136535,SA11C,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,,,2023-03-22,1000.00,0.00,Conduit Contribution,,C00575209,,,Craig,Angela,,,,H,MN,02,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,500369132,,,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,P2024,,2023-03-24,5000.00,0.00,Contribution,,C00575209,,,Craig,Angela,,,,H,MN,02,,,,,,,,
SB23,C00409730,15139813C,15139813,SA11C,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,,,2023-03-27,2500.00,0.00,Conduit Contribution,,C00575209,,,Craig,Angela,,,,H,MN,02,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,15140584C,15140584,SA11C,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,,,2023-03-28,1000.00,0.00,Conduit Contribution,,C00575209,,,Craig,Angela,,,,H,MN,02,,,,,,,X,Earmarked by Annie PAC
SB23,C00409730,15141680C,15141680,SA11C,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,,,2023-03-29,5000.00,0.00,Conduit Contribution,,C00575209,,,Craig,Angela,,,,H,MN,02,,,,,,,X,Earmarked by Target Citizens Political Forum
SB23,C00409730,15176592C,15176592,SA11C,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,,,2023-03-28,1000.00,0.00,Conduit Contribution,,C00575209,,,Craig,Angela,,,,H,MN,02,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
