form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00528950,SB21B.20069,,,ORG,Reasonable Tech Solutions Inc.,,,,,,101 E Chesapeake Ave,,Towson,MD,21286,,,2024-10-31,6.00,,Technology Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20049,,,ORG,Verdugo Strategies,,,,,,PO Box 94471,,Pasadena,CA,91109,,,2024-10-08,150000.00,,Canvassing Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20072,,,ORG,Verdugo Strategies,,,,,,PO Box 94471,,Pasadena,CA,91109,,,2024-11-04,7500.00,,Canvassing Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20078,,,ORG,Verdugo Strategies,,,,,,PO Box 94471,,Pasadena,CA,91109,,,2024-11-05,110000.00,,Canvassing Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20043,,,ORG,World Management Group Agency,,,,,,14 Cambridge Pl,,Brooklyn,NY,11238,,,2024-10-01,56000.00,,Social Media/Website Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20053,,,ORG,World Management Group Agency,,,,,,14 Cambridge Pl,,Brooklyn,NY,11238,,,2024-10-11,27500.00,,Social Media/Website Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20054,,,ORG,World Management Group Agency,,,,,,14 Cambridge Pl,,Brooklyn,NY,11238,,,2024-10-11,24000.00,,Social Media/Website Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20059,,,ORG,World Management Group Agency,,,,,,14 Cambridge Pl,,Brooklyn,NY,11238,,,2024-10-23,4000.00,,Social Media/Website Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20073,,,ORG,World Management Group Agency,,,,,,14 Cambridge Pl,,Brooklyn,NY,11238,,,2024-11-04,27500.00,,Social Media/Website Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20074,,,ORG,World Management Group Agency,,,,,,14 Cambridge Pl,,Brooklyn,NY,11238,,,2024-11-04,18500.00,,Social Media/Website Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20075,,,ORG,World Management Group Agency,,,,,,14 Cambridge Pl,,Brooklyn,NY,11238,,,2024-11-04,8000.00,,Social Media/Website Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20083,,,ORG,World Management Group Agency,,,,,,14 Cambridge Pl,,Brooklyn,NY,11238,,,2024-11-18,7500.00,,Social Media/Website Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20058,,,ORG,Zoom,,,,,,55 Almaden Boulevard,6th Floor,San Jose,CA,95113,,,2024-10-21,59.35,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.20087,,,ORG,Zoom,,,,,,55 Almaden Boulevard,6th Floor,San Jose,CA,95113,,,2024-11-21,59.35,,Software,,,,,,,,,,,,,,,,,,,,
