form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00035204,17536758,,,CCM,Nehls For Congress,,,,,,1612 Crabb River Rd,,Richmond,TX,77469,G2024,,2024-05-01,1000.00,0.00,"Event - May 8, 2024",011,C00730150,Nehls For Congress,H0TX22302,Nehls,Troy,,,,H,TX,22,,,,,,,,"Event - May 8, 2024"
SB23,C00035204,17536761,,,CCM,Larson For Congress,,,,,,PO Box 479,,Glastonbury,CT,06033,P2024,,2024-05-01,1500.00,0.00,"Event - May 8, 2024",011,C00330142,Larson For Congress,H8CT01046,Larson,John,B.,Rep.,,H,CT,01,,,,,,,,"Event - May 8, 2024"
SB23,C00035204,17626071,,,CCM,Feenstra For Congress,,,,,,641 2nd St,,Hull,IA,51239,P2024,,2024-05-03,1500.00,0.00,Event - June 2024,011,C00693663,Feenstra For Congress,H0IA04145,Feenstra,Randy,,Rep.,,H,IA,04,,,,,,,,Event - June 2024
SB23,C00035204,17878144,,,CCM,Pete Ricketts For Senate,,,,,,1327 H Street,Ste 101,Lincoln,NE,68508,G2024,,2024-05-07,2500.00,0.00,"Event - May 20, 2024",011,C00832436,Pete Ricketts For Senate,S4NE00173,Ricketts,Pete,,Sen.,,S,NE,,,,,,,,,"Event - May 20, 2024"
SB23,C00035204,18219414,,,CCM,Langworthy For Congress,,,,,,P.O. Box 120,,Clarence,NY,14031,P2024,,2024-05-10,1000.00,0.00,Event - March 2024,011,C00817932,Langworthy For Congress,H2NY23228,Langworthy,Nick,,Rep.,,H,NY,23,,,,,,,,Event - March 2024
SB23,C00035204,18219415,,,CCM,Mike Flood for Congress,,,,,,P.O. Box 81041,,Lincoln,NE,68501,P2024,,2024-05-10,1000.00,0.00,"Event - May 14, 2024",011,C00801241,Mike Flood for Congress,,Flood,Mike,,,,H,NE,01,,,,,,,,"Event - May 14, 2024"
SB23,C00035204,18219416,,,CCM,Paul Tonko For Congress,,,,,,911 Central Avenue,PO Box 221,Albany,NY,12206,P2024,,2024-05-10,2500.00,0.00,"Event - May 14, 2024",011,C00450049,Paul Tonko For Congress,H8NY21203,Tonko,Paul,,Mr.,,H,NY,21,,,,,,,,"Event - May 14, 2024"
SB23,C00035204,18249942,,,CCM,Curtis For Congress,,,,,,P.O. Box 296,,Provo,UT,84603,G2024,,2024-05-14,5000.00,0.00,"Event - May 16, 2024",011,C00647339,Curtis For Congress,H8UT03238,Curtis,John,,Rep.,,H,UT,03,,,,,,,,"Event - May 16, 2024"
SB23,C00035204,18249996,,,CCM,Lori Chavez-Deremer For Congress,,,,,,13203 Se 172nd Ave,Ste 166 #399,Happy Valley,OR,97086,G2024,,2024-05-14,500.00,0.00,2024 Event,011,C00784520,Lori Chavez-Deremer For Congress,H2OR05209,Chavez-DeRemer,Lori,,Rep.,,H,OR,05,,,,,,,,2024 Event
SB23,C00035204,18250002,,,CCM,Lori Chavez-Deremer For Congress,,,,,,13203 Se 172nd Ave,Ste 166 #399,Happy Valley,OR,97086,P2024,,2024-05-14,1000.00,0.00,2024 Event,011,C00784520,Lori Chavez-Deremer For Congress,H2OR05209,Chavez-DeRemer,Lori,,Rep.,,H,OR,05,,,,,,,,2024 Event
SB23,C00035204,18271696,,,CCM,Mary Peltola For Alaska,,,,,,810 N Street,Suite 301,Anchorage,AK,99501,P2024,,2024-05-21,1000.00,0.00,"Event - June 11, 2024",011,C00812388,Mary Peltola For Alaska,H2AK01158,Peltola,Mary,,Rep.,,H,AK,01,,,,,,,,"Event - June 11, 2024"
SB23,C00035204,18271703,,,COM,Hogan Victory Fund,,,,,,2077 Sommerville Road,Suite 206,Annapolis,MD,21401,,,2024-05-21,2500.00,0.00,"Event - June 10, 2024",011,,,,,,,,,,,,,,,,,,,"Event - June 10, 2024"
SB23,C00035204,18272038,,,CCM,Lori Chavez-Deremer For Congress,,,,,,13203 Se 172nd Ave,Ste 166 #399,Happy Valley,OR,97086,G2024,,2024-05-22,1500.00,0.00,"Event - May 30, 2024",011,C00784520,Lori Chavez-Deremer For Congress,H2OR05209,Chavez-DeRemer,Lori,,Rep.,,H,OR,05,,,,,,,,"Event - May 30, 2024"
SB23,C00035204,18272107,,,CCM,Wicker For Senate,,,,,,PO Box 64,,Jackson,MS,39205,G2024,,2024-05-23,1000.00,0.00,"Event - June 11, 2024",011,C00443218,Wicker For Senate,S8MS00196,Wicker,Roger,,Mr.,,S,MS,,,,,,,,,"Event - June 11, 2024"
SB23,C00035204,18272108,,,CCM,Pete Ricketts For Senate,,,,,,1327 H Street,Ste 101,Lincoln,NE,68508,G2024,,2024-05-23,1500.00,0.00,2024 Event,011,C00832436,Pete Ricketts For Senate,S4NE00173,Ricketts,Pete,,Sen.,,S,NE,,,,,,,,,2024 Event
