form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00684969,500117637,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-30,230.75,2024-08-14,414507.63,Auto-Dialer (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117638,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-07-31,10.90,2024-08-14,31390.30,Texting (Actual for previously reported IE),004,,S,H6NV03139,ROSEN,JACKY,,,,S,,NV,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117639,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-01,147.88,2024-08-14,414507.63,Auto-Dialer (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117640,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-01,146.13,2024-08-14,414507.63,Auto-Dialer (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117641,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-01,131.46,2024-08-14,414507.63,Auto-Dialer (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117642,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-01,112.38,2024-08-14,4366.60,Texting (Actual for previously reported IE),004,,S,S6PA00217,Casey,Robert,P,,Jr,S,,PA,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117643,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-01,258.46,2024-08-14,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117644,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-02,38.15,2024-08-14,414507.63,Auto-Dialer (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117645,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-02,347.49,2024-08-14,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117646,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-05,38.15,2024-08-14,2136.18,Auto-Dialer (Actual for previously reported IE),004,,S,S4FL00611,MUCARSEL-POWELL,DEBBIE,,,,S,00,FL,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117647,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-05,25.13,2024-08-14,414507.63,Auto-Dialer (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117648,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-05,86.85,2024-08-14,4366.60,Texting (Actual for previously reported IE),004,,S,S6PA00217,Casey,Robert,P,,Jr,S,,PA,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117649,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-05,35.76,2024-08-14,4366.60,Texting (Actual for previously reported IE),004,,S,S6PA00217,Casey,Robert,P,,Jr,S,,PA,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117650,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-05,261.40,2024-08-14,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117651,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-05,1209.00,2024-08-14,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117652,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-06,0.07,2024-08-14,414507.63,Auto-Dialer (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,
SE,C00684969,500117837,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-15,790.99,,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117838,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-15,0.05,,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117839,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-23,29.78,,4366.60,Texting (Actual for previously reported IE),004,,S,S6PA00217,Casey,Robert,P,,Jr,S,,PA,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117840,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-23,0.16,,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117841,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-23,7.78,,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117842,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-30,0.24,,155.59,Texting (Actual for previously reported IE),004,,S,H8NV03036,TITUS,DINA,,,,H,01,NV,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
SE,C00684969,500117843,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-30,0.54,,414507.63,Texting (Actual for previously reported IE),004,,S,P00009423,Harris,Kamala,,,,P,00,US,Goldberg Goldman,Barbara,,,,2024-10-15,X,*
