form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB22,C00867937,SB22.1027886,,,PTY,NEVADA REPUBLICAN CENTRAL COMMITTEE,,,,,,840 S RANCHO DR SUITE 4-800,,LAS VEGAS,NV,89106,,,2024-10-08,190557.33,,TRANSFER OF NET PROCEEDS,,C00082925
SB22,C00867937,SB22.1027286,,,PTY,NEW HAMPSHIRE REPUBLICAN STATE COMMITTEE,,,,,,10 WATER ST,,CONCORD,NH,33014,,,2024-10-04,228330.00,,TRANSFER OF NET PROCEEDS,,C00136457
SB22,C00867937,SB22.1027883,,,PTY,NEW JERSEY REPUBLICAN STATE COMMITTEE,,,,,,PO BOX 408,,BAYVILLE,NJ,08721,,,2024-10-08,212865.03,,TRANSFER OF NET PROCEEDS,,C00164418
SB22,C00867937,SB22.1027285,,,PTY,NORTH CAROLINA REPUBLICAN PARTY,,,,,,1506 HILLSBOROUGH STREET,,RALEIGH,NC,27605,,,2024-10-04,99000.00,,TRANSFER OF NET PROCEEDS,,C00038505
SB22,C00867937,SB22.1027893,,,PTY,NORTH DAKOTA REPUBLICAN PARTY,,,,,,1029 N. 5TH ST.,,BISMARCK,ND,58501,,,2024-10-08,179354.43,,TRANSFER OF NET PROCEEDS,,C00018929
SB22,C00867937,SB22.1027282,,,PTY,NY REPUBLICAN FEDERAL CAMPAIGN COMMITTEE,,,,,,315 STATE ST,,ALBANY,NY,12210,,,2024-10-04,269730.00,,TRANSFER OF NET PROCEEDS,,C00055582
SB22,C00867937,SB22.1027291,,,PTY,OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE,,,,,,471 EAST BROAD STREET,SUITE 1510,COLUMBUS,OH,43215,,,2024-10-04,153000.00,,TRANSFER OF NET PROCEEDS,,C00162339
SB22,C00867937,SB22.1027278,,,PTY,OKLAHOMA LEADERSHIP COUNCIL,,,,,,4031 N. LINCOLN BOULEVARD,,OKLAHOMA CITY,OK,73105,,,2024-10-04,142200.00,,TRANSFER OF NET PROCEEDS,,C00167213
SB22,C00867937,SB22.1027288,,,PTY,OREGON REPUBLICAN PARTY,,,,,,PO BOX 1586,,LAKE OSWEGO,OR,97035,,,2024-10-04,108000.00,,TRANSFER OF NET PROCEEDS,,C00153031
SB22,C00867937,SB22.1027888,,,PTY,REPUBLICAN CAMPAIGN COMMITTEE OF NEW MEXICO,,,,,,PO BOX 94083,,ALBUQUERQUE,NM,87199,,,2024-10-08,151405.69,,TRANSFER OF NET PROCEEDS,,C00020818
