form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00015552,SB29.16520,,,CAN,,Abbott,Texans for Greg,,,,PO Box 308,,Austin,TX,78767,P2024,,2024-09-23,5000.00,,TX Gov. TX TX Gov. Non-federal contr,,,,,,,,,,,TX,,,,,,,,,
SB29,C00015552,SB29.16418,,,CAN,,Anchia Campaign,Rafael,,,,PO Box 2910,,Austin,TX,78768,G2024,,2024-09-23,1000.00,,House TX District 103 Non-federal contr,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16488,,,CAN,,Ashby,Texans for Trent,,,,PO BOX 412,,Lufkin,TX,75902,G2024,,2024-09-23,2000.00,,House TX District 9-Non federal contr,,,,,,,,,,H,TX,09,,,,,,,,
SB29,C00015552,SB29.16451,,,CAN,,Bell Campaign,Keith,,,,PO Box 1178,,Forney,TX,75126,G2024,,2024-09-23,1000.00,,House TX District 4 Non-federal contr.,,,,,,,,,,H,TX,04,,,,,,,,
SB29,C00015552,SB29.16446,,,CAN,,Bell Jr,Friends of Cecil,,,,PO Box 819,,Magnolia,TX,77355,G2024,,2024-09-23,1000.00,,House TX District 3 Non-federal contr,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16425,,,CAN,,Bernal Campaign,Diego,,,,9862 Lorene Lane Suite 102,,San Antonio,TX,78216,G2024,,2024-09-23,1000.00,,House TX District 123 House Non-federal,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16515,,,CAN,,Bettencourt,Friends of Paul,,,,1 E. Greenway Plaza Ste 225,,Houston,TX,77046,G2024,,2024-09-23,1000.00,,Senate TX District 7 Non-federal contr.,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16502,,,CAN,,Birdwell Campaign,Brian,,,,PO Box 1111,,Grandbury,TX,76048,P2024,,2024-09-23,1000.00,,Senate TX District 22 Non-federal contr,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16518,,,CAN,,Blanco for Texas Senate,Cesar,,,,PO Box 27074,,El Paso,TX,79926,G2024,,2024-09-23,1000.00,,Senate TX District 29 Non-federal contr,,,,,,,,,,S,TX,29,,,,,,,,
SB29,C00015552,SB29.16443,,,CAN,,Bonnen Campaign,Greg,,,,PO Box 1183,,Friendswood,TX,77549,G2024,,2024-09-23,2000.00,,House TX District 24 Non-federal contr.,,,,,,,,,,H,TX,24,,,,,,,,
SB29,C00015552,SB29.16422,,,CAN,,Bryant Campaign,John,,,,PO Box 140977,,Dallas,TX,75214,G2024,,2024-09-23,1000.00,,House TX District 114 Non-federal contr,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16490,,,CAN,,Buckingham Campaign,Dawn,,,,PO Box 342524,,Lakeway,TX,78734,P2024,,2024-09-23,1000.00,,Land Comm TX TX Land Comm Non-federal co,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16461,,,CAN,,Buckley Campaign,Brad,,,,1321 Pershing Dr,,Killeen,TX,76549,G2024,,2024-09-23,1000.00,,House TX District 54 Non-federal contr,,,,,,,,,,H,TX,54,,,,,,,,
SB29,C00015552,SB29.16479,,,CAN,,Burrows Campaign,Dustin,,,,PO Box 2569,,Lubbock,TX,79408,G2024,,2024-09-23,3000.00,,House TX District 83  Non-federal contr.,,,,,,,,,,H,TX,83,,,,,,,,
SB29,C00015552,SB29.16426,,,CAN,,Cain for Texas,Briscoe,,,,PO Box 7,,Deer Park,TX,77536,G2024,,2024-09-23,2500.00,,House TX District 128 non-federal contr,,,,,,,,,,H,TX,,,,,,,,,
SB29,C00015552,SB29.16503,,,CAN,,Campbell,Friends of Donna,,,,PO Box 171021,,San Antonio,TX,78217,G2024,,2024-09-23,1000.00,,Senate TX District 25 Non-federal contr.,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16452,,,CAN,,Canales Campaign,Terry,,,,2727 W University Dr,,Edingurg,TX,78539,G2024,,2024-09-23,1000.00,,House TX District 40 Non-federal contr.,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16487,,,CAN,,Capriglione Campaign,Giovanni,,,,PO Box 92007,,Southlake,TX,76092,G2024,,2024-09-23,1000.00,,House TX District 98 Non-federal contr,,,,,,,,,,H,TX,98,,,,,,,,
SB29,C00015552,SB29.16478,,,CAN,,Craddick Campaign,Tom,,,,Two Lakes Dr,,Midland,TX,79705,G2024,,2024-09-23,1000.00,,House TX District 82 Non-federal Contr,,,,,,,,,,H,TX,82,,,,,,,,
SB29,C00015552,SB29.16513,,,CAN,,Creighton,Friends of Brandon,,,,2257 N Loop 336 Suite 140-366,,Conroe,TX,77304,P2024,,2024-09-23,1000.00,,Senate TX District 4 Non-federal contr,,,,,,,,,,H,TX,16,,,,,,,,
SB29,C00015552,SB29.16468,,,CAN,,Darby Campaign,Drew,,,,PO Box 3284,,San Angelo,TX,76902,G2024,,2024-09-23,1000.00,,House TX District 72 Non-federal contr,,,,,,,,,,H,TX,72,,,,,,,,
SB29,C00015552,SB29.16466,,,CAN,,Dean for Texas,Jay,,,,3822 Holly Ridge,,Longview,TX,75605,G2024,,2024-09-23,1000.00,,House TX District 7 Non-federal contr.,,,,,,,,,,H,TX,07,,,,,,,,
SB29,C00015552,SB29.16430,,,CAN,,DeAyala Campaign,Mano,,,,12335 Kingsride Lane #416,,Houston,TX,77024,G2024,,2024-09-23,1000.00,,House TX District 133 non-federal contr,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16484,,,CAN,,Fairly for Texas,Caroline,,,,PO Box 20445,,Amarillo,TX,79114,G2024,,2024-09-23,2000.00,,House TX District 87 Non-federal contr,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16517,,,CAN,,Flores,Friends of Pete,,,,1005 Congress Ave Ste 580,,Austin,TX,78701,P2024,,2024-09-23,1000.00,,Senate TX District 24 Non-federal contr.,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16465,,,CAN,,Frank Campaign,James,,,,3808-B Kemp Blvd Ste 321,,Wichita Falls,TX,76308,G2024,,2024-09-23,2000.00,,House TX District 69 Non-federal contr.,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16444,,,CAN,,Gates for Texas,Gary,,,,2205 Ave I,,Rosenberg,TX,77471,G2024,,2024-09-23,1000.00,,House TX District 28 Non-federal contr,,,,,,,,,,H,TX,28,,,,,,,,
SB29,C00015552,SB29.16440,,,CAN,,Gerdes for State Rep,Stan,,,,606 Gresham Street,,Smithville,TX,78957,G2024,,2024-09-23,1000.00,,House TX District 17 Non-federal contr.,,,,,,,,,,H,TX,17,,,,,,,,
SB29,C00015552,SB29.16415,,,CAN,,Geren Campaign,Charlie,,,,PO Box 1440,,Fort Worth,TX,76101,G2024,,2024-09-23,1000.00,,House TX 99th District Non-federal contr,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16473,,,CAN,,Gonzalez Campaign,Mary,,,,PO Box 450,,Clint,TX,79836,G2024,,2024-09-23,1000.00,,House TX District 75 Non-federal contr,,,,,,,,,,H,TX,75,,,,,,,,
SB29,C00015552,SB29.16457,,,CAN,,Goodwin Campaign,Vikki,,,,9901 Brodie Lane Ste 160-315,,Austin,TX,78748,G2024,,2024-09-23,1000.00,,House TX District 47 Non-federal contr,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16453,,,CAN,,Guerra Campaign,Bobby,,,,10213 N 10th St,,McAllen,TX,78504,G2024,,2024-09-23,1000.00,,House TX District 41 Non-federal contr.,,,,,,,,,,H,TX,41,,,,,,,,
SB29,C00015552,SB29.16447,,,CAN,,Guillen Campaign,Ryan,,,,2504 Sable Palm Dr,,Rio Grande City,TX,78582,G2024,,2024-09-23,1000.00,,House TX District 31 Non-federal contr.,,,,,,,,,,H,TX,31,,,,,,,,
SB29,C00015552,SB29.16501,,,CAN,,Gutierrez for Texas Senate,Roland,,,,PO Box 15232,,San Antonio,TX,15232,P2024,,2024-09-23,1000.00,,Senate TX District 19 Non-federal contr.,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16511,,,CAN,,Hagenbuch,Brent,,,,2800 Shoreline Dr. #310,,Denton,TX,76210,G2024,,2024-09-23,1000.00,,Senate TX District 30 Non-federal contr,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16516,,,CAN,,Hancock,Texans for Kelly,,,,PO Box 821349,,North Richland Hil,TX,76182,P2024,,2024-09-23,1000.00,,Senate TX District 9 Non-federal contr,,,,,,,,,,H,TX,09,,,,,,,,
SB29,C00015552,SB29.16460,,,CAN,,Harris for State Rep,Caroline,,,,PO Box 700,,Round Rock,TX,78680,G2024,,2024-09-23,1000.00,,House TX District 52 Non-federal contr,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16475,,,CAN,,Harris for State Rep,Cody,,,,1007 N Mallard St,,Palestine,TX,75801,G2024,,2024-09-23,1000.00,,House TX District 8 Non-federal contr.,,,,,,,,,,H,TX,08,,,,,,,,
SB29,C00015552,SB29.16458,,,CAN,,Hefner for State Rep,Cole,,,,PO Box 167,,Mount Pleasant,TX,75456,G2024,,2024-09-23,1000.00,,House TX District 5 Non-federal contr,,,,,,,,,,H,TX,05,,,,,,,,
SB29,C00015552,SB29.16412,,,CAN,,Hegar Campaign,Glenn,,,,PO Box 1008,,Katy,TX,77492,P2024,,2024-09-23,2500.00,,Comptrolle TX Texas State Comptroller No,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16495,,,CAN,,Hinojosa Campaign,Senator Juan Chuy,,,,1508 S Lone Star Wayh Ste 5B,,Edingburg,TX,78539,G2024,,2024-09-23,1000.00,,Senate TX 20th District Non-federal Cont,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16519,,,CAN,,Huffman,Texans for Joan,,,,3733-1 Westheimer #40,,Houston,TX,77027,G2024,,2024-09-23,1000.00,,Senate TX TX Senate Non-federal contr,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16497,,,CAN,,Hughes for Texas Senate,Bryan,,,,PO Box 450,,Mineola,TX,75773,P2024,,2024-09-23,1000.00,,Senate TX District 1 Non-federal contr,,,,,,,,,,S,TX,01,,,,,,,,
SB29,C00015552,SB29.16436,,,CAN,,Hull for Texas,Lacey,,,,PO Box 19231,,Houston,TX,77224,G2024,,2024-09-23,1000.00,,House TX District 138 Non-federal contr,,,,,,,,,,,,,,,,,,,,
SB29,C00015552,SB29.16448,,,CAN,,Hunter Campaign,Todd,,,,445 Cape Henry,,Corpus Christi,TX,78412,G2024,,2024-09-23,2000.00,,House TX District 32 Non-federal contr.,,,,,,,,,,H,TX,32,,,,,,,,
SB29,C00015552,SB29.16470,,,CAN,,Isaac for Texas,Carrie,,,,100 Commons Road#7-125,,Dripping Springs,TX,78620,G2024,,2024-09-23,1000.00,,House TX District 73 Non-federal contr,,,,,,,,,,,,,,,,,,,,
