form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00072967,SB29.10895,,,PAC,"21st Century St. Louis PAC, Inc.",,,,,,One Metropolitan Square,Suite 1300,St. Louis,MO,63102,,,2023-03-20,2500.00,,State PAC Contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00072967,SB29.10883,,,CCM,Beck for Missouri,,,,,,9426 Brenda Ave,,St Louis,MO,63123,P2024,,2023-03-20,1000.00,,MO State Senate Dist. 1,011,,Beck for Missouri,,Beck,Doug,,,,,,01,,,,,,,,
SB29,C00072967,SB29.10881,,,CCM,Citizens for Callie Carroll,,,,,,PO Box 14432,,Springfield,MO,65814,G2023,,2023-03-16,500.00,,Springfield MO City Council,011,,Citizens for Callie Carroll,,Carroll,Callie,,,,,MO,,,,,,,,,
SB29,C00072967,SB29.10890,,,CCM,Citizens for Rasheen Aldridge,,,,,,1408 Wright St,,St. Louis,MO,63107,G2023,,2023-03-20,1000.00,,St. Louis Alderman Dist. 14,011,,Citizens for Rasheen Aldridge,,Aldridge,Rasheen,,,,,MO,14,,,,,,,,
SB29,C00072967,SB29.10893,,,CCM,Citizens for Shane Cohn,,,,,,PO Box 2656,,St. Louis,MO,63116,G2023,,2023-03-20,500.00,,St. Louis Alderman Dist. 3,011,,,,,,,,,,MO,03,,,,,,,,
SB29,C00072967,SB29.10880,,,CCM,Citizens to Elect Mike Kehoe,,,,,,1100 Town & Country Drive,#6606,Chesterfield,MO,63017,P2024,,2023-03-16,1325.00,,Missouri Governor,011,,Citizens to Elect Mike Kehoe,,Kehoe,Mike,,,,,,,,,,,,,,
SB29,C00072967,SB29.10887,,,CCM,Committee to Elect Michael Browning,,,,,,4431 Oakland Ave,,St. Louis,MO,63110,G2023,,2023-03-20,2600.00,,St. Louis Alderman Dist. 9,011,,Committee to Elect Michael Browning,,Browning,Michael,,,,,MO,09,,,,,,,,
SB29,C00072967,SB29.10892,,,CCM,Daniela Valezquez for Saint Louis,,,,,,4110 Cleveland Ave,,St. Louis,MO,63110,G2023,,2023-03-20,500.00,,St. Louis Alderman Dist. 6,011,,Daniela Valezquez for Saint Louis,,Velazquez,Daniela,,,,,MO,06,,,,,,,,
SB29,C00072967,SB29.10882,,,CCM,Derek Lee for Council,,,,,,PO Box 14545,,Spingfield,MO,65814,G2023,,2023-03-16,500.00,,Springfield MO City Council,011,,Derek Lee for Council,,Lee,Derek,,,,,MO,,,,,,,,,
SB29,C00072967,SB29.10885,,,CCM,"Friends of Joe Vaccaro, Inc.",,,,,,6227 Hancock Ave,,St. Louis,MO,63139,G2023,,2023-03-20,2600.00,,St. Louis Alderman Dist. 4,011,,"Friends of Joe Vaccaro, Inc.",,Vaccaro,Joe,,,,,MO,04,,,,,,,,
SB29,C00072967,SB29.10888,,,CCM,Friends of Tom Oldenburg,,,,,,6366 Murdoch Ave,,St. Louis,MO,63109,G2023,,2023-03-20,1000.00,,St. Louis Alderman Dist. 2,011,,Friends of Tom Oldenburg,,Oldenburg,Tom,,,,,MO,02,,,,,,,,
SB29,C00072967,SB29.10886,,,CCM,JP Mitchom for 7th Ward,,,,,,3680 Blaine Ave,,St. Louis,MO,63110,G2023,,2023-03-20,2600.00,,St. Louis Alderman Dist. 7,011,,JP Mitchom for 7th Ward,,Mitchom,JP,,,,,MO,07,,,,,,,,
SB29,C00072967,SB29.10891,,,CCM,Megan Green for St. Louis,,,,,,3950 Parker Ave,,St. Louis,MO,63116,G2023,,2023-03-20,500.00,,St. Louis Board of Alderman President,011,,Megan Green for St. Louis,,Green,Megan,,,,,MO,,,,,,,,,
SB29,C00072967,SB29.10889,,,CCM,Spencer for Alderman,,,,,,3407 South Jefferson,,St. Louis,MO,63118,G2023,,2023-03-20,1000.00,,St. Louis Alderman Dist. 8,011,,Spencer for Alderman,,Spencer,Cara,,,,,MO,,,,,,,,,
SB29,C00072967,SB29.10884,,,CCM,Tony Kirchner for St. Louis,,,,,,6055 Carlsbad Avenue,,St. Louis,MO,63116,G2023,,2023-03-20,2600.00,,St. Louis Alderman Dist. 1,011,,Tony Kirchner for St. Louis,,Kirchner,Tony,,,,,MO,01,,,,,,,,
