form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00351635,SB29.11117,,,CCM,Citizens to Elect Kyle Koehler,,,,,,4674 Hominy Ridge Rd,"Jerome Koehler, Treasurer",Springfield,OH,45502,P2024,,2024-02-29,500.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00351635,SB29.11110,,,CCM,Demetriou for Ohio,,,,,,"8472 E. Washington Street, Ste 226","Sharon Gingerich, Treasure",Chagrin Falls,OH,44023,P2024,,2024-02-08,500.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00351635,SB29.11118,,,CCM,Donnelly for Supreme Court,,,,,,545 East Town St.,"John Castele, Treasurer",Columbus,OH,43215,P2024,,2024-02-01,5000.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00351635,SB29.11116,,,CCM,Friends of Bride Rose Sweeney,,,,,,23993 Fairlawn Dr.,"Chris Glassburn, Treasurer",North Olmsted,OH,44070,P2024,,2024-02-29,250.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00351635,SB29.11112,,,CCM,Friends of Jerry Cirino,,,,,,8075 North Orchard Road,"Beverly Vitaz, Treasurer",Concord,OH,44077,P2024,,2024-02-08,500.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00351635,SB29.11120,,,CCM,Friends of John Eklund,,,,,,12040 Burlington Glen Drive,"Greg Schmidt, Treasurer",Chardon,OH,44024,P2024,,2024-02-14,1000.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00351635,SB29.11113,,,CCM,Friends of Nick Santucci,,,,,,535 Avalon Drive SE,"Dominic Carlini, Treasurer",Warren,OH,44484,P2024,,2024-02-08,500.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00351635,SB29.11114,,,CCM,Friends of Tom Patton,,,,,,17157 Rabbit Run Drive,"Peter Corrigan, Treasurer",Strongsville,OH,44136,P2024,,2024-02-08,500.00,,,,,,,,,,,,,OH,,,,,,,,,
SB29,C00351635,SB29.11119,,,CCM,Friends to Elect Terrence Upchurch,,,,,,1426 Clearaire Road,"Nicholas Rouse, Treasurer","Cleveland,",OH,44110,P2024,,2024-02-20,1000.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00351635,SB29.11115,,,CCM,LaRe for Ohio,,,,,,4679 Winterset Drive,"Susan Jones, Treasurer",Columbus,OH,43220,P2024,,2024-02-29,350.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00351635,SB29.11109,,,CCM,Matt Huffman for Ohio,,,,,,4679 Winterset Drive,"J. Yuskewich, Treasurer",Columbus,OH,43220,P2024,,2024-02-08,2500.00,,,,,,,,,,,,,,,,,,,,,,
SB29,C00351635,SB29.11121,,,PTY,Republican Senate Campaign Committee,,,,,,4679 Winterset Drive,"Matthew Yuskewich, Treasurer",Columbus,OH,43220,,,2024-02-20,5000.00,,,,,,,,,,,,,,,,,,,,,,
