form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB22,C00858373,SB22.I6462,,,CCM,MIKE JOHNSON FOR LOUSIANA,,,,,,C/O 228 S WASHINGTON ST,STE 115,ALEXANDRIA,VA,22314,G2024,,2024-07-05,33895.92,,DISTRIBUTION OF NET JFC PROCEEDS,,C00608695,,H6LA04138,JOHNSON,JAMES,MICHAEL,,,H,LA,04,  ,,,,,,,
SB22,C00858373,SB22.I6463,,,CCM,MIKE JOHNSON FOR LOUSIANA,,,,,,C/O 228 S WASHINGTON ST,STE 115,ALEXANDRIA,VA,22314,P2024,,2024-07-05,41215.24,,DISTRIBUTION OF NET JFC PROCEEDS,,C00608695,,H6LA04138,JOHNSON,JAMES,MICHAEL,,,H,LA,04,  ,,,,,,,
SB22,C00858373,SB22.I6465,,,CCM,MIKE JOHNSON FOR LOUSIANA,,,,,,C/O 228 S WASHINGTON ST,STE 115,ALEXANDRIA,VA,22314,P2024,,2024-07-31,250.00,,DISTRIBUTION OF NET JFC PROCEEDS,,C00608695,,H6LA04138,JOHNSON,JAMES,MICHAEL,,,H,LA,04,  ,,,,,,,
SB22,C00858373,SB22.I6464,,,CCM,MONICA FOR CONGRESS,,,,,,1317 W FRONTAGE RD,STE A,ALAMO,TX,78516,G2024,,2024-07-31,31037.54,,DISTRIBUTION OF NET JFC PROCEEDS,,C00765719,,H0TX15124,DE LA CRUZ,MONICA,,,,H,TX,15,  ,,,,,,,
SB22,C00858373,SB22.I6357,,,PAC,AMERICAN REVIVAL PAC,,,,,,C/O 228 S WASHINGTON ST,STE 115,ALEXANDRIA,VA,22314,,,2024-07-31,67209.62,,DISTRIBUTION OF NET JFC PROCEEDS,,C00639229,,,,,,,,,,,  ,,,,,,,
SB22,C00858373,SB22.I6482,,,PTY,NRCC,,,,,,320 1ST ST SE,,WASHINGTON,DC,20003,,,2024-07-31,242427.57,,DISTRIBUTION OF NET JFC PROCEEDS,,C00075820,,,,,,,,,,,  ,,,,,,,
SB22,C00858373,SB22.I6486,,,PTY,NRCC,,,,,,320 1ST ST SE,,WASHINGTON,DC,20003,,,2024-07-31,238408.17,,BLDG-DISTRIBUTION OF NET JFC PROCEEDS,,C00075820,,,,,,,,,,,  ,,,,,,,
SB22,C00858373,SB22.I6490,,,PTY,NRCC,,,,,,320 1ST ST SE,,WASHINGTON,DC,20003,,,2024-07-31,54293.03,,LEGAL-DISTRIBUTION OF NET JFC PROCEEDS,,C00075820,,,,,,,,,,,  ,,,,,,,
SB22,C00858373,SB22.I6495,,,PTY,OHIO REPUBLICAN PARTY,,,,,,211 S FIFTH STREET,,COLUMBUS,OH,43215,,,2024-08-23,14249.03,,REPLACES 6/28/24 LOST CHECK,,C00162339,,,,,,,,,,,  ,,,,,,,
SB22,C00858373,SB22.I6496,,,PTY,OHIO REPUBLICAN PARTY,,,,,,211 S FIFTH STREET,,COLUMBUS,OH,43215,,,2024-08-23,-14249.03,,VOID LOST CHECK ISSUED 6/28/24,,C00162339,,,,,,,,,,,  ,,,,,,,
SB22,C00858373,SB22.I6466,,,CCM,MIKE JOHNSON FOR LOUSIANA,,,,,,C/O 228 S WASHINGTON ST,STE 115,ALEXANDRIA,VA,22314,G2024,,2024-08-31,89106.59,,DISTRIBUTION OF NET JFC PROCEEDS,,C00608695,,H6LA04138,JOHNSON,JAMES,MICHAEL,,,H,LA,04,  ,,,,,,,
SB22,C00858373,SB22.I6358,,,PAC,AMERICAN REVIVAL PAC,,,,,,C/O 228 S WASHINGTON ST,STE 115,ALEXANDRIA,VA,22314,,,2024-08-31,153302.27,,DISTRIBUTION OF NET JFC PROCEEDS,,C00639229,,,,,,,,,,,  ,,,,,,,
SB22,C00858373,SB22.I6483,,,PTY,NRCC,,,,,,320 1ST ST SE,,WASHINGTON,DC,20003,,,2024-08-31,606355.68,,DISTRIBUTION OF NET JFC PROCEEDS,,C00075820,,,,,,,,,,,  ,,,,,,,
SB22,C00858373,SB22.I6487,,,PTY,NRCC,,,,,,320 1ST ST SE,,WASHINGTON,DC,20003,,,2024-08-31,150140.41,,BLDG-DISTRIBUTION OF NET JFC PROCEEDS,,C00075820,,,,,,,,,,,  ,,,,,,,
SB22,C00858373,SB22.I6508,,,PTY,REPUBLICAN FED CMTE OF PENNSYLVANIA,,,,,,3501 NORTH FRONT STREET STE 200,,HARRISBURG,PA,17110,,,2024-09-26,-19462.32,,VOID CHECK ISSUED 6/28/24,,C00044842,,,,,,,,,,,  ,,,,,,,
