form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00001636,SB29.89283,,,COM,Aisha M. Farooqi for State Representative,,,,,,P.o. Box #7,,Sterling Heights,MI,48311,G2024,,2024-09-09,500.00,,"House, MI, 57 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.89378,,,COM,Andrea Katz for Assembly,,,,,,P.O. Box 290,,Marlton,NJ,08053,P2025,,2024-09-23,1000.00,,"Assembly, NJ, 8 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.89346,,,COM,Andrew Lanza for Staten Island,,,,,,P.O. Box 352,,Staten Island,NY,10308,G2024,,2024-09-19,500.00,,"Senate, NY, 24 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.89475,,,COM,Aricka Ulery for Peru,,,,,,451 W. Main St.,,Peru,IN,46970,G2027,,2024-09-26,200.00,,"City Council, IN, 1 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.89318,,,COM,Ashlee Matthews for Utah,,,,,,4987 W 6515 S,,West Jordan,UT,84081,G2024,,2024-09-19,250.00,,"House, UT, 37 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.89465,,,COM,Assembly Democratic Campaign Committee,,,,,,Po Box 814,,Madison,WI,53701,G2024,,2024-09-26,3500.00,,"CTE House Democrats, WI",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.89381,,,COM,Bailey for Assembly,,,,,,P.O. Box 3540,,Cherry Hill,NJ,08034,P2025,,2024-09-23,500.00,,"Assembly, NJ, 3 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.89397,,,COM,Boulton for Senate,,,,,,3127 Thompson Avenue,,Des Moines,IA,50317,G2024,,2024-09-23,400.00,,"Senate, IA, 20 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.89412,,,CAN,,Cahill,Sue,,,,1500 Lincoln Towers Circle Ll1,,Marshalltown,IA,50158,G2024,,2024-09-23,200.00,,"House, IA, 52 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.89449,,,COM,Campaign to Elect James Hoops,,,,,,195 Old Creek Drive,,Napoleon,OH,43545,G2024,,2024-09-23,300.00,,"House, OH, 81 dst",,,,,,,,,,,,,,,,,,,,
