form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00752691,500727481,,,ORG,"Futuristic Films, Inc.",,,,,,2930 Larimer St,,Denver,CO,802052309,G2024,,2024-09-11,1500.00,2024-11-12,27463.54,Advertising Production,004,,S,S8NV00156,ROSEN,JACKY,,,,S,,NV,Madras,Andrew,,,,2025-01-31,
SE,C00752691,500716622,,,ORG,The New Media Firm,,,,,,1730 Rhode Island Ave NW,Ste 213,Washington,DC,200363118,G2024,,2024-10-17,24645.70,2024-10-18,12714563.39,Advertising Production,004,,S,P00009423,HARRIS,KAMALA,,,,P,,US,Madras,Andrew,,,,2025-01-31,
SE,C00752691,500716623,,,ORG,The New Media Firm,,,,,,1730 Rhode Island Ave NW,Ste 213,Washington,DC,200363118,G2024,,2024-10-17,650288.49,2024-10-18,12714563.39,Digital Advertising,004,,S,P00009423,HARRIS,KAMALA,,,,P,,US,Madras,Andrew,,,,2025-01-31,
SE,C00752691,500717263,,,ORG,The New Media Firm,,,,,,1730 Rhode Island Ave NW,Ste 213,Washington,DC,200363118,G2024,,2024-10-18,200000.00,2024-10-18,1396055.15,Digital Advertising,004,,S,S2WI00219,BALDWIN,TAMMY,,,,S,,WI,Madras,Andrew,,,,2025-01-31,
SE,C00752691,500723861,,,ORG,The New Media Firm,,,,,,1730 Rhode Island Ave NW,Ste 213,Washington,DC,200363118,G2024,,2024-10-27,500309.98,2024-10-18,12714563.39,Digital Advertising,004,,S,P00009423,HARRIS,KAMALA,,,,P,,US,Madras,Andrew,,,,2025-01-31,
SE,C00752691,500724805,,,ORG,The New Media Firm,,,,,,1730 Rhode Island Ave NW,Ste 213,Washington,DC,200363118,G2024,,2024-10-30,1763106.12,2024-10-18,12714563.39,Digital Advertising,004,,S,P00009423,HARRIS,KAMALA,,,,P,,US,Madras,Andrew,,,,2025-01-31,
SE,C00752691,500724806,,,ORG,The New Media Firm,,,,,,1730 Rhode Island Ave NW,Ste 213,Washington,DC,200363118,G2024,,2024-10-30,14679.75,2024-10-21,12714563.39,Advertising Production,004,,S,P00009423,HARRIS,KAMALA,,,,P,,US,Madras,Andrew,,,,2025-01-31,
SE,C00752691,500724807,,,ORG,The New Media Firm,,,,,,1730 Rhode Island Ave NW,Ste 213,Washington,DC,200363118,G2024,,2024-10-31,1087630.40,2024-10-21,12714563.39,Digital Advertising,004,,S,P00009423,HARRIS,KAMALA,,,,P,,US,Madras,Andrew,,,,2025-01-31,
