form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00340364,EB30649,,,CCM,Bera for Congress,,,,,,"233 Pennsylvania Avenue, SE",Floor 2,Washington,DC,20003,P2024,,2023-09-01,2500.00,,,011,C00461061,Bera for Congress,,Bera,Ami,,,,H,CA,07,,,,,,,,
SB23,C00340364,EB30650,,,CCM,Defend the Dream PAC,,,,,,"777 S. Figueroa Street, Suite 4050",,Los Angeles,CA,90017,P2028,,2023-09-01,5000.00,,,011,C00771238,Defend the Dream PAC,,Padilla,Alex,,,,S,CA,,,,,,,,,
SB23,C00340364,EB30651,,,COM,DCCC,,,,,,430 South Capitol Street SE,,Washington,DC,20003,,,2023-09-29,5000.00,,,011,C00000935,DCCC,,,,,,,,,,,,,,,,,
SB23,C00340364,EB30652,,,CCM,Jim Costa for Congress,,,,,,"2037 W Bullard Ave, #355",,Fresno,CA,93711,P2024,,2023-09-29,2500.00,,,011,C00391029,Jim Costa for Congress,,Costa,Jim,,,,H,CA,21,,,,,,,,
SB23,C00340364,EB30658,,,CCM,Jimmy Panetta for Congress,,,,,,PO Box 103,,Carmel Valley,CA,93924,P2024,,2023-09-29,5000.00,,,011,C00592154,Jimmy Panetta for Congress,,Panetta,Jimmy,,,,,CA,20,,,,,,,,
SB23,C00340364,EB30654,,,CCM,Kevin McCarthy for Congress,,,,,,PO Box 30844,,Bethesda,MD,20824,P2024,,2023-09-29,5000.00,,,011,C00420935,Kevin McCarthy for Congress,,McCarthy,Kevin,,,,H,CA,20,,,,,,,,
SB23,C00340364,EB30657,,,COM,Kevin Mullin for Congress,,,,,,PO Box 5486,,South San Francisco,CA,94083,P2024,,2023-09-29,2500.00,,,011,C00795005,Kevin Mullin for Congress,,Mullin,Kevin,,,,H,CA,15,,,,,,,,
SB23,C00340364,EB30655,,,CCM,Pallone for Congress,,,,,,PO Box 3176,,Long Branch,NJ,07740,P2024,,2023-09-29,1000.00,,,011,C00226928,Pallone for Congress,,Pallone,Frank,,,,H,NJ,06,,,,,,,,
SB23,C00340364,EB30656,,,CCM,Ted Lieu for Congress,,,,,,"777 S. Figueroa Street, Suite 4050",,Los Angeles,CA,90017,P2024,,2023-09-29,2500.00,,,011,C00556506,Ted Lieu for Congress,,Lieu,Ted,,,,H,CA,33,,,,,,,,
SB23,C00340364,EB30653,,,CCM,Valadao for Congress,,,,,,"5132 North Palm Avenue, #227",,Fresno,CA,93704,P2024,,2023-09-29,5000.00,,,011,C00499392,Valadao for Congress,,Valadao,David,,,,H,CA,21,,,,,,,,
