form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00707232,500513345,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-15,42.96,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513346,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-15,57.41,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513347,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-15,5.92,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513348,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-15,37.32,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513349,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-15,23.50,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513350,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-15,47.95,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513351,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-15,26.42,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513352,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-23,11.32,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513353,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-23,27.45,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513354,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-26,25.93,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513355,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-26,20.15,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513356,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-26,16.76,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513357,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-26,20.32,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513358,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-29,27.44,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513359,,,ORG,Uber Technologies Inc,,,,,,555 Market St,,San Francisco,CA,941052800,,,2024-07-29,29.38,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00707232,500513360,,,ORG,United Airlines,,,,,,PO Box 6649,,Chicago,IL,606060649,,,2024-07-15,333.47,0.00,Travel,,,,,,,,,,,,,,,,,,,,
