form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00010470,B875946,,,PAC,Union Pacific Corp FFEG MO Federal Cmteee,,,,,,600 Broadway Suite 500,,Kansas City,MO,64105,O2024,Not Applicable,2024-06-17,14000.00,,State PAC,011,,,,,,,,,,, ,,,,,,,,
SB29,C00010470,B869553,,,CCM,Walle for State Rep Dist 140,,,,,,P.O. Box 16101,,Houston,TX,77222,G2024,,2024-06-13,-2000.00,,G-2024 State House 140 TX,011,,,,Walle,Armando,,,,H,TX,14,,,,,,,,Voided: Original check dated 04/08/2024
SB29,C00010470,B875974,,,CCM,Walle for State Rep Dist 140,,,,,,P.O. Box 16101,,Houston,TX,77222,G2024,,2024-06-17,2000.00,,G-2024 State House 140 TX,011,,,,Walle,Armando,,,,H,TX,14,,,,,,,,
SB29,C00010470,B869535,,,CCM,Jarvis Johnson for Texas Campaign,,,,,,P.O. Box 16600,,Houston,TX,77222,O2024,Runoff Primary,2024-06-28,-3000.00,,O-2024 State Senate 15 TX,011,,,,Johnson,Jarvis,,,,S,TX,15,,,,,,,,Voided: Original check dated 04/08/2024
SB29,C00010470,B869548,,,CCM,John Kuempel Campaign,,,,,,902 E. College St.,,Seguin,TX,78155,O2024,Runoff Primary,2024-06-28,-2000.00,,O-2024 State House 44 TX,011,,,,Kuempel,John,,,,H,TX,44,,,,,,,,Voided: Original check dated 04/08/2024
