form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00001636,SB29.73475,,,COM,Aricka Ulery for Peru,,,,,,451 W. Main St.,,Peru,IN,46970,G2023,,2023-10-19,200.00,,"City Council, IN, 1 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73448,,,COM,Bill Moen for Assembly,,,,,,P.o. Box 1003,,Camden,NJ,08101,G2023,,2023-10-16,500.00,,"NJ Assembly, NJ, 5 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73504,,,COM,Campaign to elect Dennis Sanok,,,,,,4751 S Ebony Ave,,Taylorsville,UT,84123,G2023,,2023-10-26,200.00,,"Taylorsville City Council, UT, 1 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73484,,,COM,Citizens for Chuck,,,,,,2673 Scott St.,,Portage,IN,46368,G2024,,2023-10-19,500.00,,"House, IN, 10 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73413,,,COM,Citizens for Fred Crespo,,,,,,P.O. Box 95628,,Hoffman Estates,IL,60195,P2024,,2023-10-10,250.00,,"House, IL, 44 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73412,,,COM,"Citizens for Marcus C. Evans, Jr.",,,,,,P.O. Box 641514,,Chicago,IL,60664,P2024,,2023-10-10,500.00,,"House, IL, 33 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73474,,,COM,Coffman for Beech Grove,,,,,,332 Timber Grove Way,,Beech Grove,IN,46107,G2023,,2023-10-19,500.00,,"Mayor, IN",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73430,,,COM,Committee for Natalie Toro,,,,,,2935 N Dawson Ave.,Apt 1s,Chicago,IL,60618,P2024,,2023-10-10,250.00,,"Senate, IL, 20 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73471,,,COM,Committee to Elect Brett Hillyer,,,,,,201 N Main Street,,Ulrichsville,OH,44683,G2024,,2023-10-19,1000.00,,"House, OH, 51 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73477,,,COM,Committee to Elect Campbell,,,,,,818 Barlow St.,,West Lafayette,IN,47906,G2024,,2023-10-19,250.00,,"House, IN, 26 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73476,,,COM,Committee to Elect Mitch Gore,,,,,,2343 Whispering Dr.,,Indianapolis,IN,46239,G2024,,2023-10-19,800.00,,"House, IN, 89 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73493,,,COM,Committee to Elect Molly Jones,,,,,,2285 Hannibal St,,Salt Lake City,UT,84106,G2023,,2023-10-23,200.00,,"Salt Lake City Council, UT, 7 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73498,,,COM,Committee to Elect Scott Hilton,,,,,,5425 Peachtree Pkwy Nw,,Peachtree Corners,GA,30092,P2024,,2023-10-26,300.00,,"House, FL, 48 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73500,,,COM,Committee to Elect Steven Sainz,,,,,,2712 Osborne Rd,,St. Mary's,GA,31558,P2025,,2023-10-26,200.00,,"House, GA, 180 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73458,,,COM,Committee to elect Taylor Knuth for Mayor,,,,,,P.O. Box 6208,,Ogden,UT,84404,G2023,,2023-10-16,200.00,,"Ogden City Mayoral race, UT",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73442,,,COM,DeAngelo for Assembly,,,,,,C/o Worldwide Consultants & Associ,"195 Paterson Ave, Suite #5",Little Falls,NJ,07424,G2023,,2023-10-16,350.00,,"NJ Assembly, NJ, 14 dst",,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73436,,,PTY,Democratic Party of Illinois,,,,,,P.O. Box 641466,,Chicago,IL,60664,P2024,,2023-10-16,1000.00,,Democratic Party of Illinois,,,,,,,,,,,,,,,,,,,,
SB29,C00001636,SB29.73450,,,COM,EFO Senator Nilsa Cruz-Perez,,,,,,P.O. box 1003,,Camden,NJ,08101,G2023,,2023-10-16,750.00,,"NJ State Senate, NJ, 5 dst",,,,,,,,,,,,,,,,,,,,
