form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00481309,SB29.17768,,,CCM,Abrams for Ohio,,,,,,92 Fawn Drive,,Harrison,OH,45030,G2024,,2024-10-03,1000.00,,Non-Federal Campaign Contribution,,,Abrams for Ohio,,Abrams,Cindy,,,,,,,,,,,,,,
SB29,C00481309,SB29.17769,,,CCM,Adam Holmes for Ohio,,,,,,4679 Winterset Drive,,Columbus,OH,43220,G2024,,2024-10-03,1000.00,,Non-Federal Campaign Contribution,,,Adam Holmes for Ohio,,Holmes,Adam,,,,,,,,,,,,,,
SB29,C00481309,SB29.17784,,,CCM,Citizens for Blessing,,,,,,3378 Dolomar Drive,,Cincinnati,OH,45239,G2024,,2024-10-14,1000.00,,Non-Federal Campaign Contribution,,,Citizens for Blessing,,Blessing,Bill,,,,,,,,,,,,,,
SB29,C00481309,SB29.17782,,,CCM,Citizens for Gavarone,,,,,,1537 Cedar Lane,,Bowling Green,OH,43402,G2024,,2024-10-14,1000.00,,Non-Federal Campaign Contribution,,,Citizens for Gavarone,,Gavarone,Theresa,,,,,,,,,,,,,,
SB29,C00481309,SB29.17789,,,CCM,Citizens for O'Brien (Sandra),,,,,,3434 Stumpville Road,,Rome,OH,44085,G2024,,2024-10-14,500.00,,Non-Federal Campaign Contribution,,,Citizens for O'Brien (Sandra),,O'Brien,Sandra,,,,,,,,,,,,,,
SB29,C00481309,SB29.17729,,,CCM,Citizens for Troy,,,,,,7690 Thorntail Court,,Concord Township,OH,44077,G2024,,2024-10-03,1000.00,,Non-Federal Campaign Contribution,,,Citizens for Troy,,Troy,Dan,,,,,,,,,,,,,,
SB29,C00481309,SB29.17727,,,CCM,Citizens to elect Allison Russo,,,,,,545 E. Town Street,,Columbus,OH,43215,G2024,,2024-10-03,3500.00,,Non-Federal Campaign Contribution,,,Citizens to elect Allison Russo,,Russo,Allison,,,,,,,,,,,,,,
SB29,C00481309,SB29.17759,,,CCM,Committee to Elect Bill Roemer,,,,,,3616 Southern Road,,Richfield,OH,44286,G2024,,2024-10-03,1000.00,,Non-Federal Campaign Contribution,,,Committee to Elect Bill Roemer,,Roemer,Bill,,,,,,,,,,,,,,
SB29,C00481309,SB29.17750,,,CCM,Committee to Elect Melanie Miller,,,,,,208 N. Countryside Drive,,Ashland,OH,44805,G2024,,2024-10-03,1000.00,,Non-Federal Campaign Contribution,,,Committee to Elect Melanie Miller,,Miller,Melanie,,,,,,,,,,,,,,
SB29,C00481309,SB29.17761,,,CCM,Demetriou for Ohio,,,,,,8472 E. Washington St. Ste. 226,,Chagrin Falls,OH,44023,G2024,,2024-10-03,1000.00,,Non-Federal Campaign Contribution,,,Demetriou for Ohio,,Demetriou,Steve,,,,,,,,,,,,,,
