form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00125534,SB29.8122,,,COM,American Representative Majority,,,,,,P.O. Box 8899,,Trenton,NJ,08650,,,2023-09-12,3500.00,,Fundraiser,003,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8129,,,COM,American Representative Majority,,,,,,P.O. Box 8899,,Trenton,NJ,08650,,,2023-09-25,3500.00,,Fundraiser,003,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8111,,,COM,Atlantic & Cape May County CLC C.O.P.E.,,,,,,P.O. Box 1118,,Hammonton,NJ,08037,,,2023-08-09,2750.00,,Fundraiser,003,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8200,,,COM,Bill Moen for Assembly,,,,,,P.O. Box 1003,,Camden,NJ,08101,,,2023-10-17,1000.00,,Bill Moen; NJ Assemblyman for 5th district,011,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8139,,,PAC,BLUE POWER PAC,,,,,,PO BOX 8846,,COLLINGSWOOD,NJ,08108,,,2023-11-28,5000.00,,Fundraiser,003,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8206,,,CCM,Brian McLaughlin for Judge,,,,,,9406 Tulip Street,,Philadelphia,PA,19114,,,2023-10-26,500.00,,Brian McLaughlin; Philadelphia Court of Common Pleas Judge,011,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8133,,,CCM,BUCKS COUNTY DEMOCRATIC COMMITTEE,,,,,,44 E. COURT STREET,,DOYLESTOWN,PA,18940,,,2023-10-17,2500.00,,Fundraiser,003,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8116,,,COM,Bucks County Victory Fund,,,,,,115 North Broad Street,,Doylestown,PA,18901,,,2023-08-29,500.00,,Fundraiser,003,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8106,,,COM,Bucks United,,,,,,346 Stratton Court,,Langhorne,PA,19047,,,2023-07-18,1500.00,,Fundraiser,003,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8115,,,COM,Bucks United,,,,,,346 Stratton Court,,Langhorne,PA,19047,,,2023-08-15,1000.00,,Fundraiser,003,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8141,,,COM,Bucks United,,,,,,346 Stratton Court,,Langhorne,PA,19047,,,2023-12-12,500.00,,Fundraiser,003,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8279,,,COM,Burlington County Democratic Committee,,,,,,P.O Box 2190,,Cinnaminson,NJ,08077,,,2023-08-29,1000.00,,Fundraiser,011,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8128,,,COM,Burlington County Democratic Committee,,,,,,P.O Box 2190,,Cinnaminson,NJ,08077,,,2023-09-25,4000.00,,Fundraiser,003,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8182,,,COM,Burzichelli for Senate,,,,,,521 Swedesboro Road,,Gibbstown,NJ,08027,,,2023-09-25,1500.00,,John Burzichelli; NJ state senator for 3rd district,011,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8188,,,CCM,Citizens for Hughes,,,,,,P.O. Box 13031,,Philadelphia,PA,19101,,,2023-09-25,1000.00,,Vincent Hughes; PA State senator for 7th district,011,,,,,,,,,S,PA,07,,,,,,,,
SB29,C00125534,SB29.8169,,,COM,Citizens for Isaiah Thomas,,,,,,2008 Chestnut Street,,Philadelphia,PA,19103,,,2023-09-12,500.00,,Isaiah Thomas; City of Philadelphia Council-at-Large,011,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8160,,,COM,Cody Miller for Assembly,,,,,,P.O. Box 1368,,Blackwood,NJ,08012,,,2023-08-29,500.00,,Cody Miller; NJ Assemblyman for 4th district,011,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8212,,,COM,Committee to Elect Bethany Hall Long,,,,,,P.O. Box 1183,,Middletown,DE,19709,,,2023-11-28,1200.00,,Bethany Hall-Long; Lieutenant Governor of Delaware,011,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8147,,,PAC,Committee to Elect Joseph DiGirolamo,,,,,,SEVEN NESHAMINY INTERPLEX,SUITE 200,TREVOSE,PA,19053,,,2023-08-15,2000.00,,Joseph DiGirolamo; Mayor of Bensalem,011,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8216,,,COM,Committee to Elect Ryan Bizzarro,,,,,,P.O. Box 8750,,Erie,PA,16505,,,2023-12-12,2500.00,,Ryan Bizzarro; PA treasurer,011,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8132,,,COM,Concerned Citizens of Pennsylvania,,,,,,7028 Brentwood Road,,Philadelphia,PA,19151,,,2023-10-17,500.00,,Fundraiser,003,,,,,,,,,,,,,,,,,,,
SB29,C00125534,SB29.8163,,,CCM,DeAngelo for Assembly,,,,,,105 Limewood Drive,,Hamilton,NJ,08690,,,2023-08-29,1000.00,,Wayne P. DeAngelo; NJ Assemblyman for 14th district,011,,,,,,,,,H,NJ,14,,,,,,,,
SB29,C00125534,SB29.8172,,,CCM,DeAngelo for Assembly,,,,,,105 Limewood Drive,,Hamilton,NJ,08690,,,2023-09-12,1000.00,,Wayne P. DeAngelo; NJ Assemblyman for 14th district,011,,,,,,,,,H,NJ,14,,,,,,,,
