form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00323048,C5490280E0EAFF8B54A,,,CCM,Curtis For Congress,,,,,,PO Box 296,,Provo,UT,84603,C2024,,2023-10-16,1000.00,,2024 Convention,011,C00647339,,H8UT03238,Curtis,John,R.,,,H,UT,03,,,,,,,,
SB23,C00323048,V1F7390A00EE30B7CDC4,,,ORG,IAO Property Holdings LLC,,,,,,27 D Street SE,,Washington,DC,20003,C2024,,2023-10-31,140.00,,In-Kind; C00238865; Friends of Rosa DeLauro; Reception Space,011,C00238865,Friends of Rosa DeLauro,H0CT03072,DeLauro,Rosa,L.,,,H,CT,03,,,,,,,,In-Kind
SB23,C00323048,V21AC23A4CB0D83C9885,,,ORG,IAO Property Holdings LLC,,,,,,27 D Street SE,,Washington,DC,20003,P2024,,2023-10-31,90.00,,In-Kind; C00462861; Kuster for Congress; Conference Space,011,C00462861,"Kuster For Congress, Inc",H0NH02181,Kuster,Ann,McLane,,,H,NH,02,,,,,,,,In-Kind
SB23,C00323048,V2963C610ADB8C746D55,,,ORG,IAO Property Holdings LLC,,,,,,27 D Street SE,,Washington,DC,20003,P2024,,2023-10-31,90.00,,In-Kind; C00514893; People for Derek Kilmer; Basement Space,011,C00514893,People For Derek Kilmer,H2WA06129,Kilmer,Derek,,,,H,WA,06,,,,,,,,In-Kind
SB23,C00323048,V4CD1B6DF377E152124A,,,ORG,IAO Property Holdings LLC,,,,,,27 D Street SE,,Washington,DC,20003,P2024,,2023-10-31,90.00,,In-Kind; C00640003; Mikie Sherrill for Congress; Conference Space,011,C00640003,Mikie Sherrill For Congress,H8NJ11142,Sherrill,Mikie,,,,H,NJ,11,,,,,,,,In-Kind
SB23,C00323048,V5D8CFE9B7CD0D4C091B,,,ORG,IAO Property Holdings LLC,,,,,,27 D Street SE,,Washington,DC,20003,P2024,,2023-10-31,140.00,,In-Kind; C00499947; Friends of Dan Kildee; Reception Space,011,C00499947,Friends Of Dan Kildee,H2MI05119,Kildee,Daniel,Timothy,,,H,MI,08,,,,,,,,In-Kind
SB23,C00323048,VDD59A2FBE5F10D97083,,,ORG,IAO Property Holdings LLC,,,,,,27 D Street SE,,Washington,DC,20003,P2024,,2023-10-31,90.00,,In-Kind; C00592154; Jimmy Panetta for Congress; Basement Space,011,C00592154,Jimmy Panetta For Congress,H6CA20152,Panetta,James,V.,,,H,CA,19,,,,,,,,In-Kind
SB23,C00323048,VFEBF0A20F634939BCA7,,,ORG,IAO Property Holdings LLC,,,,,,27 D Street SE,,Washington,DC,20003,P2024,,2023-10-31,90.00,,In-Kind; C00575209; Angie Craig for Congress; Conference Space,011,C00575209,Angie Craig For Congress,H6MN02131,Craig,Angela,Dawn,,,H,MN,02,,,,,,,,In-Kind
SB23,C00323048,69EA997D7369D39992A,,,CCM,Jimmy Panetta For Congress,,,,,,PO Box 103,,Carmel Valley,CA,93924,P2024,,2023-10-16,1000.00,,2024 Primary,011,C00592154,,H6CA20152,Panetta,James,V.,,,H,CA,19,,,,,,,,
SB23,C00323048,EA0092210F48B534861,,,CCM,Max Miller For Congress,,,,,,19525 Hilliard Blvd,Unit 16010,Rocky River,OH,44116,P2024,,2023-10-30,2500.00,,2024 Primary,011,C00770818,,H2OH16051,Miller,Max,,,,H,OH,07,,,,,,,,
