form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00849042,SB21B.4213,,,ORG,Google,,,,,,1600 Ampitheatre Pkwy,,Mountainview,CA,94043,,,2024-05-29,500.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4215,,,ORG,Google,,,,,,1600 Ampitheatre Pkwy,,Mountainview,CA,94043,,,2024-05-30,500.00,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4220,,,ORG,Google,,,,,,1600 Ampitheatre Pkwy,,Mountainview,CA,94043,,,2024-06-03,53.60,,Nonfederal Digital Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4210,,,ORG,iDigital Outdoor & Media,,,,,,3235 Oak Ridge Loop E,,West Fargo,ND,58078,,,2024-05-28,7057.10,,Nonfederal Billboard Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4221,,,ORG,Mobilize the Message,,,,,,490 Hanover Port Ln,,Ft Walton Beach,FL,32547,,,2024-06-03,108778.85,,Nonfederal Canvassing,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4188,,,ORG,Newman Outdoor Advertising,,,,,,PO Box 1728,,Jamestown,ND,58404,,,2024-04-24,2300.00,,Nonfederal Outdoor Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4181,,,ORG,PAC Management Services LLC,,,,,,441 N Lee St,Ste 100,Alexandria,VA,22314,,,2024-04-03,350.00,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4189,,,ORG,PAC Management Services LLC,,,,,,441 N Lee St,Ste 100,Alexandria,VA,22314,,,2024-05-02,437.50,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4225,,,ORG,PAC Management Services LLC,,,,,,441 N Lee St,Ste 100,Alexandria,VA,22314,,,2024-06-05,262.50,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4199,,,ORG,Tri M Graphics,,,,,,625 E Main St,,Owatonna,MN,55060,,,2024-05-13,40000.00,,Nonfederal Mail,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4217,,,ORG,Tri M Graphics,,,,,,625 E Main St,,Owatonna,MN,55060,,,2024-05-31,23000.00,,Nonfederal Mail,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4228,,,ORG,Tri M Graphics,,,,,,625 E Main St,,Owatonna,MN,55060,,,2024-06-07,590.49,,Nonfederal Mail,,,,,,,,,,,,,,,,,,,,
SB21B,C00849042,SB21B.4196,,,ORG,USPS,,,,,,220 E Rosser Ave,,Bismarck,ND,58501,,,2024-05-10,400.00,,Postage,,,,,,,,,,,,,,,,,,,,
