form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00078451,89114572,,,COM,Friends of Derek Mallow,,,,,,PO Box 14034,,Savannah,GA,31416,,,2024-09-04,1000.00,0.00,"Derek Mallow, STATE HOUSE 163rd GA",011,,,,Mallow,Derek,,GA Rep.,,,,,,,,,,,,"Derek Mallow, STATE HOUSE 163rd GA"
SB29,C00078451,89114573,,,COM,"Ben Watson for Senate, Inc.",,,,,,100 Riverview Drive,,Savannah,GA,31402,,,2024-09-04,1000.00,0.00,"Ben Watson, STATE SENATE 1st GA",011,,,,Watson,Ben,,GA Sen.,,,,,,,,,,,,"Ben Watson, STATE SENATE 1st GA"
SB29,C00078451,89114574,,,COM,Committee to Elect Jason Anavitarte,,,,,,316 Blackberry Run Drive,,Dallas,GA,30132,,,2024-09-04,1000.00,0.00,"Jason Anavitarte, STATE SENATE 31st GA",011,,,,Anavitarte,Jason,,GA Sen.,,,,,,,,,,,,"Jason Anavitarte, STATE SENATE 31st GA"
SB29,C00078451,89114575,,,COM,Albers for Senate,,,,,,421-C State Capitol,,Atlanta,GA,30334,,,2024-09-04,1000.00,0.00,"John Albers, STATE SENATE 56th GA",011,,,,Albers,John,,GA Sen.,,,,,,,,,,,,"John Albers, STATE SENATE 56th GA"
SB29,C00078451,89114577,,,COM,Matt Brass for State Senate,,,,,,P.O. Box 1313,,Newnan,GA,30264,,,2024-09-04,1000.00,0.00,"Matt Brass, STATE SENATE 28th GA",011,,,,Brass,Matt,,GA Sen.,,,,,,,,,,,,"Matt Brass, STATE SENATE 28th GA"
SB29,C00078451,89114579,,,COM,Committee to Elect Jason Esteves,,,,,,2275 Marietta Blvd NW,,Atlanta,GA,30318,,,2024-09-04,500.00,0.00,"Jason Esteves, STATE SENATE 6th GA",011,,,,Esteves,Jason,,GA Sen.,,,,,,,,,,,,"Jason Esteves, STATE SENATE 6th GA"
SB29,C00078451,89114581,,,COM,Sonya Halpern for Senate,,,,,,PO Box 13142,,Atlanta,GA,30324,,,2024-09-04,500.00,0.00,"Sonya Halpern, STATE SENATE 39th GA",011,,,,Halpern,Sonya,,GA Sen.,,,,,,,,,,,,"Sonya Halpern, STATE SENATE 39th GA"
SB29,C00078451,89114582,,,COM,Hodges for State Senate,,,,,,3410 Cypress Mill Rd,,Brunswick,GA,31525,,,2024-09-04,1000.00,0.00,"Mike Hodges, STATE SENATE 3rd GA",011,,,,Hodges,Mike,,GA Sen.,,,,,,,,,,,,"Mike Hodges, STATE SENATE 3rd GA"
SB29,C00078451,89114584,,,COM,John Flanders Kennedy for State Senate District 18,,,,,,5 Dunedin Court,,Macon,GA,31210,,,2024-09-04,1000.00,0.00,"John Kennedy, STATE SENATE 18th GA",011,,,,Kennedy,John,,GA Sen.,,,,,,,,,,,,"John Kennedy, STATE SENATE 18th GA"
SB29,C00078451,89114586,,,COM,Friends of Blake Tillery,,,,,,404 Durden Street,,Vidalia,GA,30474,,,2024-09-04,1000.00,0.00,"Blake Tillery, STATE SENATE 19th GA",011,,,,Tillery,Blake,,GA Sen.,,,,,,,,,,,,"Blake Tillery, STATE SENATE 19th GA"
