form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00499343,SB29.8191,,,CCM,Abrams for Ohio,,,,,,92 Fawn Drive,,Harrison,OH,45030,P2024,,2023-10-20,500.00,,Contribution,011,,Abrams for Ohio,,,,,,,,OH,,,,,,,,,
SB29,C00499343,SB29.8168,,,PAC,Al Cutrona for Ohio,,,,,,3755 Mercedes Place,Unit 9,Canfield,OH,44406,P2024,,2023-10-20,500.00,,Contribution,011,,Al Cutrona for Ohio,,,,,,,,,,,,,,,,,
SB29,C00499343,SB29.8196,,,CCM,Campaign to Elect Adam Bird,,,,,,3562 Behymer Road,,Cincinnati,OH,45245,P2024,,2023-11-27,350.00,,Contribution,011,,Campaign to Elect Adam Bird,,,,,,,,OH,,,,,,,,,
SB29,C00499343,SB29.8160,,,CCM,Citizens for McColley,,,,,,735 Edgerton St.,,Hamler,OH,43524,P2024,,2023-08-10,500.00,,Contribution,011,,Citizens for McColley,,,,,,,,,,,,,,,,,
SB29,C00499343,SB29.8169,,,CCM,Committee to Elect Jeff Fix,,,,,,210 East Main Street,,Lancaster,OH,43130,P2024,,2023-10-20,500.00,,Contribution,011,,Committee to Elect Jeff Fix,,,,,,,,,,,,,,,,,
SB29,C00499343,SB29.8165,,,CCM,Dave Yost for Ohio,,,,,,4679 Winterset Drive,,Columbus,OH,43220,P2024,,2023-09-19,1000.00,,Contribution,011,,Dave Yost for Ohio,,,,,,,,OH,,,,,,,,,
SB29,C00499343,SB29.8194,,,CCM,Deters for Ohios Future,,,,,,9923 Beech Drive,,Cincinnati,OH,45231,P2024,,2023-11-03,500.00,,Contribution,011,,Deters for Ohios Future,,,,,,,,OH,,,,,,,,,
SB29,C00499343,SB29.8166,,,CCM,Friends of Andrea White,,,,,,4679 Winterset Drive,,Columbus,OH,43220,P2024,,2023-09-26,500.00,,Contribution,011,,Friends of Andrea White,,,,,,,H,OH,41,,,,,,,,
SB29,C00499343,SB29.8159,,,CCM,Friends of Bill Reineke,,,,,,122 Sunny Lane,,Tiffin,OH,44883,P2024,,2023-07-07,750.00,,Contribution,011,,Friends of Bill Reineke,,,,,,,,,,,,,,,,,
SB29,C00499343,SB29.8192,,,CCM,Friends of Brian Stewart,,,,,,597 Clark Ave.,,Ashville,OH,43103,P2024,,2023-10-20,500.00,,Contribution,011,,Friends of Brian Stewart,,,,,,,,,,,,,,,,,
