form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00811786,500083829,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-10-29,1039.82,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500083830,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-10-29,358.32,0.00,Bank Fee; IE only account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500083832,,,ORG,ARS Media LLC,,,,,,2021 L St NW,Ste 101,Washington,DC,200364914,,,2024-10-29,5000.00,0.00,Communications Consulting; IE only account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500082660,,,ORG,Break Something Inc,,,,,,1802 Vernon St NW,# 562,Washington,DC,200091217,,,2024-10-17,68146.13,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500082783,,,ORG,Break Something Inc,,,,,,1802 Vernon St NW,# 562,Washington,DC,200091217,,,2024-10-18,360.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500082784,,,ORG,Break Something Inc,,,,,,1802 Vernon St NW,# 562,Washington,DC,200091217,,,2024-10-18,360.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500082785,,,ORG,Break Something Inc,,,,,,1802 Vernon St NW,# 562,Washington,DC,200091217,,,2024-10-18,360.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500082786,,,ORG,Break Something Inc,,,,,,1802 Vernon St NW,# 562,Washington,DC,200091217,,,2024-10-18,380.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500082787,,,ORG,Break Something Inc,,,,,,1802 Vernon St NW,# 562,Washington,DC,200091217,,,2024-10-18,420.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500082788,,,ORG,Break Something Inc,,,,,,1802 Vernon St NW,# 562,Washington,DC,200091217,,,2024-10-18,430.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500082789,,,ORG,Break Something Inc,,,,,,1802 Vernon St NW,# 562,Washington,DC,200091217,,,2024-10-18,800.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500082790,,,ORG,Break Something Inc,,,,,,1802 Vernon St NW,# 562,Washington,DC,200091217,,,2024-10-18,1100.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500082791,,,ORG,Break Something Inc,,,,,,1802 Vernon St NW,# 562,Washington,DC,200091217,,,2024-10-18,1177.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500082792,,,ORG,Break Something Inc,,,,,,1802 Vernon St NW,# 562,Washington,DC,200091217,,,2024-10-18,3205.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500082799,,,ORG,Break Something Inc,,,,,,1802 Vernon St NW,# 562,Washington,DC,200091217,,,2024-10-18,420.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500082793,,,ORG,Break Something Inc,,,,,,1802 Vernon St NW,# 562,Washington,DC,200091217,,,2024-10-21,5200.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
SB29,C00811786,500082794,,,ORG,Break Something Inc,,,,,,1802 Vernon St NW,# 562,Washington,DC,200091217,,,2024-10-21,1550.00,0.00,Online Advertising; IE-only bank account,,,,,,,,,,,,,,,,,,,,
