form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00172296,27500570,,,COM,VA VICTORY 2024,,,,,,1490-5A Quarterpath Rd #272,,Williamsburg,VA,23185,,,2024-09-11,1000.00,0.00,Contribution,011,,,,,,,,,,,,,,,,,,,Contribution
SB23,C00172296,27500586,,,COM,VA VICTORY 2024,,,,,,1490-5A Quarterpath Rd #272,,Williamsburg,VA,23185,,,2024-09-11,-1000.00,0.00,Void - VA VICTORY 2024,011,,,,,,,,,,,,,,,,,,,Void - VA VICTORY 2024
SB23,C00172296,27500587,,,COM,VA VICTORY 2024,,,,,,1490-5A Quarterpath Rd #272,,Williamsburg,VA,23185,,,2024-09-11,1000.00,0.00,Contribution,011,,,,,,,,,,,,,,,,,,,Contribution
SB23,C00172296,27514703,,,CCM,Friends of Jim Clyburn,,,,,,"499 South Capitol Street, SW",Suite 422,Washington,DC,20003,G2024,,2024-09-24,1000.00,0.00,Contribution,011,,,,Clyburn,James,,,,H,SC,06,,,,,,,,Contribution
SB23,C00172296,27548111,,,CCM,Janelle Bynum For Congress,,,,,,"10121 Se Sunnyside Rd., #300",,Clackamas,OR,97015,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00843425,Janelle Bynum For Congress,H4OR05304,Bynum,Janelle,,Rep.,,H,OR,05,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548112,,,CCM,Lamonica McIver For Congress,,,,,,PO Box 25585,,Newark,NJ,07101,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00878603,Lamonica McIver For Congress,H4NJ10176,McIver,LaMonica,,Rep.,,H,NJ,10,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548114,,,CCM,Kristen For Michigan,,,,,,PO Box 854,,Bay City,MI,48707,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00864207,Kristen For Michigan,H4MI08218,McDonald Rivet,Kristen,,Sen.,,H,MI,08,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548115,,,CCM,Engel For Arizona,,,,,,PO Box 40721,,Tucson,AZ,85717,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00773820,Engel For Arizona,H2AZ02311,Engel,Kirsten,,Sen.,,H,AZ,06,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548116,,,CCM,Altman For Congress,,,,,,PO Box 267,,Lambertville,NJ,08530,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00841643,Altman For Congress,H4NJ07107,Altman,Susan,,Ms.,,H,NJ,07,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548117,,,CCM,Vindman For Congress,,,,,,"4222 Fortuna Center Plz, Ste 664",,Dumfries,VA,22025,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00856955,Vindman For Congress,H4VA07234,Vindman,Yevgeny,,LTCOL,,H,VA,07,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548118,,,CCM,Chris Deluzio For Congress,,,,,,PO Box 16210,,Pittsburgh,PA,15242,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00787648,Chris Deluzio For Congress,H2PA17103,Deluzio,Chris,,Rep.,,H,PA,17,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548119,,,CCM,Will Rollins For Congress,,,,,,PO Box 6282,414 W Grand Blvd,Corona,CA,92878,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00792507,Will Rollins For Congress,H2CA42205,Rollins,Will,,Mr.,,H,CA,41,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548120,,,CCM,Josh Riley For Congress,,,,,,1220 L St Nw,"Ste 100, Box 384",Washington,NY,20005,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00793760,Josh Riley For Congress,H8NY22177,Riley,Joshua,,Mr.,,H,NY,19,,,,,,,,In Kind Contribution; endorsement video
SB23,C00172296,27548121,,,CCM,George Whitesides For Congress,,,,,,P.O. Box 221776,,Newhall,CA,91322,G2024,,2024-09-05,211.61,0.00,In Kind Contribution; endorsement video,011,C00834028,George Whitesides For Congress,H4CA27111,Whitesides,George,,Hon.,,H,CA,27,,,,,,,,In Kind Contribution; endorsement video
