form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00421982,EB628,,,CCM,Barragan for Congress,,,,,,1840 South Gaffey Street #421,,San Pedro,CA,90731,P2024,,2023-06-23,1000.00,,Political Contribution,011,C00577353,Barragan for Congress,,Barragan,Nanette,,,,H,CA,44,,,,,,,,
SB23,C00421982,EB620,,,COM,Cantwell Victory 2024,,,,,,401 2nd Avenue South,Suite 303,Seattle,WA,98104,,,2023-06-15,1000.00,,Political Contribution,011,,Cantwell Victory 2024,,,,,,,,,,,,,,,,,
SB23,C00421982,EB573,,,CCM,Castor for Congress,,,,,,301 W. Platt Street,#385,Tampa,FL,33606,P2024,,2023-05-16,2500.00,,Political Contribution,011,C00410761,Castor for Congress,,Castor,Kathy,,,,H,FL,14,,,,,,,,
SB23,C00421982,EB571,,,CCM,Cathy McMorris Rodgers for Congress,,,,,,BOX 137,,Spokane,WA,99210,P2024,,2023-05-16,2000.00,,Political Contribution,011,C00390476,Cathy McMorris Rodgers for Congress,,Rodgers,Cathy McMorris,,,,H,WA,05,,,,,,,,
SB23,C00421982,EB493,,,COM,CHC BOLD PAC,,,,,,PO Box 33079,,Washington,DC,20033,,,2023-01-30,5000.00,,Polittical Contribution,011,C00365536,CHC BOLD PAC,,,,,,,,,,,,,,,,,
SB23,C00421982,EB494,,,COM,Congressional Black Caucus PAC,,,,,,P.O. Box 75357,,Washington,DC,20013,,,2023-01-30,5000.00,,Political Contribution,011,C00147512,Congressional Black Caucus PAC,,,,,,,,,,,,,,,,,
SB23,C00421982,EB622,,,CCM,Curtis for Congress,,,,,,420 East South Temple,STE 390,Salt Lake City,UT,84111,P2024,,2023-06-15,1000.00,,Political Contributions,011,C00647339,Curtis for Congress,,Curtis,John,,,,H,UT,03,,,,,,,,
SB23,C00421982,EB627,,,CCM,Curtis for Congress,,,,,,420 East South Temple,STE 390,Salt Lake City,UT,84111,P2024,,2023-06-23,1000.00,,Political Contribution,011,C00647339,Curtis for Congress,,Curtis,John,,,,H,UT,03,,,,,,,,
SB23,C00421982,EB555,,,PTY,DCCC,,,,,,"430 South Capitol Street, SE",2nd Floor,Washington,DC,20003,,,2023-03-26,2500.00,,Political Contribution,011,C00000935,DCCC,,,,,,,,,,,,,,,,,
SB23,C00421982,EB621,,,PTY,DCCC,,,,,,"430 South Capitol Street, SE",2nd Floor,Washington,DC,20003,,,2023-06-15,5000.00,,Political Contribution,011,C00000935,DCCC,,,,,,,,,,,,,,,,,
SB23,C00421982,EB623,,,CCM,Desposito For New York,,,,,,P.O. Box 188,,Island Park,NY,11558,P2024,,2023-06-15,1000.00,,Political Contribution,011,C00809426,Desposito For New York,,Desposito,Anthony P.,,,,H,NY,04,,,,,,,,
SB23,C00421982,EB492,,,PTY,DSCC,,,,,,120 Maryland Ave NE,,Washington,DC,20002,,,2023-01-30,15000.00,,Political Contribution,011,C00042366,DSCC,,,,,,,,,,,,,,,,,
