form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00151340,88806791,,,CCM,Guy For Congress,,,,,,P.O. Box 23177,,Pittsburgh,PA,15222,G2024,,2024-06-04,1000.00,0.00,Contribution: Guy Reschenthaler (R-14th PA),011,C00657833,Guy For Congress,H8PA18199,Reschenthaler,Guy,,Rep.,,H,PA,14,,,,,,,,Contribution: Guy Reschenthaler (R-14th PA)
SB23,C00151340,88806793,,,CCM,Scott Peters For Congress,,,,,,PO Box 22074,,San Diego,CA,92192,G2024,,2024-06-04,2500.00,0.00,Contribution: Scott Peters (D-50th CA),011,C00503110,Scott Peters For Congress,H2CA52089,Peters,Scott,,Rep.,,H,CA,50,,,,,,,,Contribution: Scott Peters (D-50th CA)
SB23,C00151340,88823105,,,PAC,REAL ESTATE ROUNDTABLE POLITICAL ACTION COMMITTEE (REALPAC),,,,,,"801 Pennsylvania Avenue, NW",Suite 720,Washington,DC,20004,,,2024-06-13,5000.00,0.00,Contribution: REAL PAC,011,C00033779,,,,,,,,,,,,,,,,,,Contribution: REAL PAC
SB23,C00151340,88878985,,,CCM,Lori Chavez-Deremer For Congress,,,,,,13203 Se 172nd Ave,Ste 166 #399,Happy Valley,OR,97086,G2024,,2024-06-27,1000.00,0.00,Contribution: Lori Chavez-Deremer (R-5th OR),011,C00784520,Lori Chavez-Deremer For Congress,H2OR05209,Chavez-DeRemer,Lori,,Rep.,,H,OR,05,,,,,,,,Contribution: Lori Chavez-Deremer (R-5th OR)
SB23,C00151340,88878991,,,CCM,Rudy For Indiana,,,,,,PO Box 26141,,Alexandria,IN,22313,G2024,,2024-06-27,1000.00,0.00,Contribution: Rudy Yakym (R-2nd IN),011,C00822767,Rudy For Indiana,H2IN02295,Yakym,Rudy,,Rep.,III,H,IN,02,,,,,,,,Contribution: Rudy Yakym (R-2nd IN)
SB23,C00151340,88878993,,,CCM,Wicker For Senate,,,,,,521 Magnolia Drive,,Tupelo,MS,388043529,G2024,,2024-06-27,1000.00,0.00,Contribution: Roger Wicker (R-MS),011,C00443218,Wicker For Senate,S8MS00196,Wicker,Roger,,Sen.,,S,MS,,,,,,,,,Contribution: Roger Wicker (R-MS)
SB23,C00151340,88878998,,,CCM,Hoeven For Senate,,,,,,PO Box 861,,Bismarck,ND,58502,P2023,,2024-06-27,1000.00,0.00,Contribution: John Hoeven (R-ND),011,C00473371,Hoeven For Senate,S0ND00093,Hoeven,John,,Sen.,III,S,ND,,,,,,,,,Contribution: John Hoeven (R-ND)
SB23,C00151340,88879000,,,CCM,Capito For West Virginia,,,,,,2 Comstock Place,,Charleston,WV,25314,P2026,,2024-06-27,1000.00,0.00,Contribution: Shelley Moore Capito (R-WV),011,C00539825,Capito For West Virginia,S4WV00159,Capito,Shelley,,Sen.,,S,WV,,,,,,,,,Contribution: Shelley Moore Capito (R-WV)
SB23,C00151340,88880220,,,CCM,Stutzman For Congress,,,,,,PO Box 339,,Howe,IN,46746,G2024,,2024-06-27,500.00,0.00,Contribution: Marlin Stutzman (R-3rd IN),011,C00838110,Stutzman For Congress,H4IN03174,Stutzman,Marlin,,Mr.,,H,IN,03,,,,,,,,Contribution: Marlin Stutzman (R-3rd IN)
SB23,C00151340,88880671,,,CCM,Friends Of John Barrasso,,,,,,6896 Casper Mountain Road,,Casper,WY,82601,P2024,,2024-06-27,-1500.00,0.00,Void - Friends Of John Barrasso (reported on June monthly),011,C00436386,Friends Of John Barrasso,S6WY00068,Barrasso,John,,Sen.,,S,WY,,,,,,,,,Void - Friends Of John Barrasso (reported on June monthly)
SB23,C00151340,88880672,,,CCM,Friends Of John Barrasso,,,,,,6896 Casper Mountain Road,,Casper,WY,82601,P2024,,2024-06-27,1000.00,0.00,Contribution: John Barrasso (R-WY),011,C00436386,Friends Of John Barrasso,S6WY00068,Barrasso,John,,Sen.,,S,WY,,,,,,,,,Contribution: John Barrasso (R-WY)
