form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00487470,SB23.13054,,,ORG,"Conservative Connector, LLC",,,,,,1878 Watermark Dr. SE,,Grand Rapids,MI,49546,,,2024-08-14,10000.00,,donation,,,,,,,,,,,,,,,,,,,,
SB23,C00487470,SB23.13047,,,COM,PROJECT RESCUE AMERICA,,,,,,9230 OLD KEENE MILL #1050,,BURKE,VA,22015,,,2024-08-15,10000.00,,donation,,C00837427,,,,,,,,,,,,,,,,,,
SB23,C00487470,SB23.13049,,,PAC,SAVECALIFORNIANOW,,,,,,PO BOX 8095,,NEWPORT BEACH,CA,92658,,,2024-08-16,330000.00,,donation,,C00740555,,,,,,,,,,,,,,,,,,
SB23,C00487470,SB23.13050,,,COM,WIN IT BACK PAC,,,,,,2001 L ST NW STE 600,,WASHINGTON,DC,20036,,,2024-08-12,300000.00,,donation,,C00844613,,,,,,,,,,,,,,,,,,
SB23,C00487470,SB23.13053,,,COM,WIN IT BACK PAC,,,,,,2001 L ST NW STE 600,,WASHINGTON,DC,20036,,,2024-08-14,1870000.00,,donation,,C00844613,,,,,,,,,,,,,,,,,,
SB23,C00487470,SB23.13051,,,COM,WIN IT BACK PAC,,,,,,2001 L ST NW STE 600,,WASHINGTON,DC,20036,,,2024-08-20,280000.00,,donation,,C00844613,,,,,,,,,,,,,,,,,,
SB23,C00487470,SB23.13052,,,COM,WIN IT BACK PAC,,,,,,2001 L ST NW STE 600,,WASHINGTON,DC,20036,,,2024-08-30,5000000.00,,donation,,C00844613,,,,,,,,,,,,,,,,,,
