form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00367995,11867960,,,CCM,"Chuck Fleischmann For Congress Committee, Inc.",,,,,,P.O. Box 11091,,Chattanooga,TN,37401,P2024,,2024-05-23,1000.00,0.00,Fleischmann Reception (5.6.2024),011,C00461822,"Chuck Fleischmann For Congress Committee, Inc.",H0TN03254,Fleischmann,Chuck,,Rep.,,H,TN,03,,,,,,,,Fleischmann Reception (5.6.2024)
SB23,C00367995,11867961,,,CCM,Citizens For John Rutherford,,,,,,3030 Hartley Rd,Suite 120,Jacksonville,FL,32257,P2024,,2024-05-23,1000.00,0.00,Rutherford Lunch at La Collina (5.7.2024),011,C00615294,Citizens For John Rutherford,H6FL04105,Rutherford,John,,,,H,FL,04,,,,,,,,Rutherford Lunch at La Collina (5.7.2024)
SB23,C00367995,11867962,,,CCM,Ashley Hinson For Congress,,,,,,PO Box 811,,Marion,IA,52302,P2024,,2024-05-23,1500.00,0.00,Hinson Defense Dinner (5.8.2024),011,C00706267,Ashley Hinson For Congress,H0IA01174,Hinson,Ashley,,Rep.,,H,IA,02,,,,,,,,Hinson Defense Dinner (5.8.2024)
SB23,C00367995,11867963,,,PAC,IMPACT COMMITTEE,,,,,,100 LUNA PARK DRIVE,STE. 156,ALEXANDRIA,VA,22305,,,2024-05-23,1000.00,0.00,ImPACt Pinot Noir Around the World Event (5.9.2024),011,C00525238,,,,,,,,,,,,,,,,,,ImPACt Pinot Noir Around the World Event (5.9.2024)
SB23,C00367995,11867964,,,CCM,Cole For Congress,,,,,,P.O. Box 722256,,Norman,OK,73070,P2024,,2024-05-23,2500.00,0.00,Cole Reception (5.14.2024),011,C00379735,Cole For Congress,H2OK04055,Cole,Tom,,Rep.,,H,OK,04,,,,,,,,Cole Reception (5.14.2024)
SB23,C00367995,11868907,,,CCM,Lori Chavez Deremer For Congress,,,,,,13203 Se 172nd Ave,Ste 166 #399,Happy Valley,OR,97086,G2019,,2024-05-24,1000.00,0.00,,011,C00784520,Lori Chavez Deremer For Congress,H2OR05209,Chavez DeRemer,Lori,,Rep.,,H,OR,05,,,,,,,,
SB23,C00367995,11868908,,,CCM,Hoyer For Congress,,,,,,700 13th Street Nw,Suite 800,Washington,MD,20005,G2019,,2024-05-24,2500.00,0.00,,011,C00140715,Hoyer For Congress,H2MD05155,Hoyer,Steny,,Rep.,,H,MD,05,,,,,,,,
SB23,C00367995,11868909,,,CCM,Friends Of Dave Joyce,,,,,,9856 Archer Ln,,Dublin,OH,430178914,G2019,,2024-05-24,1000.00,0.00,,011,C00527457,Friends Of Dave Joyce,H2OH14064,Joyce,Dave,,Rep.,,H,OH,14,,,,,,,,
SB23,C00367995,11868910,,,PAC,FIRST IN FREEDOM PAC,,,,,,,,,,,,,2024-05-24,1000.00,0.00,,011,C00540146,,,,,,,,,,,,,,,,,,
SB23,C00367995,11868912,,,CCM,Kevin Kiley For Congress,,,,,,9458 Treelake Rd.,,Granite Bay,CA,95746,G2019,,2024-05-24,1500.00,0.00,,011,C00801985,Kevin Kiley For Congress,H2CA03157,Kiley,Kevin,,Rep.,,H,CA,03,,,,,,,,
SB23,C00367995,11869176,,,PAC,Smart Solutions PAC,,,,,,611 Pennsylvania Ave,Unit 143,Washington,DC,20003,,,2024-05-29,2500.00,0.00,Defense Dems Event,011,C00654475,,,,,,,,,,,,,,,,,,Defense Dems Event
SB23,C00367995,11869177,,,PAC,JOBS OPPORTUNITY AND NEW IDEAS PAC,,,,,,,,,,,,,2024-05-29,1000.00,0.00,Joni PAC breakfast,011,C00566851,,,,,,,,,,,,,,,,,,Joni PAC breakfast
SB23,C00367995,11869874,,,CCM,Jeff Crank For Congress,,,,,,9235 N UNION BLVD,STE 150-164,Colorado Springs,CO,80920,P2024,,2024-05-24,1000.00,0.00,Reception for Jeff Crank for Congress,011,C00865592,Jeff Crank For Congress,H6CO05142,Crank,Jeff,,,,H,CO,05,,,,,,,,Reception for Jeff Crank for Congress
