form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00606962,SB29.175626,,,ORG,Red Horse Strategies,,,,,,55 Washington St,,Brooklyn,NY,11201,,,2023-10-25,95178.63,,mailing for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.175628,,,ORG,Red Horse Strategies,,,,,,55 Washington St,,Brooklyn,NY,11201,,,2023-10-30,93286.11,,mailing for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.175627,,,ORG,Red Horse Strategies,,,,,,55 Washington St,,Brooklyn,NY,11201,,,2023-10-31,51590.00,,mailing for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.175592,,,ORG,Turn it Blue Digital,,,,,,1919 14th Street,,Boulder,CO,80302,,,2023-10-23,250.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.175595,,,ORG,Turn it Blue Digital,,,,,,1919 14th Street,,Boulder,CO,80302,,,2023-10-23,1150.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.175596,,,ORG,Turn it Blue Digital,,,,,,1919 14th Street,,Boulder,CO,80302,,,2023-10-23,1400.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.175599,,,ORG,Turn it Blue Digital,,,,,,1919 14th Street,,Boulder,CO,80302,,,2023-10-23,1900.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.175600,,,ORG,Turn it Blue Digital,,,,,,1919 14th Street,,Boulder,CO,80302,,,2023-10-23,1900.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.175601,,,ORG,Turn it Blue Digital,,,,,,1919 14th Street,,Boulder,CO,80302,,,2023-10-23,1900.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.175593,,,ORG,Turn it Blue Digital,,,,,,1919 14th Street,,Boulder,CO,80302,,,2023-10-27,1000.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.175594,,,ORG,Turn it Blue Digital,,,,,,1919 14th Street,,Boulder,CO,80302,,,2023-10-30,1000.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.175597,,,ORG,Turn it Blue Digital,,,,,,1919 14th Street,,Boulder,CO,80302,,,2023-10-31,1500.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.175598,,,ORG,Turn it Blue Digital,,,,,,1919 14th Street,,Boulder,CO,80302,,,2023-10-31,1500.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
