form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00386029,EB89810,,,PAC,"Camden County Democratic Committee, Inc.",,,,,,2240-15 Route 70 West,,Cherry Hill,NJ,08002,,,2023-10-02,1300.00,,,011,,"Camden County Democratic Committee, Inc.",,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB89811,,,ORG,Election Fund of Cappelli for Commissioner,,,,,,2240-15 Route 70 West,,Cherry Hill,NJ,08002,,,2023-10-02,200.00,,,,,,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB89808,,,PAC,Koelker for State Senate,,,,,,807 3rd ST NW,,Dyersville,IA,52040,,,2023-10-02,500.00,,,011,,Koelker for State Senate,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB89809,,,ORG,Sinclair for Iowa,,,,,,1255 Kind Rd.,,Allerton,IA,50008,,,2023-10-02,1000.00,,,011,,,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB89812,,,PAC,Tom Ramsey Campaign,,,,,,PO Box 75190,,Houston,TX,77234,,,2023-10-02,10000.00,,,011,,Tom Ramsey Campaign,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB91350,,,PAC,Panhandle Prosperity,,,,,,526 East Park Ave,,Tallahassee,FL,32301,,,2023-10-03,5000.00,,,011,,Panhandle Prosperity,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB91351,,,ORG,Elect Ron Pappas,,,,,,124 Leafmore Ct,,Waxhaw,NC,28173,,,2023-10-04,1000.00,,,011,,,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB91352,,,ORG,Mark Gonzalez for Assembly 2024,,,,,,777 S Figueroa St #4050,,Los Angeles,CA,90015,,,2023-10-04,1000.00,,,011,,,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB91353,,,ORG,Friends of Nicole Miller 2022,,,,,,16104 Cattail Circle,,Edmond,OK,73013,,,2023-10-05,1000.00,,,011,,,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB91355,,,PAC,Holt for OKC 2022,,,,,,P.O. Box 18366,,Oklahoma City,OK,73154,,,2023-10-05,1000.00,,,011,,Holt for OKC 2022,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB91354,,,ORG,Johns for House 2022,,,,,,1424 East Sunrise Lane,,Ada,OK,74820,,,2023-10-05,1000.00,,,011,,,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB91363,,,PAC,Chris Wilson for Senate,,,,,,1367 Cedarwood Ln,,Logan,UT,84314,,,2023-10-09,500.00,,,011,,Chris Wilson for Senate,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB91360,,,PAC,Curt Bramble for Senate,,,,,,3663 North 870 East,,Provo,UT,84604,,,2023-10-09,500.00,,,011,,Curt Bramble for Senate,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB91361,,,PAC,Don Ipson for Senate,,,,,,539 Diagonal Street,,St. George,UT,84770,,,2023-10-09,500.00,,,011,,Don Ipson for Senate,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB91357,,,PAC,Election Fund of Senator Paul Sarlo,,,,,,9 Lincoln Ave,,Rutherford,NJ,07070,,,2023-10-09,500.00,,,011,,Election Fund of Senator Paul Sarlo,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB91356,,,PAC,Friends of Natalie Rascher,,,,,,PO Box 4566,,Evansville,IN,47724,,,2023-10-09,10000.00,,,011,,Friends of Natalie Rascher,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB91362,,,PAC,Mike McKell for Senate,,,,,,642 Kirby Lane,,Spanish Fork,UT,84660,,,2023-10-09,500.00,,,011,,Mike McKell for Senate,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB91359,,,PAC,Stuart Adams for State Senate,,,,,,3271 E 1875 N,,Layton,UT,84040,,,2023-10-09,1500.00,,,011,,Stuart Adams for State Senate,,Committee,Non-Federal,,,,,,,,,,,,,,
